School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Lynn - Lincoln-Thomson;01630070;MATH;           7;50;           0;0;           7;50;           7;50;           0;0;          14;     496.6;;          11;36;2019;ALL;multi-race
Lynn - Pickering Middle;01630420;ELA;          10;29;           4;12;           6;18;          21;62;           3;9;          34;     497.4;          46.4;          32;30;2019;ALL;multi-race
Lynn - Pickering Middle;01630420;MATH;          18;53;           2;6;          16;47;          14;41;           2;6;          34;     501.2;          60.7;          32;51;2019;ALL;multi-race
Lynn - Pickering Middle;01630420;SCI;           6;55;           1;9;           5;45;           3;27;           2;18;          11;     499.2;;;46;2019;ALL;multi-race
Lynn - Thurgood Marshall Mid;01630305;ELA;          13;41;           1;3;          12;38;          12;38;           7;22;          32;     493.7;          47.4;          28;18;2019;ALL;multi-race
Lynn - Thurgood Marshall Mid;01630305;MATH;           8;26;           0;0;           8;26;          15;48;           8;26;          31;     487.0;          47.0;          27;11;2019;ALL;multi-race
Lynn - Thurgood Marshall Mid;01630305;SCI;           4;36;           0;0;           4;36;           5;45;           2;18;          11;     495.3;;;36;2019;ALL;multi-race
Lynn - Tracy;01630100;ELA;           6;50;           0;0;           6;50;           5;42;           1;8;          12;     497.3;;          10;30;2019;ALL;multi-race
Lynn - Tracy;01630100;MATH;           7;58;           1;8;           6;50;           4;33;           1;8;          12;     498.8;;          10;47;2019;ALL;multi-race
Lynnfield - Lynnfield Middle School;01640405;ELA;          10;83;           4;33;           6;50;           2;17;           0;0;          12;     523.9;;          12;95;2019;ALL;multi-race
Lynnfield - Lynnfield Middle School;01640405;MATH;          10;83;           5;42;           5;42;           2;17;           0;0;          12;     523.2;;          12;95;2019;ALL;multi-race
Malden - Beebe;01650003;ELA;          10;45;           0;0;          10;45;           8;36;           4;18;          22;     494.7;;          14;21;2019;ALL;multi-race
Malden - Beebe;01650003;MATH;           9;43;           1;5;           8;38;           9;43;           3;14;          21;     495.3;;          14;32;2019;ALL;multi-race
Malden - Ferryway;01650013;ELA;          19;48;           6;15;          13;33;          16;40;           5;13;          40;     501.5;          57.9;          32;45;2019;ALL;multi-race
Malden - Ferryway;01650013;MATH;          10;25;           5;13;           5;13;          27;68;           3;8;          40;     492.2;          46.8;          32;21;2019;ALL;multi-race
Malden - Ferryway;01650013;SCI;           4;40;           1;10;           3;30;           3;30;           3;30;          10;     490.7;;;21;2019;ALL;multi-race
Malden - Forestdale;01650027;ELA;           9;50;           2;11;           7;39;           6;33;           3;17;          18;     498.6;;          14;33;2019;ALL;multi-race
Malden - Forestdale;01650027;MATH;           6;33;           2;11;           4;22;           8;44;           4;22;          18;     490.8;;          14;18;2019;ALL;multi-race
Malden - Linden;01650047;ELA;          15;56;           2;7;          13;48;          12;44;           0;0;          27;     504.4;          57.2;          21;54;2019;ALL;multi-race
Malden - Linden;01650047;MATH;          14;52;           1;4;          13;48;          11;41;           2;7;          27;     497.7;          57.6;          21;41;2019;ALL;multi-race
Malden - Linden;01650047;SCI;           6;60;           1;10;           5;50;           4;40;           0;0;          10;     506.2;;;62;2019;ALL;multi-race
Malden - Salemwood;01650057;ELA;          12;50;           3;13;           9;38;           9;38;           3;13;          24;     501.3;          49.1;          21;44;2019;ALL;multi-race
Malden - Salemwood;01650057;MATH;           8;33;           1;4;           7;29;          11;46;           5;21;          24;     491.2;          51.2;          21;19;2019;ALL;multi-race
Mansfield - Harold L Qualters Middle;01670035;ELA;          16;57;           4;14;          12;43;          10;36;           2;7;          28;     503.9;          61.8;          27;52;2019;ALL;multi-race
Mansfield - Harold L Qualters Middle;01670035;MATH;          13;46;           2;7;          11;39;          13;46;           2;7;          28;     499.1;          49.0;          27;48;2019;ALL;multi-race
Mansfield - Harold L Qualters Middle;01670035;SCI;           7;50;           3;21;           4;29;           7;50;           0;0;          14;     505.0;;;61;2019;ALL;multi-race
Mansfield - Jordan/Jackson Elementary;01670014;ELA;          15;44;           1;3;          14;41;          18;53;           1;3;          34;     499.4;;          16;35;2019;ALL;multi-race
Mansfield - Jordan/Jackson Elementary;01670014;MATH;          19;56;           1;3;          18;53;          12;35;           3;9;          34;     500.3;;          16;50;2019;ALL;multi-race
Marblehead - Village School;01680016;ELA;          13;57;           0;0;          13;57;           9;39;           1;4;          23;     501.8;          45.0;          21;46;2019;ALL;multi-race
Marblehead - Village School;01680016;MATH;          14;64;           3;14;          11;50;           8;36;           0;0;          22;     508.6;          56.8;          20;67;2019;ALL;multi-race
Marion - Sippican;01690005;ELA;          10;59;           1;6;           9;53;           4;24;           3;18;          17;     503.1;;           9;48;2019;ALL;multi-race
Marion - Sippican;01690005;MATH;           6;35;           1;6;           5;29;           8;47;           3;18;          17;     496.8;;           9;38;2019;ALL;multi-race
Marlborough - 1 LT Charles W. Whitcomb School;01700045;ELA;          19;46;           6;15;          13;32;          16;39;           6;15;          41;     500.5;          54.9;          40;40;2019;ALL;multi-race
Marlborough - 1 LT Charles W. Whitcomb School;01700045;MATH;          15;37;           3;7;          12;29;          17;41;           9;22;          41;     490.8;          38.1;          40;18;2019;ALL;multi-race
Marlborough - 1 LT Charles W. Whitcomb School;01700045;SCI;           9;45;           1;5;           8;40;           9;45;           2;10;          20;     496.6;;;40;2019;ALL;multi-race
Marlborough - Richer;01700025;ELA;           8;73;           2;18;           6;55;           2;18;           1;9;          11;     512.9;;           6;74;2019;ALL;multi-race
Marlborough - Richer;01700025;MATH;           8;73;           1;9;           7;64;           1;9;           2;18;          11;     509.1;;           6;69;2019;ALL;multi-race
Marshfield - Furnace Brook Middle;01710310;ELA;          12;67;           4;22;           8;44;           5;28;           1;6;          18;     509.7;;          17;66;2019;ALL;multi-race
Marshfield - Furnace Brook Middle;01710310;MATH;          15;83;           5;28;          10;56;           3;17;           0;0;          18;     515.2;;          17;83;2019;ALL;multi-race
Martha's Vineyard Charter Public School (District) - Martha's Vineyard Charter Public School;04660550;ELA;           6;50;           0;0;           6;50;           5;42;           1;8;          12;     502.0;;          11;47;2019;ALL;multi-race
Martha's Vineyard Charter Public School (District) - Martha's Vineyard Charter Public School;04660550;MATH;           5;42;           0;0;           5;42;           7;58;           0;0;          12;     496.4;;          11;35;2019;ALL;multi-race
Masconomet - Masconomet Regional Middle School;07050405;ELA;          14;100;           4;29;          10;71;           0;0;           0;0;          14;     521.2;;          14;92;2019;ALL;multi-race
Masconomet - Masconomet Regional Middle School;07050405;MATH;          14;100;           3;21;          11;79;           0;0;           0;0;          14;     521.8;;          14;93;2019;ALL;multi-race
Mashpee - Mashpee Middle School;01720020;ELA;           4;31;           0;0;           4;31;           9;69;           0;0;          13;     491.5;;          11;13;2019;ALL;multi-race
Mashpee - Mashpee Middle School;01720020;MATH;           5;38;           1;8;           4;31;           7;54;           1;8;          13;     497.4;;          11;40;2019;ALL;multi-race
