School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Ashburnham-Westminster - Overlook Middle School;06100305;ELA;          12;48;           1;4;          11;44;          13;52;           0;0;          25;     500.7;          58.7;          23;73;2019;ALL;hispanic/latino
Ashburnham-Westminster - Overlook Middle School;06100305;MATH;           9;36;           1;4;           8;32;          15;60;           1;4;          25;     495.7;          48.7;          23;67;2019;ALL;hispanic/latino
Ashburnham-Westminster - Westminster Elementary;06100005;ELA;           9;43;           0;0;           9;43;          11;52;           1;5;          21;     496.2;;          17;56;2019;ALL;hispanic/latino
Ashburnham-Westminster - Westminster Elementary;06100005;MATH;           7;33;           1;5;           6;29;          14;67;           0;0;          21;     497.3;;          17;73;2019;ALL;hispanic/latino
Ashburnham-Westminster - Westminster Elementary;06100005;SCI;           7;64;           3;27;           4;36;           2;18;           2;18;          11;     505.3;;;95;2019;ALL;hispanic/latino
Ashland - Ashland Middle;00140405;ELA;          35;49;           5;7;          30;42;          30;42;           6;8;          71;     499.6;          66.7;          68;70;2019;ALL;hispanic/latino
Ashland - Ashland Middle;00140405;MATH;          37;54;           3;4;          34;49;          24;35;           8;12;          69;     497.1;          66.8;          66;71;2019;ALL;hispanic/latino
Ashland - Ashland Middle;00140405;SCI;          11;52;           0;0;          11;52;           9;43;           1;5;          21;     497.4;;;82;2019;ALL;hispanic/latino
Ashland - David Mindess;00140015;ELA;          20;30;           2;3;          18;27;          45;67;           2;3;          67;     494.5;          49.9;          40;49;2019;ALL;hispanic/latino
Ashland - David Mindess;00140015;MATH;          13;19;           2;3;          11;16;          49;73;           5;7;          67;     489.4;          60.8;          41;42;2019;ALL;hispanic/latino
Ashland - David Mindess;00140015;SCI;           5;21;           0;0;           5;21;          13;54;           6;25;          24;     483.1;;;35;2019;ALL;hispanic/latino
Athol-Royalston - Athol Community Elementary School;06150020;ELA;           8;50;           0;0;           8;50;           5;31;           3;19;          16;     494.2;;           4;48;2019;ALL;hispanic/latino
Athol-Royalston - Athol Community Elementary School;06150020;MATH;           8;50;           1;6;           7;44;           6;38;           2;13;          16;     494.4;;           4;62;2019;ALL;hispanic/latino
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;          16;33;           0;0;          16;33;          27;55;           6;12;          49;     489.9;          49.9;          47;30;2019;ALL;hispanic/latino
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;          11;22;           1;2;          10;20;          32;65;           6;12;          49;     486.8;          52.0;          48;31;2019;ALL;hispanic/latino
Athol-Royalston - Athol-Royalston Middle School;06150305;SCI;           4;25;           0;0;           4;25;          11;69;           1;6;          16;     493.7;;;71;2019;ALL;hispanic/latino
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;          26;40;           5;8;          21;32;          31;48;           8;12;          65;     492.8;          43.9;          53;46;2019;ALL;hispanic/latino
