School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Andover - High Plain Elementary;00090004;MATH;          16;62;           4;15;          12;46;          10;38;           0;0;          26;     507.4;;          17;97;2019;ALL;EL
Andover - South Elementary;00090020;ELA;          11;85;           1;8;          10;77;           2;15;           0;0;          13;     513.3;;           4;99;2019;ALL;EL
Andover - South Elementary;00090020;MATH;          10;77;           1;8;           9;69;           3;23;           0;0;          13;     510.9;;           4;98;2019;ALL;EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          18;19;           0;0;          18;19;          41;44;          35;37;          94;     478.3;          42.8;          81;34;2019;ALL;EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          28;30;           4;4;          24;26;          43;46;          23;24;          94;     485.8;          53.7;          81;63;2019;ALL;EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;           0;0;           0;0;           0;0;          10;53;           9;47;          19;     469.4;;;45;2019;ALL;EL
Arlington - Hardy;00100030;ELA;           6;35;           0;0;           6;35;          10;59;           1;6;          17;     490.9;;           5;79;2019;ALL;EL
Arlington - Hardy;00100030;MATH;           8;47;           0;0;           8;47;           9;53;           0;0;          17;     499.7;;           5;91;2019;ALL;EL
Arlington - Ottoson Middle;00100410;ELA;           4;22;           0;0;           4;22;          10;56;           4;22;          18;     485.4;;           9;64;2019;ALL;EL
Arlington - Ottoson Middle;00100410;MATH;           9;50;           2;11;           7;39;           7;39;           2;11;          18;     500.1;;           9;91;2019;ALL;EL
Arlington - Peirce;00100045;ELA;           3;23;           0;0;           3;23;          10;77;           0;0;          13;     489.8;;           7;76;2019;ALL;EL
Arlington - Peirce;00100045;MATH;           3;23;           0;0;           3;23;          10;77;           0;0;          13;     492.6;;           7;81;2019;ALL;EL
Arlington - Thompson;00100050;ELA;           2;13;           0;0;           2;13;          12;80;           1;7;          15;     483.7;;           8;57;2019;ALL;EL
