School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL,Year
Lee - Lee Elementary,1500025,ELA,77,48,8,5,69,43,74,46,10,6,161,,500.5,56.1,109,44,2018
Lee - Lee Elementary,1500025,MATH,79,49,6,4,73,45,65,40,17,11,161,,497,48.6,109,42,2018
Lee - Lee Middle/High School,1500505,ELA,63,58,12,11,51,47,35,32,10,9,108,,502.5,58.8,104,52,2018
Lee - Lee Middle/High School,1500505,MATH,55,51,6,6,49,46,44,41,8,7,107,,499.6,53.8,103,52,2018
Leicester - Leicester Elementary,1510005,ELA,131,40,13,4,118,36,166,51,29,9,326,,496.1,47.9,218,29,2018
Leicester - Leicester Elementary,1510005,MATH,116,36,11,3,105,32,169,52,41,13,326,,493.4,56.2,218,28,2018
Leicester - Leicester Middle,1510015,ELA,144,36,17,4,127,32,202,50,57,14,403,,493,50.9,394,19,2018
Leicester - Leicester Middle,1510015,MATH,148,37,14,3,134,33,216,54,39,10,403,,494.6,53.8,395,32,2018
Lenox - Lenox Memorial High,1520505,ELA,123,63,35,18,88,45,67,35,4,2,194,,509.9,55.5,176,81,2018
Lenox - Lenox Memorial High,1520505,MATH,125,65,27,14,98,51,59,31,9,5,193,,507.9,52.1,176,83,2018
Lenox - Morris,1520015,ELA,102,69,19,13,83,56,43,29,2,1,147,,510.5,59.9,96,84,2018
Lenox - Morris,1520015,MATH,100,68,16,11,84,58,43,29,3,2,146,,509.2,55.6,96,85,2018
Leominster - Fall Brook,1530007,ELA,193,59,23,7,170,52,117,36,18,5,328,,503.4,52.6,206,56,2018
Leominster - Fall Brook,1530007,MATH,206,63,21,6,185,56,106,32,16,5,328,,504,60.8,206,69,2018
Leominster - Frances Drake School,1530010,ELA,154,53,14,5,140,48,108,37,29,10,291,,501.8,49.5,187,49,2018
Leominster - Frances Drake School,1530010,MATH,160,55,33,11,127,44,92,32,39,13,291,,502.9,55.4,187,65,2018
Leominster - Johnny Appleseed,1530025,ELA,166,48,14,4,152,44,169,48,14,4,349,,501,38.6,206,46,2018
Leominster - Johnny Appleseed,1530025,MATH,178,51,22,6,156,45,144,41,27,8,349,,500.7,39.1,206,56,2018
Leominster - Northwest,1530030,ELA,132,37,10,3,122,34,197,55,31,9,360,,494.2,36.3,236,22,2018
Leominster - Northwest,1530030,MATH,143,40,21,6,122,34,173,48,45,12,361,,495.3,47.9,235,35,2018
Leominster - Samoset School,1530045,ELA,209,44,29,6,180,38,204,43,62,13,475,,497.7,48.4,446,34,2018
Leominster - Samoset School,1530045,MATH,203,43,25,5,178,37,218,46,55,12,476,,496.9,41,447,41,2018
Leominster - Sky View Middle School,1530320,ELA,327,38,29,3,298,35,388,46,137,16,852,,493,44.7,806,19,2018
Leominster - Sky View Middle School,1530320,MATH,386,45,44,5,342,40,378,44,86,10,850,,497.2,53.5,806,43,2018
Leverett - Leverett Elementary,1540005,ELA,50,74,12,18,38,56,15,22,3,4,68,,510.8,63.6,46,84,2018
Leverett - Leverett Elementary,1540005,MATH,47,69,7,10,40,59,18,26,3,4,68,,508.3,59.8,46,84,2018
Lexington - Bowman,1550008,ELA,254,84,85,28,169,56,47,16,1,0,302,,520.3,65.7,200,99,2018
Lexington - Bowman,1550008,MATH,239,79,69,23,170,56,55,18,7,2,301,,515.3,64.5,200,96,2018
Lexington - Bridge,1550006,ELA,240,78,67,22,173,56,63,20,5,2,308,,515.2,59,191,94,2018
Lexington - Bridge,1550006,MATH,233,76,67,22,166,54,73,24,2,1,308,,514.6,58.4,193,96,2018
Lexington - Fiske,1550015,ELA,227,79,68,24,159,55,50,17,11,4,288,,517.5,57.1,174,97,2018
Lexington - Fiske,1550015,MATH,235,82,72,25,163,57,41,14,11,4,287,,517.6,67.1,175,98,2018
Lexington - Harrington,1550030,ELA,173,74,52,22,121,51,52,22,10,4,235,,515.5,61.7,151,94,2018
Lexington - Harrington,1550030,MATH,181,77,66,28,115,49,37,16,17,7,235,,516.7,62.1,151,98,2018
Lexington - Jonas Clarke Middle,1550305,ELA,758,84,327,36,431,48,123,14,20,2,901,,521.4,63.9,844,99,2018
Lexington - Jonas Clarke Middle,1550305,MATH,779,86,340,38,439,49,102,11,22,2,903,,522.3,57.5,847,99,2018
Lexington - Joseph Estabrook,1550010,ELA,227,76,72,24,155,52,66,22,5,2,298,,514.9,58.9,191,93,2018
Lexington - Joseph Estabrook,1550010,MATH,220,74,84,28,136,46,62,21,15,5,297,,513.9,66.3,190,95,2018
Lexington - Maria Hastings,1550035,ELA,195,82,65,27,130,54,44,18,0,0,239,,518.6,61,157,98,2018
Lexington - Maria Hastings,1550035,MATH,196,82,58,24,138,58,40,17,3,1,239,,516.7,52.9,157,98,2018
Lexington - Wm Diamond Middle,1550310,ELA,715,82,314,36,401,46,135,16,17,2,867,,521.1,59.9,805,99,2018
Lexington - Wm Diamond Middle,1550310,MATH,750,87,321,37,429,50,102,12,14,2,866,,522.1,59.8,804,99,2018
Libertas Academy Charter School (District) - Libertas Academy Charter School,35140305,ELA,9,10,0,0,9,10,51,59,27,31,87,,480.2,30,73,4,2018
Libertas Academy Charter School (District) - Libertas Academy Charter School,35140305,MATH,21,24,0,0,21,24,50,57,16,18,87,,485.6,43.2,73,12,2018
Lincoln - Hanscom Middle,1570305,ELA,123,49,22,9,101,40,118,47,10,4,251,,501.1,47.7,185,46,2018
Lincoln - Hanscom Middle,1570305,MATH,116,47,9,4,107,43,118,48,13,5,247,,499.5,51.6,181,51,2018
Lincoln - Hanscom Primary,1570006,ELA,21,34,0,0,21,34,39,64,1,2,61,,496.3,,,29,2018
Lincoln - Hanscom Primary,1570006,MATH,27,44,6,10,21,34,30,49,4,7,61,,500.2,,,54,2018
Lincoln - Lincoln School,1570025,ELA,259,71,66,18,193,53,101,28,6,2,366,,512,56.5,298,87,2018
Lincoln - Lincoln School,1570025,MATH,267,73,55,15,212,58,87,24,12,3,366,,510.7,49.9,298,89,2018
Littleton - Littleton Middle School,1580305,ELA,267,75,81,23,186,52,76,21,13,4,356,,513.9,63.5,346,91,2018
Littleton - Littleton Middle School,1580305,MATH,245,68,42,12,203,57,103,29,10,3,358,,508.3,52.8,346,83,2018
Littleton - Russell St Elementary,1580015,ELA,242,64,31,8,211,56,131,35,6,2,379,,506.1,53,241,68,2018
Littleton - Russell St Elementary,1580015,MATH,213,56,27,7,186,49,152,40,14,4,379,,503.2,51.3,240,66,2018
Longmeadow - Blueberry Hill,1590005,ELA,182,78,50,22,132,57,49,21,1,0,232,,516,63.6,155,95,2018
Longmeadow - Blueberry Hill,1590005,MATH,172,74,31,13,141,61,58,25,2,1,232,,511.1,56.9,157,91,2018
Longmeadow - Center,1590010,ELA,154,70,27,12,127,58,59,27,7,3,220,,510,51.8,153,82,2018
Longmeadow - Center,1590010,MATH,144,65,23,10,121,55,65,30,11,5,220,,505.7,48.7,153,76,2018
Longmeadow - Glenbrook Middle,1590017,ELA,240,71,66,20,174,52,85,25,12,4,337,,511.8,55.5,317,87,2018
Longmeadow - Glenbrook Middle,1590017,MATH,241,72,55,16,186,55,83,25,13,4,337,,510.4,54.5,318,89,2018
Longmeadow - Williams Middle,1590305,ELA,237,73,50,15,187,58,81,25,5,2,323,,511.7,54,314,86,2018
Longmeadow - Williams Middle,1590305,MATH,231,72,64,20,167,52,85,26,6,2,322,,511.6,48.3,312,92,2018
Longmeadow - Wolf Swamp Road,1590025,ELA,121,65,21,11,100,53,58,31,8,4,187,,509.2,46.6,124,79,2018
Longmeadow - Wolf Swamp Road,1590025,MATH,113,60,18,10,95,51,60,32,14,7,187,,504.1,44.8,124,69,2018
Lowell - Abraham Lincoln,1600020,ELA,64,37,14,8,50,29,87,50,24,14,175,,494.5,49.2,82,23,2018
Lowell - Abraham Lincoln,1600020,MATH,58,33,5,3,53,30,88,50,31,18,177,,490.7,54.2,83,21,2018
Lowell - B.F. Butler Middle School,1600310,ELA,139,28,6,1,133,27,264,53,95,19,498,,488.1,38.5,472,10,2018
Lowell - B.F. Butler Middle School,1600310,MATH,162,32,7,1,155,31,258,52,79,16,499,,490.4,44.6,473,21,2018
Lowell - Bartlett Community Partnership,1600090,ELA,62,20,5,2,57,19,151,49,94,31,307,,486.2,45.6,229,7,2018
Lowell - Bartlett Community Partnership,1600090,MATH,66,22,4,1,62,20,152,50,87,29,305,,485.7,47.5,227,11,2018
Lowell - Charles W Morey,1600030,ELA,103,57,21,12,82,45,73,40,6,3,182,,504.9,41.3,84,64,2018
Lowell - Charles W Morey,1600030,MATH,111,61,16,9,95,52,62,34,9,5,182,,505.9,59.8,84,77,2018
Lowell - Charlotte M Murkland Elementary,1600080,ELA,66,39,12,7,54,32,82,48,23,13,171,,494.4,47.8,81,23,2018
Lowell - Charlotte M Murkland Elementary,1600080,MATH,65,38,12,7,53,31,86,50,20,12,171,,496.5,60.9,81,40,2018
Lowell - Dr An Wang School,1600345,ELA,320,49,51,8,269,41,254,39,81,12,655,,498.7,56.2,633,38,2018
Lowell - Dr An Wang School,1600345,MATH,273,42,38,6,235,36,304,47,76,12,653,,496,56.1,630,38,2018
Lowell - Dr Gertrude Bailey,1600002,ELA,97,55,24,14,73,41,71,40,9,5,177,,504.8,47.9,81,63,2018
Lowell - Dr Gertrude Bailey,1600002,MATH,87,49,17,10,70,40,77,44,13,7,177,,502.8,44.3,81,65,2018
Lowell - Greenhalge,1600015,ELA,57,34,3,2,54,32,89,53,23,14,169,,492.4,46.2,75,18,2018
Lowell - Greenhalge,1600015,MATH,52,31,4,2,48,28,85,50,33,19,170,,488.5,44.1,78,16,2018
Lowell - Henry J Robinson Middle,1600330,ELA,132,22,11,2,121,20,289,48,178,30,599,,483.4,41.4,559,5,2018
Lowell - Henry J Robinson Middle,1600330,MATH,150,25,15,3,135,23,300,50,148,25,598,,485.4,41.9,556,11,2018
Lowell - James S Daley Middle School,1600315,ELA,328,49,45,7,283,42,250,37,97,14,675,,500.2,51.3,610,42,2018
Lowell - James S Daley Middle School,1600315,MATH,356,53,39,6,317,47,242,36,78,12,676,,502.1,57.7,611,62,2018
Lowell - James Sullivan Middle School,1600340,ELA,156,26,11,2,145,24,294,49,145,24,595,,486.4,38.5,552,8,2018
Lowell - James Sullivan Middle School,1600340,MATH,156,26,11,2,145,24,327,55,111,19,594,,487.3,45.6,556,13,2018
Lowell - John J Shaughnessy,1600050,ELA,81,47,14,8,67,39,78,46,12,7,171,,501,43.1,80,46,2018
Lowell - John J Shaughnessy,1600050,MATH,73,43,11,6,62,36,83,49,14,8,170,,498.1,35.4,80,46,2018
Lowell - Joseph McAvinnue,1600010,ELA,60,34,11,6,49,28,87,49,31,17,178,,493,40.5,83,19,2018
Lowell - Joseph McAvinnue,1600010,MATH,58,33,5,3,53,30,91,51,29,16,178,,491.5,38,83,23,2018
Lowell - Kathryn P. Stoklosa Middle School,1600360,ELA,173,27,12,2,161,25,318,49,155,24,646,,486.9,46.4,603,8,2018
Lowell - Kathryn P. Stoklosa Middle School,1600360,MATH,235,36,20,3,215,33,312,48,99,15,646,,491.9,51,602,24,2018
Lowell - Laura Lee Therapeutic Day School,1600085,ELA,0,0,0,0,0,0,3,21,11,79,14,,462,,12,1,2018
Lowell - Laura Lee Therapeutic Day School,1600085,MATH,0,0,0,0,0,0,5,33,10,67,15,,465.5,,13,1,2018
Lowell - Moody Elementary,1600027,ELA,25,33,0,0,25,33,46,61,5,7,76,,492.8,45,37,18,2018
Lowell - Moody Elementary,1600027,MATH,29,38,1,1,28,37,34,45,13,17,76,,489.4,45.4,39,18,2018
Lowell - Pawtucketville Memorial,1600036,ELA,124,65,41,21,83,43,53,28,15,8,192,,507.7,51.9,90,74,2018
Lowell - Pawtucketville Memorial,1600036,MATH,100,52,17,9,83,43,70,37,21,11,191,,501,34,88,58,2018
Lowell - Peter W Reilly,1600040,ELA,90,42,26,12,64,30,92,43,30,14,212,,496.6,51.8,96,30,2018
Lowell - Peter W Reilly,1600040,MATH,60,28,4,2,56,26,102,48,50,24,212,,487.3,36.7,96,13,2018
Lowell - Pyne Arts,1600018,ELA,158,53,40,13,118,40,104,35,36,12,298,,502.7,48.7,239,53,2018
Lowell - Pyne Arts,1600018,MATH,134,45,17,6,117,39,135,45,28,9,297,,499.7,53,237,52,2018
Lowell - Rogers STEM Academy,1600005,ELA,116,34,11,3,105,31,177,52,50,15,343,,491.3,41.1,227,15,2018
Lowell - Rogers STEM Academy,1600005,MATH,85,25,6,2,79,23,193,57,62,18,340,,488.4,40.5,226,15,2018
Lowell - S Christa McAuliffe Elementary,1600075,ELA,66,38,15,9,51,29,88,51,20,11,174,,496.2,55.3,76,29,2018
Lowell - S Christa McAuliffe Elementary,1600075,MATH,70,40,11,6,59,34,74,43,29,17,173,,493.5,59.1,76,29,2018
Lowell - Washington,1600055,ELA,56,66,11,13,45,53,20,24,9,11,85,,508.2,50.7,41,75,2018
Lowell - Washington,1600055,MATH,43,51,6,7,37,44,31,36,11,13,85,,501.8,44.1,42,61,2018
Lowell Community Charter Public (District) - Lowell Community Charter Public School,4560050,ELA,254,53,43,9,211,44,196,41,33,7,483,,501.7,51.1,385,49,2018
Lowell Community Charter Public (District) - Lowell Community Charter Public School,4560050,MATH,263,54,40,8,223,46,194,40,26,5,483,,502.3,53.9,385,63,2018
Ludlow - Chapin Street Elementary School,1610020,ELA,60,38,2,1,58,37,85,54,11,7,156,,495.3,,,26,2018
Ludlow - Chapin Street Elementary School,1610020,MATH,48,31,5,3,43,28,86,55,21,14,155,,493.2,,,27,2018
Ludlow - Paul R Baird Middle,1610305,ELA,184,29,8,1,176,28,336,54,104,17,624,,489.2,45.9,605,11,2018
Ludlow - Paul R Baird Middle,1610305,MATH,254,41,31,5,223,36,293,47,75,12,622,,494.6,50.2,600,32,2018
Ludlow - Veterans Park Elementary,1610023,ELA,176,45,15,4,161,42,179,46,32,8,387,,497.5,53.8,361,33,2018
Ludlow - Veterans Park Elementary,1610023,MATH,150,39,7,2,143,37,186,48,50,13,386,,493.3,54.6,362,28,2018
Lunenburg - Lunenburg Middle School,1620305,ELA,224,54,37,9,187,45,164,40,26,6,414,,502,51.1,398,51,2018
Lunenburg - Lunenburg Middle School,1620305,MATH,244,59,23,6,221,53,152,37,18,4,414,,503.5,55.6,399,68,2018
Lunenburg - Turkey Hill Elementary School,1620025,ELA,172,48,16,4,156,43,171,47,18,5,361,,499.2,41.9,246,39,2018
Lunenburg - Turkey Hill Elementary School,1620025,MATH,171,48,12,3,159,44,162,45,26,7,359,,498.9,51.9,245,49,2018
Lynn - A Drewicz Elementary,1630016,ELA,100,37,5,2,95,35,145,54,23,9,268,,494.9,51.5,176,25,2018
Lynn - A Drewicz Elementary,1630016,MATH,92,34,5,2,87,32,144,54,32,12,268,,491.9,58.3,176,24,2018
Lynn - Aborn,1630011,ELA,75,56,9,7,66,50,48,36,10,8,133,,501,41.1,84,46,2018
Lynn - Aborn,1630011,MATH,69,52,7,5,62,47,54,41,10,8,133,,499.5,45.7,84,51,2018
Lynn - Breed Middle School,1630405,ELA,427,34,43,3,384,31,570,46,253,20,"1,250",,491.2,50.3,"1,149",15,2018
Lynn - Breed Middle School,1630405,MATH,329,26,26,2,303,24,705,56,215,17,"1,249",,488.9,43.5,"1,150",17,2018
Lynn - Brickett Elementary,1630020,ELA,63,43,7,5,56,38,72,49,12,8,147,,497.7,52.3,95,34,2018
Lynn - Brickett Elementary,1630020,MATH,57,39,4,3,53,36,77,52,13,9,147,,494.8,59.3,95,33,2018
Lynn - Capt William G Shoemaker,1630090,ELA,81,52,8,5,73,47,35,22,40,26,156,,504.9,50.7,79,64,2018
Lynn - Capt William G Shoemaker,1630090,MATH,74,47,9,6,65,42,47,30,35,22,156,,504.7,50.5,79,72,2018
Lynn - Cobbet Elementary,1630035,ELA,74,25,4,1,70,23,189,63,37,12,300,,490,46.3,190,12,2018
Lynn - Cobbet Elementary,1630035,MATH,88,29,8,3,80,27,167,55,46,15,301,,490.5,56.3,191,21,2018
Lynn - E J Harrington,1630045,ELA,95,35,9,3,86,32,151,56,23,9,269,,495.9,40.5,158,28,2018
Lynn - E J Harrington,1630045,MATH,72,27,1,0,71,26,159,59,38,14,269,,490.4,41.4,159,21,2018
Lynn - Edward A Sisson,1630095,ELA,116,55,21,10,95,45,81,38,15,7,212,,505.5,44.1,131,66,2018
Lynn - Edward A Sisson,1630095,MATH,99,47,6,3,93,44,92,43,21,10,212,,499.9,40.7,131,53,2018
Lynn - Fecteau-Leary Junior/Senior High School,1630525,ELA,0,0,0,0,0,0,6,50,6,50,12,,470.6,,11,2,2018
Lynn - Fecteau-Leary Junior/Senior High School,1630525,MATH,0,0,0,0,0,0,7,58,5,42,12,,470.8,,11,2,2018
Lynn - Hood,1630055,ELA,83,34,9,4,74,30,120,49,40,16,243,,494.4,51.4,125,23,2018
Lynn - Hood,1630055,MATH,70,29,3,1,67,28,123,51,50,21,243,,490.2,56.9,125,20,2018
Lynn - Ingalls,1630060,ELA,87,27,4,1,83,26,172,53,64,20,323,,488.8,42.3,198,11,2018
Lynn - Ingalls,1630060,MATH,80,25,3,1,77,24,175,54,69,21,324,,487.9,51.6,199,14,2018
Lynn - Julia F Callahan,1630030,ELA,56,27,2,1,54,26,120,57,35,17,211,,490,43,135,12,2018
Lynn - Julia F Callahan,1630030,MATH,60,29,2,1,58,28,108,51,42,20,210,,489.9,51.3,133,19,2018
Lynn - Lincoln-Thomson,1630070,ELA,39,31,3,2,36,29,71,57,14,11,124,,492.7,48.8,81,18,2018
Lynn - Lincoln-Thomson,1630070,MATH,38,31,4,3,34,27,71,57,15,12,124,,491.7,57.2,81,24,2018
Lynn - Lynn Woods,1630075,ELA,62,70,7,8,55,62,23,26,4,4,89,,507,43.4,50,72,2018
Lynn - Lynn Woods,1630075,MATH,51,57,7,8,44,49,34,38,4,4,89,,506.5,61,51,78,2018
Lynn - Pickering Middle,1630420,ELA,213,36,23,4,190,32,305,51,78,13,596,,493.4,39.9,561,20,2018
Lynn - Pickering Middle,1630420,MATH,257,43,17,3,240,40,279,47,60,10,596,,496.4,47.2,565,39,2018
Lynn - Robert L Ford,1630050,ELA,69,26,2,1,67,25,162,61,36,13,267,,489.5,47.5,181,12,2018
Lynn - Robert L Ford,1630050,MATH,64,24,1,0,63,24,167,62,37,14,268,,488.5,56.3,180,16,2018
Lynn - Sewell-Anderson,1630085,ELA,66,44,2,1,64,43,61,41,22,15,149,,500.9,40.3,83,45,2018
Lynn - Sewell-Anderson,1630085,MATH,60,40,4,3,56,38,65,44,24,16,149,,499.7,51.2,83,52,2018
Lynn - Thurgood Marshall Mid,1630305,ELA,391,33,39,3,352,29,566,47,243,20,"1,200",,490.4,52.8,"1,091",13,2018
Lynn - Thurgood Marshall Mid,1630305,MATH,294,25,16,1,278,23,642,54,264,22,"1,200",,486.7,45.6,"1,090",13,2018
Lynn - Tracy,1630100,ELA,81,34,4,2,77,33,137,58,18,8,236,,493.5,42.3,151,20,2018
Lynn - Tracy,1630100,MATH,55,23,2,1,53,22,152,64,29,12,236,,489.3,29.4,151,17,2018
Lynn - Washington Elementary School,1630005,ELA,67,32,6,3,61,29,112,54,28,14,207,,491,41.6,145,14,2018
Lynn - Washington Elementary School,1630005,MATH,57,28,9,4,48,23,114,55,36,17,207,,489.3,38.4,145,17,2018
Lynn - William R Fallon,1630080,ELA,5,17,0,0,5,17,0,0,24,83,29,,513,,4,,2018
Lynn - William R Fallon,1630080,MATH,6,21,0,0,6,21,0,0,23,79,29,,513,,4,,2018
Lynn - Wm P Connery,1630040,ELA,69,23,3,1,66,22,175,58,56,19,300,,488.1,38.3,196,10,2018
Lynn - Wm P Connery,1630040,MATH,87,29,9,3,78,26,166,55,47,16,300,,490.7,46.1,196,21,2018
Lynnfield - Huckleberry Hill,1640010,ELA,123,76,27,17,96,59,38,23,1,1,162,,513.5,44.4,79,91,2018
Lynnfield - Huckleberry Hill,1640010,MATH,125,78,29,18,96,60,35,22,1,1,161,,515,52.8,79,96,2018
Lynnfield - Lynnfield Middle School,1640405,ELA,450,67,94,14,356,53,195,29,24,4,669,,509.4,48.6,660,80,2018
Lynnfield - Lynnfield Middle School,1640405,MATH,483,72,84,13,399,60,174,26,10,1,667,,509.9,51.2,658,87,2018
Lynnfield - Summer Street,1640020,ELA,154,85,60,33,94,52,25,14,2,1,181,,520.5,59.6,81,99,2018
Lynnfield - Summer Street,1640020,MATH,156,86,51,28,105,58,22,12,4,2,182,,518.2,52.3,81,99,2018
Malden - Beebe,1650003,ELA,280,50,47,8,233,41,224,40,58,10,562,,500.5,56.4,436,44,2018
Malden - Beebe,1650003,MATH,281,50,41,7,240,43,220,39,62,11,563,,499,56.8,436,49,2018
Malden - Ferryway,1650013,ELA,303,54,52,9,251,45,213,38,46,8,562,,501,52.7,454,46,2018
Malden - Ferryway,1650013,MATH,231,41,23,4,208,37,274,49,57,10,562,,496,49,455,38,2018
Malden - Forestdale,1650027,ELA,178,49,22,6,156,43,147,40,40,11,365,,499.1,57.8,272,39,2018
Malden - Forestdale,1650027,MATH,143,39,13,4,130,36,173,48,47,13,363,,494.5,58.5,272,32,2018
Malden - Linden,1650047,ELA,309,54,76,13,233,41,191,33,72,13,572,,502.5,58,443,52,2018
Malden - Linden,1650047,MATH,251,44,53,9,198,35,219,38,102,18,572,,495.7,50.5,446,36,2018
Malden - Salemwood,1650057,ELA,296,41,29,4,267,37,294,41,133,18,723,,493.4,53.8,525,20,2018
Malden - Salemwood,1650057,MATH,278,38,29,4,249,34,321,44,124,17,723,,492.1,54.2,528,25,2018
Manchester Essex Regional - Essex Elementary,6980020,ELA,90,71,20,16,70,56,34,27,2,2,126,,511.1,57.8,85,85,2018
Manchester Essex Regional - Essex Elementary,6980020,MATH,78,62,7,6,71,56,40,32,8,6,126,,504.2,58.1,85,70,2018
Manchester Essex Regional - Manchester Essex Regional Middle School,6980030,ELA,252,69,47,13,205,56,101,28,11,3,364,,508.4,51.5,354,76,2018
Manchester Essex Regional - Manchester Essex Regional Middle School,6980030,MATH,236,64,26,7,210,57,118,32,13,4,367,,505.2,42.8,357,74,2018
Manchester Essex Regional - Manchester Memorial Elementary,6980010,ELA,159,81,44,22,115,58,35,18,3,2,197,,515.8,69.2,141,95,2018
Manchester Essex Regional - Manchester Memorial Elementary,6980010,MATH,147,75,33,17,114,58,43,22,7,4,197,,509.9,56.7,141,87,2018
Mansfield - Harold L Qualters Middle,1670035,ELA,550,60,93,10,457,50,313,34,58,6,921,,504.7,49.1,898,63,2018
Mansfield - Harold L Qualters Middle,1670035,MATH,563,61,87,9,476,52,304,33,55,6,922,,504.2,43,897,70,2018
Mansfield - Jordan/Jackson Elementary,1670014,ELA,479,62,52,7,427,55,265,34,28,4,772,,504.8,51.1,521,63,2018
Mansfield - Jordan/Jackson Elementary,1670014,MATH,442,57,53,7,389,50,304,39,28,4,774,,502.8,48.1,521,64,2018
Marblehead - Glover,1680020,ELA,60,69,5,6,55,63,27,31,0,0,87,,507.6,,,74,2018
Marblehead - Glover,1680020,MATH,47,54,5,6,42,48,38,44,2,2,87,,503.3,,,67,2018
Marblehead - L H Coffin,1680010,ELA,60,77,12,15,48,62,18,23,0,0,78,,513.4,,,91,2018
Marblehead - L H Coffin,1680010,MATH,48,62,7,9,41,53,28,36,2,3,78,,505.1,,,73,2018
Marblehead - Malcolm L Bell,1680005,ELA,47,59,5,6,42,53,28,35,4,5,79,,504.4,,,61,2018
Marblehead - Malcolm L Bell,1680005,MATH,48,61,3,4,45,57,25,32,6,8,79,,500.1,,,54,2018
Marblehead - Marblehead Veterans Middle School,1680300,ELA,358,75,103,22,255,53,96,20,25,5,479,,513.3,65.3,471,90,2018
Marblehead - Marblehead Veterans Middle School,1680300,MATH,308,64,50,10,258,54,145,30,27,6,480,,505.9,55.2,469,77,2018
Marblehead - Village School,1680016,ELA,421,67,56,9,365,58,195,31,17,3,633,,507.4,46.2,615,73,2018
Marblehead - Village School,1680016,MATH,424,67,60,10,364,58,182,29,25,4,631,,506.5,57.4,615,78,2018
Marblehead Community Charter Public (District) - Marblehead Community Charter Public School,4640305,ELA,132,58,15,7,117,51,89,39,8,3,229,,503.1,43,204,55,2018
Marblehead Community Charter Public (District) - Marblehead Community Charter Public School,4640305,MATH,137,60,13,6,124,54,80,35,11,5,228,,502.9,51.5,204,66,2018
Marion - Sippican,1690005,ELA,169,68,34,14,135,54,73,29,7,3,249,,509.1,49.6,183,79,2018
Marion - Sippican,1690005,MATH,156,63,30,12,126,51,83,33,10,4,249,,507.3,49.1,184,81,2018
Marlborough - 1 LT Charles W. Whitcomb School,1700045,ELA,479,39,69,6,410,33,522,42,243,20,"1,244",,492.2,52.2,"1,154",17,2018
Marlborough - 1 LT Charles W. Whitcomb School,1700045,MATH,411,33,44,4,367,30,616,50,212,17,"1,239",,491.2,51.8,"1,148",22,2018
Marlborough - Charles Jaworek School,1700030,ELA,111,40,19,7,92,33,136,49,33,12,280,,496.3,40.2,129,29,2018
Marlborough - Charles Jaworek School,1700030,MATH,132,47,23,8,109,39,115,41,33,12,280,,498.4,64.1,129,47,2018
Marlborough - Francis J Kane,1700008,ELA,112,43,24,9,88,34,123,47,24,9,259,,497.8,52.2,112,35,2018
Marlborough - Francis J Kane,1700008,MATH,102,39,10,4,92,36,110,42,47,18,259,,491.4,57.3,112,23,2018
Marlborough - Richer,1700025,ELA,109,49,14,6,95,42,98,44,17,8,224,,498.9,50,118,38,2018
Marlborough - Richer,1700025,MATH,119,53,27,12,92,41,87,39,18,8,224,,501.9,61.2,119,61,2018
Marshfield - Daniel Webster,1710015,ELA,109,75,22,15,87,60,35,24,2,1,146,,511.7,56.7,99,86,2018
Marshfield - Daniel Webster,1710015,MATH,91,62,8,5,83,57,53,36,2,1,146,,504.9,59.5,99,72,2018
Marshfield - Eames Way School,1710005,ELA,93,79,18,15,75,64,20,17,5,4,118,,514.3,61.7,75,92,2018
Marshfield - Eames Way School,1710005,MATH,86,73,11,9,75,64,27,23,5,4,118,,510.2,59.4,75,88,2018
Marshfield - Furnace Brook Middle,1710310,ELA,608,63,122,13,486,51,323,34,28,3,959,,506.9,47.1,947,71,2018
Marshfield - Furnace Brook Middle,1710310,MATH,612,64,98,10,514,54,304,32,39,4,955,,506,47.6,940,77,2018
Marshfield - Gov Edward Winslow,1710020,ELA,171,81,48,23,123,58,41,19,0,0,212,,516,64.3,158,95,2018
Marshfield - Gov Edward Winslow,1710020,MATH,159,75,20,9,139,66,50,24,3,1,212,,510.1,64.7,158,88,2018
Marshfield - Martinson Elementary,1710025,ELA,164,78,49,23,115,55,43,20,4,2,211,,516.3,70.4,138,95,2018
Marshfield - Martinson Elementary,1710025,MATH,133,63,11,5,122,58,70,33,9,4,212,,504.2,50,139,70,2018
Marshfield - South River,1710010,ELA,149,70,41,19,108,51,63,30,1,0,213,,512.1,54.6,141,88,2018
Marshfield - South River,1710010,MATH,125,59,15,7,110,52,78,37,10,5,213,,503.7,51.5,139,68,2018
Martha's Vineyard Charter Public School (District) - Martha's Vineyard Charter Public School,4660550,ELA,42,43,7,7,35,36,49,51,6,6,97,,498.9,56.4,77,38,2018
Martha's Vineyard Charter Public School (District) - Martha's Vineyard Charter Public School,4660550,MATH,29,29,0,0,29,29,57,57,14,14,100,,490,42.3,80,19,2018
"Martin Luther King, Jr. Charter School of Excellence (District) - Martin Luther King, Jr. Charter School of Excellence",4920005,ELA,83,47,6,3,77,44,87,50,5,3,175,,498.9,50.7,114,38,2018
"Martin Luther King, Jr. Charter School of Excellence (District) - Martin Luther King, Jr. Charter School of Excellence",4920005,MATH,108,62,18,10,90,51,64,37,3,2,175,,505,67.8,113,73,2018
