School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL,Year
Attleboro - Wamsutta Middle School,160320,MATH,230,41,23,4,207,37,268,48,64,11,562,,494.6,44,537,32,2018
Auburn - Auburn Middle,170305,ELA,290,47,34,5,256,41,262,42,71,11,623,,497.9,38.9,600,35,2018
Auburn - Auburn Middle,170305,MATH,298,48,43,7,255,41,275,44,51,8,624,,499.1,46.2,601,50,2018
Auburn - Swanson Road Intermediate School,170030,ELA,394,70,64,11,330,59,149,27,19,3,562,,509.2,50.5,358,79,2018
Auburn - Swanson Road Intermediate School,170030,MATH,315,56,41,7,274,49,209,37,39,7,563,,502.7,49.8,359,64,2018
Avon - Avon Middle High School,180510,ELA,60,52,7,6,53,46,41,35,15,13,116,,499.3,49.1,113,40,2018
Avon - Avon Middle High School,180510,MATH,54,45,5,4,49,41,52,44,13,11,119,,497.8,45.7,116,44,2018
Avon - Ralph D Butler,180010,ELA,136,60,22,10,114,50,78,34,14,6,228,,503.5,48.2,169,57,2018
Avon - Ralph D Butler,180010,MATH,89,39,12,5,77,34,108,48,30,13,227,,494.5,50,167,32,2018
Ayer Shirley School District - Ayer Shirley Regional Middle School,6160305,ELA,142,40,17,5,125,35,170,48,42,12,354,,494.7,44.3,344,24,2018
Ayer Shirley School District - Ayer Shirley Regional Middle School,6160305,MATH,142,41,14,4,128,37,170,49,38,11,350,,495.8,50.9,340,37,2018
Ayer Shirley School District - Lura A. White Elementary School,6160001,ELA,87,49,8,4,79,44,82,46,9,5,178,,500.8,40.7,112,44,2018
Ayer Shirley School District - Lura A. White Elementary School,6160001,MATH,78,44,6,3,72,41,81,46,18,10,177,,496.9,45.7,114,41,2018
Ayer Shirley School District - Page Hilltop Elementary School,6160002,ELA,133,53,17,7,116,47,105,42,11,4,249,,501,53.6,162,46,2018
Ayer Shirley School District - Page Hilltop Elementary School,6160002,MATH,89,36,7,3,82,33,139,56,21,8,249,,493.3,51.2,162,28,2018
Barnstable - Barnstable High,200505,ELA,166,44,22,6,144,38,140,37,71,19,377,,494.1,41.8,360,22,2018
Barnstable - Barnstable High,200505,MATH,136,36,14,4,122,32,186,49,55,15,377,,493.2,45.8,361,27,2018
Barnstable - Barnstable Intermediate School,200315,ELA,309,44,49,7,260,37,284,41,108,15,701,,497,50,663,32,2018
Barnstable - Barnstable Intermediate School,200315,MATH,298,42,31,4,267,38,318,45,86,12,702,,496.6,46.2,662,40,2018
Barnstable - Barnstable United Elementary School,200050,ELA,379,46,26,3,353,43,364,45,74,9,817,,497.8,42.1,756,35,2018
Barnstable - Barnstable United Elementary School,200050,MATH,364,45,34,4,330,41,364,45,86,11,814,,496.6,47.9,753,40,2018
Barnstable - Centerville Elementary,200010,ELA,52,68,14,18,38,50,19,25,5,7,76,,513.1,,,90,2018
Barnstable - Centerville Elementary,200010,MATH,44,58,6,8,38,50,27,36,5,7,76,,505.5,,,75,2018
Barnstable - Hyannis West Elementary,200025,ELA,34,44,5,6,29,37,40,51,4,5,78,,499.5,,,41,2018
Barnstable - Hyannis West Elementary,200025,MATH,39,49,3,4,36,46,30,38,10,13,79,,497.1,,,42,2018
Barnstable - West Barnstable Elementary,200005,ELA,30,46,4,6,26,40,32,49,3,5,65,,502.3,,,52,2018
Barnstable - West Barnstable Elementary,200005,MATH,31,48,3,5,28,43,27,42,7,11,65,,496.7,,,41,2018
Barnstable - West Villages Elementary School,200045,ELA,80,71,14,12,66,58,27,24,6,5,113,,511.5,,,86,2018
Barnstable - West Villages Elementary School,200045,MATH,81,72,22,19,59,52,25,22,7,6,113,,512.3,,,92,2018
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School,4270010,ELA,44,64,3,4,41,59,24,35,1,1,69,,506.9,,,71,2018
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School,4270010,MATH,46,67,2,3,44,64,20,29,3,4,69,,506.7,,,79,2018
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,ELA,44,19,1,0,43,18,130,55,62,26,236,,483.8,33.3,227,6,2018
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,MATH,45,19,2,1,43,18,134,57,57,24,236,,483,32.3,226,8,2018
Bedford - John Glenn Middle,230305,ELA,367,64,99,17,268,47,174,30,35,6,576,,507.5,48.8,559,73,2018
Bedford - John Glenn Middle,230305,MATH,378,66,114,20,264,46,168,29,28,5,574,,509.5,53.4,559,86,2018
Bedford - Lt Job Lane School,230012,ELA,461,77,133,22,328,55,126,21,12,2,599,,514.8,66.1,381,93,2018
Bedford - Lt Job Lane School,230012,MATH,422,70,89,15,333,56,148,25,29,5,599,,510,55.3,382,87,2018
Belchertown - Chestnut Hill Community School,240006,ELA,248,47,25,5,223,42,250,47,35,7,533,,498.5,41.5,514,37,2018
Belchertown - Chestnut Hill Community School,240006,MATH,192,36,11,2,181,34,291,54,51,10,534,,494.2,49.4,517,31,2018
Belchertown - Jabish Middle School,240025,ELA,164,42,25,6,139,36,181,47,43,11,388,,497,48.2,379,32,2018
Belchertown - Jabish Middle School,240025,MATH,173,44,12,3,161,41,182,47,35,9,390,,496.4,42.2,381,39,2018
Belchertown - Swift River Elementary,240018,ELA,87,55,9,6,78,49,63,40,9,6,159,,502.6,,,53,2018
Belchertown - Swift River Elementary,240018,MATH,47,30,4,3,43,27,83,52,29,18,159,,490.3,,,20,2018
Bellingham - Bellingham High School,250505,ELA,70,39,7,4,63,35,76,43,32,18,178,,493.1,47,170,19,2018
Bellingham - Bellingham High School,250505,MATH,73,41,10,6,63,36,86,49,18,10,177,,496.7,44.4,170,41,2018
Bellingham - Bellingham Memorial School,250315,ELA,321,46,37,5,284,41,335,48,45,6,701,,498.3,44.3,681,36,2018
Bellingham - Bellingham Memorial School,250315,MATH,293,42,21,3,272,39,352,50,56,8,701,,496.2,46.4,681,39,2018
Bellingham - Joseph F DiPietro Elementary School,250020,ELA,38,40,4,4,34,36,51,54,6,6,95,,497.9,,,35,2018
Bellingham - Joseph F DiPietro Elementary School,250020,MATH,44,47,4,4,40,43,41,44,9,10,94,,497.8,,,44,2018
Bellingham - Stall Brook,250025,ELA,46,55,13,15,33,39,33,39,5,6,84,,505.9,,,67,2018
Bellingham - Stall Brook,250025,MATH,38,45,12,14,26,31,35,42,11,13,84,,500.8,,,57,2018
Belmont - Daniel Butler,260015,ELA,125,81,48,31,77,50,30,19,0,0,155,,518.8,78,68,98,2018
Belmont - Daniel Butler,260015,MATH,116,75,40,26,76,49,34,22,5,3,155,,514,72.7,68,95,2018
Belmont - Mary Lee Burbank,260010,ELA,138,87,49,31,89,56,19,12,2,1,159,,520.7,71.2,73,99,2018
Belmont - Mary Lee Burbank,260010,MATH,128,81,51,32,77,48,25,16,6,4,159,,518.3,58.3,73,99,2018
Belmont - Roger E Wellington,260035,ELA,194,82,68,29,126,53,36,15,6,3,236,,518,57.5,113,97,2018
Belmont - Roger E Wellington,260035,MATH,182,77,68,29,114,48,48,20,6,3,236,,517.4,55.9,114,98,2018
Belmont - Winn Brook,260005,ELA,164,81,55,27,109,54,37,18,2,1,203,,518.5,66.5,101,97,2018
Belmont - Winn Brook,260005,MATH,170,84,68,33,102,50,33,16,0,0,203,,520.5,45.4,101,99,2018
Belmont - Winthrop L Chenery Middle,260305,ELA,"1,079",78,317,23,762,55,273,20,35,3,"1,387",,514.8,55.5,"1,315",93,2018
Belmont - Winthrop L Chenery Middle,260305,MATH,"1,089",79,397,29,692,50,273,20,24,2,"1,386",,516.9,59.6,"1,313",98,2018
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,4200205,ELA,122,68,40,22,82,46,52,29,6,3,180,,512.1,60.1,131,88,2018
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,4200205,MATH,117,65,22,12,95,52,57,31,7,4,181,,506.9,55.7,131,80,2018
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,4470205,ELA,219,75,55,19,164,56,66,23,8,3,293,,512.5,45.3,233,89,2018
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,4470205,MATH,214,73,55,19,159,54,69,24,10,3,293,,511.9,47.2,232,91,2018
