School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Attleboro - Hyman Fine Elementary School;00160040;MATH;          60;34;           2;1;          58;33;          78;44;          40;22;         178;99;     487.4;;;2021;ALL;title 1
Attleboro - Peter Thacher Elementary School;00160050;ELA;          79;46;          14;8;          65;38;          63;37;          28;16;         170;99;     500.0;;;2021;ALL;title 1
Attleboro - Peter Thacher Elementary School;00160050;MATH;          53;31;           5;3;          48;28;          68;40;          49;29;         170;99;     487.6;;;2021;ALL;title 1
Attleboro - Thomas Willett Elementary School;00160035;ELA;          54;44;           6;5;          48;39;          53;43;          15;12;         122;98;     494.3;;;2021;ALL;title 1
Attleboro - Thomas Willett Elementary School;00160035;MATH;          34;28;           1;1;          33;27;          58;48;          30;25;         122;98;     484.3;;;2021;ALL;title 1
Auburn - Auburn Middle;00170305;ELA;           7;11;           0;0;           7;11;          32;48;          27;41;          66;93;     477.7;          27.6;          65;2021;ALL;title 1
Auburn - Auburn Middle;00170305;MATH;           4;6;           0;0;           4;6;          34;51;          29;43;          67;93;     472.4;          29.4;          66;2021;ALL;title 1
Auburn - Auburn Middle;00170305;SCI;           0;0;           0;0;           0;0;          12;71;           5;29;          17;85;     476.6;;;2021;ALL;title 1
Auburn - Swanson Road Intermediate School;00170030;ELA;           5;11;           0;0;           5;11;          35;76;           6;13;          46;100;     484.4;;          15;2021;ALL;title 1
Auburn - Swanson Road Intermediate School;00170030;MATH;           1;2;           0;0;           1;2;          24;52;          21;46;          46;100;     470.3;;          15;2021;ALL;title 1
Auburn - Swanson Road Intermediate School;00170030;SCI;           2;13;           0;0;           2;13;           9;60;           4;27;          15;100;     482.6;;;2021;ALL;title 1
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;ELA;         161;43;          25;7;         136;36;         168;44;          49;13;         378;94;     496.8;          40.7;         363;2021;ALL;title 1
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;MATH;         100;26;           8;2;          92;24;         221;58;          57;15;         378;94;     489.1;          27.6;         365;2021;ALL;title 1
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;SCI;          46;40;           7;6;          39;34;          58;50;          11;10;         115;92;     496.2;;;2021;ALL;title 1
Ayer Shirley School District - Lura A. White Elementary School;06160001;ELA;          72;44;           4;2;          68;42;          76;47;          15;9;         163;98;     495.0;          28.7;          51;2021;ALL;title 1
Ayer Shirley School District - Lura A. White Elementary School;06160001;MATH;          43;26;           5;3;          38;23;          88;54;          32;20;         163;98;     485.3;          26.9;          51;2021;ALL;title 1
Ayer Shirley School District - Lura A. White Elementary School;06160001;SCI;          29;52;           4;7;          25;45;          20;36;           7;13;          56;98;     498.2;;;2021;ALL;title 1
Ayer Shirley School District - Page Hilltop Elementary School;06160002;ELA;         113;54;          15;7;          98;46;          85;40;          13;6;         211;96;     500.7;          22.7;          68;2021;ALL;title 1
Ayer Shirley School District - Page Hilltop Elementary School;06160002;MATH;          70;33;           8;4;          62;30;         110;52;          30;14;         210;95;     490.6;          32.6;          67;2021;ALL;title 1
Ayer Shirley School District - Page Hilltop Elementary School;06160002;SCI;          34;49;           2;3;          32;46;          28;41;           7;10;          69;95;     497.3;;;2021;ALL;title 1
Barnstable - Barnstable Community Innovation School;00200012;ELA;          34;45;           3;4;          31;41;          33;44;           8;11;          75;99;     495.8;;;2021;ALL;title 1
Barnstable - Barnstable Community Innovation School;00200012;MATH;          22;29;           2;3;          20;27;          35;47;          18;24;          75;99;     486.1;;;2021;ALL;title 1
Barnstable - Barnstable United Elementary School;00200050;ELA;         273;42;          25;4;         248;38;         283;44;          91;14;         647;96;     494.3;          32.2;         311;2021;ALL;title 1
Barnstable - Barnstable United Elementary School;00200050;MATH;         165;26;          12;2;         153;24;         342;54;         132;21;         639;95;     485.9;          26.3;         312;2021;ALL;title 1
Barnstable - Barnstable United Elementary School;00200050;SCI;         120;36;          13;4;         107;32;         150;45;          63;19;         333;96;     491.1;;;2021;ALL;title 1
Barnstable - Hyannis West Elementary;00200025;ELA;          27;39;           2;3;          25;36;          33;48;           9;13;          69;99;     491.6;;;2021;ALL;title 1
Barnstable - Hyannis West Elementary;00200025;MATH;          10;15;           0;0;          10;15;          34;50;          24;35;          68;97;     477.6;;;2021;ALL;title 1
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;ELA;          44;20;           4;2;          40;18;          95;43;          84;38;         223;97;     478.8;          25.4;         208;2021;ALL;title 1
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;MATH;          13;6;           0;0;          13;6;         120;55;          86;39;         219;95;     473.4;          14.3;         205;2021;ALL;title 1
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;SCI;           4;8;           0;0;           4;8;          31;58;          18;34;          53;98;     477.4;;;2021;ALL;title 1
Bedford - John Glenn Middle;00230305;ELA;          10;45;           0;0;          10;45;          10;45;           2;9;          22;88;     498.9;          40.6;          21;2021;ALL;title 1
Bedford - John Glenn Middle;00230305;MATH;           3;14;           0;0;           3;14;          16;73;           3;14;          22;88;     486.6;          46.6;          21;2021;ALL;title 1
Bedford - Lt Job Lane School;00230012;ELA;          22;50;           3;7;          19;43;          19;43;           3;7;          44;100;     498.6;;          12;2021;ALL;title 1
Bedford - Lt Job Lane School;00230012;MATH;          11;25;           1;2;          10;23;          24;55;           9;20;          44;100;     486.1;;          12;2021;ALL;title 1
Bedford - Lt Job Lane School;00230012;SCI;           4;33;           1;8;           3;25;           8;67;           0;0;          12;100;     493.8;;;2021;ALL;title 1
Belchertown - Swift River Elementary;00240018;ELA;           4;18;           1;5;           3;14;          16;73;           2;9;          22;96;     492.3;;;2021;ALL;title 1
Belchertown - Swift River Elementary;00240018;MATH;           4;18;           0;0;           4;18;          10;45;           8;36;          22;96;     478.0;;;2021;ALL;title 1
Bellingham - Joseph F DiPietro Elementary School;00250020;ELA;          36;53;           3;4;          33;49;          30;44;           2;3;          68;99;     499.3;;;2021;ALL;title 1
Bellingham - Joseph F DiPietro Elementary School;00250020;MATH;          23;34;           1;1;          22;32;          35;51;          10;15;          68;99;     490.1;;;2021;ALL;title 1
Bellingham - Stall Brook;00250025;ELA;          28;42;           5;8;          23;35;          26;39;          12;18;          66;100;     496.8;;;2021;ALL;title 1
Bellingham - Stall Brook;00250025;MATH;          15;23;           0;0;          15;23;          27;41;          24;36;          66;100;     482.8;;;2021;ALL;title 1
