School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Amesbury - Amesbury Middle;00070013;MATH;          17;30;           0;0;          17;30;          28;49;          12;21;          57;97;     486.5;          48.2;          49;58;2022;ALL;hispanic/latino
Amesbury - Amesbury Middle;00070013;SCI;          11;34;           2;6;           9;28;          15;47;           6;19;          32;97;     491.4;;;76;2022;ALL;hispanic/latino
Amesbury - Charles C Cashman Elementary;00070010;ELA;           5;29;           0;0;           5;29;           8;47;           4;24;          17;95;     491.1;;           8;69;2022;ALL;hispanic/latino
Amesbury - Charles C Cashman Elementary;00070010;MATH;           6;35;           1;6;           5;29;           4;24;           7;41;          17;100;     492.7;;           8;78;2022;ALL;hispanic/latino
Amherst - Crocker Farm Elementary;00080009;ELA;           6;21;           0;0;           6;21;          12;41;          11;38;          29;94;     482.1;;          10;33;2022;ALL;hispanic/latino
Amherst - Crocker Farm Elementary;00080009;MATH;           8;29;           0;0;           8;29;          11;39;           9;32;          28;91;     481.0;;           9;36;2022;ALL;hispanic/latino
Amherst - Fort River Elementary;00080020;ELA;           3;9;           0;0;           3;9;          18;56;          11;34;          32;83;     478.9;;          19;20;2022;ALL;hispanic/latino
Amherst - Fort River Elementary;00080020;MATH;           6;18;           1;3;           5;15;          12;36;          15;45;          33;85;     473.1;;          18;11;2022;ALL;hispanic/latino
Amherst - Fort River Elementary;00080020;SCI;           2;17;           2;17;           0;0;           3;25;           7;58;          12;72;     475.0;;;19;2022;ALL;hispanic/latino
Amherst - Wildwood Elementary;00080050;ELA;           9;20;           2;5;           7;16;          19;43;          16;36;          44;94;     483.6;;          14;39;2022;ALL;hispanic/latino
Amherst - Wildwood Elementary;00080050;MATH;           9;20;           1;2;           8;18;          13;30;          22;50;          44;94;     476.9;;          15;20;2022;ALL;hispanic/latino
Amherst - Wildwood Elementary;00080050;SCI;           2;18;           0;0;           2;18;           4;36;           5;45;          11;100;     475.6;;;21;2022;ALL;hispanic/latino
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;          16;33;           1;2;          15;31;          19;39;          14;29;          49;71;     484.9;          37.8;          20;45;2022;ALL;hispanic/latino
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;           9;17;           4;7;           5;9;          22;41;          23;43;          54;80;     477.8;          50.2;          20;24;2022;ALL;hispanic/latino
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;           8;23;           1;3;           7;20;          13;37;          14;40;          35;88;     478.1;;;30;2022;ALL;hispanic/latino
Andover - Andover West Middle;00090310;ELA;          15;37;           1;2;          14;34;          18;44;           8;20;          41;100;     492.9;          60.4;          38;74;2022;ALL;hispanic/latino
Andover - Andover West Middle;00090310;MATH;          15;37;           1;2;          14;34;          21;51;           5;12;          41;100;     490.2;          60.0;          39;72;2022;ALL;hispanic/latino
Andover - Andover West Middle;00090310;SCI;           6;43;           0;0;           6;43;           7;50;           1;7;          14;100;     494.6;;;85;2022;ALL;hispanic/latino
Andover - Bancroft Elementary;00090003;ELA;          11;50;           0;0;          11;50;          10;45;           1;5;          22;100;     495.6;;           9;81;2022;ALL;hispanic/latino
Andover - Bancroft Elementary;00090003;MATH;           3;14;           1;5;           2;9;          15;68;           4;18;          22;100;     487.9;;           9;63;2022;ALL;hispanic/latino
Andover - Doherty Middle;00090305;ELA;          19;48;           4;10;          15;38;          13;33;           8;20;          40;100;     494.3;          52.2;          39;79;2022;ALL;hispanic/latino
Andover - Doherty Middle;00090305;MATH;          16;40;           3;8;          13;33;          15;38;           9;23;          40;100;     493.2;          54.9;          39;80;2022;ALL;hispanic/latino
Andover - Doherty Middle;00090305;SCI;           4;31;           2;15;           2;15;           4;31;           5;38;          13;100;     489.0;;;70;2022;ALL;hispanic/latino
Andover - Henry C Sanborn Elementary;00090010;ELA;          11;61;           1;6;          10;56;           4;22;           3;17;          18;100;     497.7;;           9;87;2022;ALL;hispanic/latino
Andover - Henry C Sanborn Elementary;00090010;MATH;           4;22;           1;6;           3;17;          12;67;           2;11;          18;100;     491.3;;           9;75;2022;ALL;hispanic/latino
Andover - High Plain Elementary;00090004;ELA;          16;44;           3;8;          13;36;          14;39;           6;17;          36;100;     493.9;;          18;77;2022;ALL;hispanic/latino
Andover - High Plain Elementary;00090004;MATH;           8;22;           1;3;           7;19;          18;50;          10;28;          36;100;     484.4;;          18;51;2022;ALL;hispanic/latino
Andover - West Elementary;00090025;ELA;           6;26;           1;4;           5;22;          14;61;           3;13;          23;100;     492.5;;          14;73;2022;ALL;hispanic/latino
Andover - West Elementary;00090025;MATH;          10;43;           0;0;          10;43;          10;43;           3;13;          23;100;     494.6;;          14;83;2022;ALL;hispanic/latino
Andover - Wood Hill Middle School;00090350;ELA;          14;40;           3;9;          11;31;          15;43;           6;17;          35;100;     493.4;          42.2;          33;75;2022;ALL;hispanic/latino
Andover - Wood Hill Middle School;00090350;MATH;          15;43;           2;6;          13;37;          14;40;           6;17;          35;100;     492.1;          37.2;          33;77;2022;ALL;hispanic/latino
Andover - Wood Hill Middle School;00090350;SCI;           3;30;           1;10;           2;20;           5;50;           2;20;          10;100;     493.4;;;81;2022;ALL;hispanic/latino
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;           9;10;           0;0;           9;10;          43;49;          35;40;          87;100;     474.1;          41.8;          82;6;2022;ALL;hispanic/latino
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;           9;10;           0;0;           9;10;          44;51;          33;38;          86;100;     475.9;          35.9;          82;17;2022;ALL;hispanic/latino
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;           7;20;           0;0;           7;20;          13;37;          15;43;          35;100;     479.4;;;35;2022;ALL;hispanic/latino
Arlington - Brackett;00100010;ELA;           9;60;           2;13;           7;47;           4;27;           2;13;          15;100;     502.3;;           9;93;2022;ALL;hispanic/latino
Arlington - Brackett;00100010;MATH;           7;47;           0;0;           7;47;           6;40;           2;13;          15;100;     492.9;;           9;79;2022;ALL;hispanic/latino
Arlington - Brackett;00100010;SCI;           8;80;           3;30;           5;50;           1;10;           1;10;          10;100;     514.7;;;99;2022;ALL;hispanic/latino
Arlington - Gibbs School;00100305;ELA;          12;52;           4;17;           8;35;           4;17;           7;30;          23;96;     497.0;          59.5;          22;86;2022;ALL;hispanic/latino
Arlington - Gibbs School;00100305;MATH;          10;42;           0;0;          10;42;          11;46;           3;13;          24;100;     494.0;          57.6;          23;82;2022;ALL;hispanic/latino
Arlington - Hardy;00100030;ELA;           5;45;           0;0;           5;45;           4;36;           2;18;          11;93;     490.9;;           8;68;2022;ALL;hispanic/latino
Arlington - Hardy;00100030;MATH;           4;36;           0;0;           4;36;           5;45;           2;18;          11;93;     489.5;;           8;70;2022;ALL;hispanic/latino
Arlington - Ottoson Middle;00100410;ELA;          44;62;           6;8;          38;54;          20;28;           7;10;          71;96;     503.1;          60.8;          59;94;2022;ALL;hispanic/latino
Arlington - Ottoson Middle;00100410;MATH;          40;55;           9;12;          31;42;          30;41;           3;4;          73;99;     504.0;          63.5;          61;95;2022;ALL;hispanic/latino
Arlington - Ottoson Middle;00100410;SCI;          24;62;           5;13;          19;49;          13;33;           2;5;          39;98;     504.7;;;97;2022;ALL;hispanic/latino
Arlington - Peirce;00100045;ELA;           6;43;           0;0;           6;43;           6;43;           2;14;          14;100;     495.6;;           5;82;2022;ALL;hispanic/latino
Arlington - Peirce;00100045;MATH;           2;14;           0;0;           2;14;          11;79;           1;7;          14;100;     488.4;;           5;65;2022;ALL;hispanic/latino
Arlington - Thompson;00100050;ELA;          13;41;           1;3;          12;38;          16;50;           3;9;          32;100;     495.7;          45.4;          21;82;2022;ALL;hispanic/latino
Arlington - Thompson;00100050;MATH;          15;47;           0;0;          15;47;          13;41;           4;13;          32;100;     495.1;          57.8;          22;84;2022;ALL;hispanic/latino
Arlington - Thompson;00100050;SCI;           6;38;           1;6;           5;31;           8;50;           2;13;          16;100;     496.1;;;87;2022;ALL;hispanic/latino
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;           3;25;           0;0;           3;25;           8;67;           1;8;          12;100;     490.0;;           8;65;2022;ALL;hispanic/latino
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;           3;25;           0;0;           3;25;           7;58;           2;17;          12;100;     487.3;;           8;61;2022;ALL;hispanic/latino
Ashburnham-Westminster - Overlook Middle School;06100305;ELA;          19;44;           7;16;          12;28;          19;44;           5;12;          43;98;     498.0;          57.2;          41;87;2022;ALL;hispanic/latino
Ashburnham-Westminster - Overlook Middle School;06100305;MATH;          20;45;           3;7;          17;39;          18;41;           6;14;          44;100;     493.6;          60.1;          43;81;2022;ALL;hispanic/latino
Ashburnham-Westminster - Overlook Middle School;06100305;SCI;           7;44;           1;6;           6;38;           8;50;           1;6;          16;100;     494.6;;;85;2022;ALL;hispanic/latino
Ashburnham-Westminster - Westminster Elementary;06100005;ELA;           8;40;           0;0;           8;40;          12;60;           0;0;          20;100;     498.0;;          14;87;2022;ALL;hispanic/latino
Ashburnham-Westminster - Westminster Elementary;06100005;MATH;           7;35;           1;5;           6;30;          10;50;           3;15;          20;100;     493.6;;          14;81;2022;ALL;hispanic/latino
Ashland - Ashland Middle;00140405;ELA;          34;31;           3;3;          31;28;          52;48;          23;21;         109;96;     487.5;          55.3;         100;55;2022;ALL;hispanic/latino
Ashland - Ashland Middle;00140405;MATH;          31;28;           2;2;          29;26;          65;58;          16;14;         112;99;     489.5;          61.1;         101;70;2022;ALL;hispanic/latino
