School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year ;grade;student_group
Ashburnham-Westminster - Westminster Elementary;06100005;ELA;          35;40;           2;2;          33;38;          44;51;           8;9;          87;99;     495.4;;;2021;4;ALL
Ashburnham-Westminster - Westminster Elementary;06100005;MATH;          33;38;           0;0;          33;38;          44;51;          10;11;          87;99;     489.8;;;2021;4;ALL
Ashland - David Mindess;00140015;ELA;         130;63;          25;12;         105;51;          59;29;          17;8;         206;98;     505.6;;;2021;4;ALL
Ashland - David Mindess;00140015;MATH;          97;47;          16;8;          81;39;          81;39;          28;14;         206;98;     497.1;;;2021;4;ALL
Athol-Royalston - Athol Community Elementary School;06150020;ELA;          36;42;           2;2;          34;40;          37;44;          12;14;          85;93;     493.6;;;2021;4;ALL
Athol-Royalston - Athol Community Elementary School;06150020;MATH;          32;37;           3;3;          29;34;          38;44;          16;19;          86;94;     490.1;;;2021;4;ALL
Athol-Royalston - Royalston Community School;06150050;ELA;          12;63;           0;0;          12;63;           6;32;           1;5;          19;100;     503.8;;;2021;4;ALL
Athol-Royalston - Royalston Community School;06150050;MATH;          13;68;           0;0;          13;68;           4;21;           2;11;          19;100;     498.6;;;2021;4;ALL
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;          39;36;           2;2;          37;34;          52;48;          18;17;         109;100;     490.9;;;2021;4;ALL
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;          23;21;           1;1;          22;20;          57;52;          29;27;         109;100;     483.7;;;2021;4;ALL
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;          46;63;           6;8;          40;55;          25;34;           2;3;          73;100;     503.9;;;2021;4;ALL
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;          29;40;           2;3;          27;37;          30;41;          14;19;          73;100;     489.3;;;2021;4;ALL
Attleboro - Hill-Roberts Elementary School;00160045;ELA;          34;37;           2;2;          32;35;          48;52;          10;11;          92;100;     492.5;;;2021;4;ALL
Attleboro - Hill-Roberts Elementary School;00160045;MATH;          32;35;           3;3;          29;32;          43;47;          17;18;          92;100;     490.1;;;2021;4;ALL
Attleboro - Hyman Fine Elementary School;00160040;ELA;          51;62;           8;10;          43;52;          23;28;           8;10;          82;99;     502.8;;;2021;4;ALL
Attleboro - Hyman Fine Elementary School;00160040;MATH;          35;43;           1;1;          34;41;          34;41;          13;16;          82;99;     491.2;;;2021;4;ALL
Attleboro - Peter Thacher Elementary School;00160050;ELA;          43;49;           6;7;          37;43;          28;32;          16;18;          87;100;     499.9;;;2021;4;ALL
Attleboro - Peter Thacher Elementary School;00160050;MATH;          28;32;           4;5;          24;28;          39;45;          20;23;          87;100;     490.6;;;2021;4;ALL
Attleboro - Thomas Willett Elementary School;00160035;ELA;          20;34;           2;3;          18;31;          29;49;          10;17;          59;95;     490.2;;;2021;4;ALL
Attleboro - Thomas Willett Elementary School;00160035;MATH;          13;22;           0;0;          13;22;          32;54;          14;24;          59;95;     481.3;;;2021;4;ALL
Auburn - Swanson Road Intermediate School;00170030;ELA;         106;55;          15;8;          91;47;          69;36;          19;10;         194;98;     501.6;;;2021;4;ALL
Auburn - Swanson Road Intermediate School;00170030;MATH;          75;39;           7;4;          68;35;          85;44;          34;18;         194;98;     491.7;;;2021;4;ALL
Avon - Ralph D Butler;00180010;ELA;          23;46;           1;2;          22;44;          20;40;           7;14;          50;100;     496.8;;;2021;4;ALL
Avon - Ralph D Butler;00180010;MATH;           7;14;           0;0;           7;14;          31;62;          12;24;          50;100;     479.7;;;2021;4;ALL
Ayer Shirley School District - Lura A. White Elementary School;06160001;ELA;          24;39;           3;5;          21;34;          31;51;           6;10;          61;97;     495.2;;;2021;4;ALL
Ayer Shirley School District - Lura A. White Elementary School;06160001;MATH;          16;26;           2;3;          14;23;          32;52;          13;21;          61;97;     483.3;;;2021;4;ALL
Ayer Shirley School District - Page Hilltop Elementary School;06160002;ELA;          44;64;           7;10;          37;54;          21;30;           4;6;          69;96;     505.3;;;2021;4;ALL
Ayer Shirley School District - Page Hilltop Elementary School;06160002;MATH;          27;39;           2;3;          25;36;          34;49;           8;12;          69;96;     492.1;;;2021;4;ALL
Barnstable - Barnstable United Elementary School;00200050;ELA;         135;43;          15;5;         120;38;         137;44;          40;13;         312;96;     495.3;;;2021;4;ALL
Barnstable - Barnstable United Elementary School;00200050;MATH;          76;25;           1;0;          75;25;         164;54;          63;21;         303;93;     484.8;;;2021;4;ALL
Bedford - Lt Job Lane School;00230012;ELA;         126;69;          22;12;         104;57;          48;26;           9;5;         183;98;     508.8;;;2021;4;ALL
Bedford - Lt Job Lane School;00230012;MATH;         102;56;          21;11;          81;44;          70;38;          11;6;         183;98;     503.4;;;2021;4;ALL
Belchertown - Chestnut Hill Community School;00240006;ELA;          83;59;           4;3;          79;56;          52;37;           5;4;         140;95;     500.8;;;2021;4;ALL
Belchertown - Chestnut Hill Community School;00240006;MATH;          48;35;           3;2;          45;32;          75;54;          16;12;         139;94;     490.5;;;2021;4;ALL
Bellingham - Bellingham Memorial School;00250315;ELA;          54;36;           1;1;          53;35;          77;51;          21;14;         152;100;     492.4;;;2021;4;ALL
Bellingham - Bellingham Memorial School;00250315;MATH;          39;26;           3;2;          36;24;          83;55;          30;20;         152;100;     485.5;;;2021;4;ALL
Belmont - Daniel Butler;00260015;ELA;          62;79;           9;12;          53;68;          14;18;           2;3;          78;100;     513.3;;;2021;4;ALL
Belmont - Daniel Butler;00260015;MATH;          51;65;          12;15;          39;50;          24;31;           3;4;          78;100;     507.2;;;2021;4;ALL
Belmont - Mary Lee Burbank;00260010;ELA;          68;87;          22;28;          46;59;           7;9;           3;4;          78;99;     520.6;;;2021;4;ALL
Belmont - Mary Lee Burbank;00260010;MATH;          55;71;          10;13;          45;58;          19;24;           4;5;          78;99;     510.0;;;2021;4;ALL
Belmont - Roger E Wellington;00260035;ELA;          92;84;          12;11;          80;73;          17;15;           1;1;         110;98;     513.1;;;2021;4;ALL
Belmont - Roger E Wellington;00260035;MATH;          79;72;           7;6;          72;65;          26;24;           5;5;         110;98;     505.9;;;2021;4;ALL
Belmont - Winn Brook;00260005;ELA;          76;90;          22;26;          54;64;           7;8;           1;1;          84;99;     518.7;;;2021;4;ALL
Belmont - Winn Brook;00260005;MATH;          69;82;          24;29;          45;54;          14;17;           1;1;          84;99;     517.9;;;2021;4;ALL
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School;04200205;ELA;          36;77;           6;13;          30;64;           8;17;           3;6;          47;98;     510.8;;;2021;4;ALL
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School;04200205;MATH;          22;47;           3;6;          19;40;          22;47;           3;6;          47;98;     497.6;;;2021;4;ALL
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School;04470205;ELA;          65;69;           8;9;          57;61;          26;28;           3;3;          94;98;     508.1;;;2021;4;ALL
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School;04470205;MATH;          61;66;          10;11;          51;55;          31;33;           1;1;          93;97;     507.0;;;2021;4;ALL
Berkley - Berkley Community School;00270010;ELA;          51;52;           2;2;          49;49;          43;43;           5;5;          99;100;     499.6;;;2021;4;ALL
Berkley - Berkley Community School;00270010;MATH;          42;42;           3;3;          39;39;          45;45;          12;12;          99;100;     493.7;;;2021;4;ALL
