School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Arlington - John A Bishop;00100005;SCI;          13;62;           2;10;          11;52;           5;24;           3;14;          21;95;     499.7;;;2021;ALL;high needs
Arlington - M Norcross Stratton;00100055;ELA;          27;42;           2;3;          25;39;          28;44;           9;14;          64;100;     493.6;          30.5;          24;2021;ALL;high needs
Arlington - M Norcross Stratton;00100055;MATH;          15;23;           6;9;           9;14;          29;45;          20;31;          64;100;     487.0;          39.3;          24;2021;ALL;high needs
Arlington - M Norcross Stratton;00100055;SCI;           7;24;           2;7;           5;17;          10;34;          12;41;          29;100;     484.1;;;2021;ALL;high needs
Arlington - Ottoson Middle;00100410;ELA;          77;35;          12;6;          65;30;         111;51;          30;14;         218;91;     493.5;          46.5;         202;2021;ALL;high needs
Arlington - Ottoson Middle;00100410;MATH;          72;33;           8;4;          64;29;         115;53;          30;14;         217;91;     491.6;          45.4;         203;2021;ALL;high needs
Arlington - Ottoson Middle;00100410;SCI;          25;33;           5;7;          20;26;          40;53;          11;14;          76;94;     492.2;;;2021;ALL;high needs
Arlington - Peirce;00100045;ELA;          24;63;           3;8;          21;55;          11;29;           3;8;          38;95;     501.7;;           9;2021;ALL;high needs
Arlington - Peirce;00100045;MATH;          20;53;           5;13;          15;39;          13;34;           5;13;          38;95;     497.5;;           9;2021;ALL;high needs
Arlington - Thompson;00100050;ELA;          37;47;           3;4;          34;43;          32;41;          10;13;          79;92;     494.5;          32.6;          23;2021;ALL;high needs
Arlington - Thompson;00100050;MATH;          23;29;           0;0;          23;29;          35;44;          21;27;          79;92;     484.7;          25.2;          23;2021;ALL;high needs
Arlington - Thompson;00100050;SCI;           7;29;           0;0;           7;29;           9;38;           8;33;          24;93;     485.0;;;2021;ALL;high needs
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;          26;32;           1;1;          25;31;          49;60;           6;7;          81;98;     491.1;          23.5;          25;2021;ALL;high needs
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;          16;20;           0;0;          16;20;          46;57;          19;23;          81;98;     483.4;          33.7;          25;2021;ALL;high needs
Ashburnham-Westminster - Briggs Elementary;06100025;SCI;          11;44;           0;0;          11;44;          12;48;           2;8;          25;100;     493.3;;;2021;ALL;high needs
Ashburnham-Westminster - Overlook Middle School;06100305;ELA;          69;34;           8;4;          61;30;          96;48;          36;18;         201;97;     491.8;          47.1;         192;2021;ALL;high needs
Ashburnham-Westminster - Overlook Middle School;06100305;MATH;          36;18;           1;0;          35;17;         115;57;          50;25;         201;97;     484.1;          34.1;         192;2021;ALL;high needs
Ashburnham-Westminster - Overlook Middle School;06100305;SCI;          12;21;           1;2;          11;20;          37;66;           7;13;          56;95;     488.7;;;2021;ALL;high needs
