School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Ashburnham-Westminster - Westminster Elementary;06100005;ELA;         121;48;           6;2;         115;46;         124;49;           7;3;         252;     500.5;          45.6;         156;27;2019;ALL;non-disabled
Ashburnham-Westminster - Westminster Elementary;06100005;MATH;         130;52;          10;4;         120;48;         118;47;           4;2;         252;     500.9;          57.3;         156;37;2019;ALL;non-disabled
Ashburnham-Westminster - Westminster Elementary;06100005;SCI;          46;55;           7;8;          39;47;          35;42;           2;2;          83;     503.8;;;50;2019;ALL;non-disabled
Ashland - Ashland Middle;00140405;ELA;         413;85;         150;31;         263;54;          69;14;           5;1;         487;     520.3;          70.4;         481;94;2019;ALL;non-disabled
Ashland - Ashland Middle;00140405;MATH;         421;87;         151;31;         270;56;          64;13;           1;0;         486;     520.1;          70.0;         480;96;2019;ALL;non-disabled
Ashland - Ashland Middle;00140405;SCI;         116;78;          41;28;          75;51;          31;21;           1;1;         148;     516.4;;;91;2019;ALL;non-disabled
Ashland - David Mindess;00140015;ELA;         334;69;          48;10;         286;59;         146;30;           2;0;         482;     508.6;          49.6;         323;57;2019;ALL;non-disabled
Ashland - David Mindess;00140015;MATH;         306;63;          53;11;         253;52;         169;35;           7;1;         482;     507.4;          59.8;         324;64;2019;ALL;non-disabled
Ashland - David Mindess;00140015;SCI;         103;64;          14;9;          89;56;          49;31;           8;5;         160;     506.3;;;60;2019;ALL;non-disabled
Athol-Royalston - Athol Community Elementary School;06150020;ELA;          65;55;           8;7;          57;48;          45;38;           8;7;         118;     501.4;          42.4;          59;29;2019;ALL;non-disabled
Athol-Royalston - Athol Community Elementary School;06150020;MATH;          51;43;           8;7;          43;36;          54;46;          13;11;         118;     496.6;          36.1;          59;22;2019;ALL;non-disabled
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;         113;38;           7;2;         106;36;         155;53;          26;9;         294;     494.4;          46.8;         289;12;2019;ALL;non-disabled
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;         128;44;          11;4;         117;40;         144;49;          21;7;         293;     496.8;          58.0;         288;23;2019;ALL;non-disabled
Athol-Royalston - Athol-Royalston Middle School;06150305;SCI;          59;42;           4;3;          55;39;          75;53;           7;5;         141;     497.0;;;28;2019;ALL;non-disabled
Athol-Royalston - Royalston Community School;06150050;ELA;          48;71;           8;12;          40;59;          20;29;           0;0;          68;     510.4;          58.7;          48;64;2019;ALL;non-disabled
Athol-Royalston - Royalston Community School;06150050;MATH;          44;65;           6;9;          38;56;          23;34;           1;1;          68;     507.6;          62.2;          48;64;2019;ALL;non-disabled
Athol-Royalston - Royalston Community School;06150050;SCI;           9;56;           0;0;           9;56;           7;44;           0;0;          16;     502.4;;;45;2019;ALL;non-disabled
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;         278;50;          50;9;         228;41;         248;44;          33;6;         559;     501.4;          47.6;         452;29;2019;ALL;non-disabled
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;         236;42;          30;5;         206;37;         296;53;          27;5;         559;     497.5;          37.9;         452;25;2019;ALL;non-disabled
Atlantis Charter (District) - Atlantis Charter School;04910550;SCI;          68;37;           3;2;          65;36;          94;51;          21;11;         183;     492.5;;;19;2019;ALL;non-disabled
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;          90;69;          18;14;          72;55;          39;30;           1;1;         130;     510.7;          40.6;          69;65;2019;ALL;non-disabled
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;          90;69;          19;15;          71;55;          38;29;           2;2;         130;     509.2;          49.7;          69;70;2019;ALL;non-disabled
Attleboro - Cyril K. Brennan Middle School;00160315;ELA;         275;57;          55;11;         220;46;         182;38;          22;5;         479;     504.5;          53.9;         468;40;2019;ALL;non-disabled
Attleboro - Cyril K. Brennan Middle School;00160315;MATH;         199;42;          16;3;         183;38;         243;51;          36;8;         478;     495.9;          41.4;         467;21;2019;ALL;non-disabled
Attleboro - Cyril K. Brennan Middle School;00160315;SCI;         110;49;           9;4;         101;45;          94;42;          19;9;         223;     498.6;;;32;2019;ALL;non-disabled
Attleboro - Hill-Roberts Elementary School;00160045;ELA;          86;55;          11;7;          75;48;          60;38;          11;7;         157;     501.2;          39.0;          68;29;2019;ALL;non-disabled
Attleboro - Hill-Roberts Elementary School;00160045;MATH;          78;50;           8;5;          70;45;          64;41;          15;10;         157;     498.9;          57.2;          68;29;2019;ALL;non-disabled
Attleboro - Hyman Fine Elementary School;00160040;ELA;         117;76;          31;20;          86;56;          36;23;           1;1;         154;     514.1;          61.9;          68;78;2019;ALL;non-disabled
Attleboro - Hyman Fine Elementary School;00160040;MATH;          93;60;          17;11;          76;49;          55;36;           6;4;         154;     505.4;          68.7;          68;56;2019;ALL;non-disabled
Attleboro - Peter Thacher Elementary School;00160050;ELA;          83;73;          30;26;          53;46;          29;25;           2;2;         114;     513.5;          74.2;          51;76;2019;ALL;non-disabled
Attleboro - Peter Thacher Elementary School;00160050;MATH;          78;68;          15;13;          63;55;          32;28;           4;4;         114;     506.9;          73.4;          51;62;2019;ALL;non-disabled
Attleboro - Robert J. Coelho Middle School;00160305;ELA;         297;56;          30;6;         267;51;         209;40;          22;4;         528;     502.2;          48.0;         518;32;2019;ALL;non-disabled
Attleboro - Robert J. Coelho Middle School;00160305;MATH;         340;65;          47;9;         293;56;         172;33;          14;3;         526;     505.8;          56.1;         516;57;2019;ALL;non-disabled
Attleboro - Robert J. Coelho Middle School;00160305;SCI;         160;66;          28;11;         132;54;          80;33;           4;2;         244;     507.4;;;64;2019;ALL;non-disabled
Attleboro - Thomas Willett Elementary School;00160035;ELA;         112;78;          20;14;          92;64;          31;22;           0;0;         143;     511.6;          52.9;          74;69;2019;ALL;non-disabled
