School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Arlington - M Norcross Stratton;00100055;MATH;           7;54;           1;8;           6;46;           3;23;           3;23;          13;     493.8;;           7;52;2019;ALL;ever EL
Arlington - Ottoson Middle;00100410;ELA;          49;49;           8;8;          41;41;          42;42;           9;9;         100;     499.1;          52.1;          88;67;2019;ALL;ever EL
Arlington - Ottoson Middle;00100410;MATH;          59;59;          12;12;          47;47;          34;34;           7;7;         100;     503.9;          58.9;          89;79;2019;ALL;ever EL
Arlington - Ottoson Middle;00100410;SCI;          22;49;           7;16;          15;33;          18;40;           5;11;          45;     501.5;;;85;2019;ALL;ever EL
Arlington - Peirce;00100045;ELA;           6;38;           3;19;           3;19;          10;63;           0;0;          16;     501.6;;           7;75;2019;ALL;ever EL
Arlington - Peirce;00100045;MATH;           6;38;           1;6;           5;31;          10;63;           0;0;          16;     499.8;;           7;70;2019;ALL;ever EL
Arlington - Thompson;00100050;ELA;          15;45;           2;6;          13;39;          17;52;           1;3;          33;     497.9;;          19;63;2019;ALL;ever EL
Arlington - Thompson;00100050;MATH;          17;50;           3;9;          14;41;          12;35;           5;15;          34;     493.5;          55.4;          20;50;2019;ALL;ever EL
Arlington - Thompson;00100050;SCI;           5;33;           2;13;           3;20;           7;47;           3;20;          15;     495.2;;;71;2019;ALL;ever EL
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;           5;50;           0;0;           5;50;           5;50;           0;0;          10;     501.0;;           8;73;2019;ALL;ever EL
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;           5;50;           0;0;           5;50;           3;30;           2;20;          10;     494.6;;           8;54;2019;ALL;ever EL
Ashburnham-Westminster - Overlook Middle School;06100305;ELA;           7;32;           0;0;           7;32;          12;55;           3;14;          22;     491.5;          49.2;          21;42;2019;ALL;ever EL
Ashburnham-Westminster - Overlook Middle School;06100305;MATH;          10;45;           0;0;          10;45;          10;45;           2;9;          22;     496.5;          53.7;          21;59;2019;ALL;ever EL
Ashburnham-Westminster - Overlook Middle School;06100305;SCI;           5;50;           0;0;           5;50;           5;50;           0;0;          10;     499.5;;;80;2019;ALL;ever EL
Ashburnham-Westminster - Westminster Elementary;06100005;ELA;           6;40;           0;0;           6;40;           8;53;           1;7;          15;     496.9;;           9;60;2019;ALL;ever EL
Ashburnham-Westminster - Westminster Elementary;06100005;MATH;           6;40;           0;0;           6;40;           9;60;           0;0;          15;     495.7;;           9;57;2019;ALL;ever EL
Ashland - Ashland Middle;00140405;ELA;          60;53;          15;13;          45;39;          44;39;          10;9;         114;     502.4;          67.5;         110;76;2019;ALL;ever EL
Ashland - Ashland Middle;00140405;MATH;          73;65;          24;21;          49;43;          32;28;           8;7;         113;     507.8;          66.7;         109;86;2019;ALL;ever EL
Ashland - Ashland Middle;00140405;SCI;          22;58;           4;11;          18;47;          12;32;           4;11;          38;     501.9;;;86;2019;ALL;ever EL
Ashland - David Mindess;00140015;ELA;          31;37;           3;4;          28;34;          47;57;           5;6;          83;     494.6;          47.7;          54;52;2019;ALL;ever EL
Ashland - David Mindess;00140015;MATH;          23;28;           3;4;          20;24;          52;63;           8;10;          83;     492.3;          50.6;          55;47;2019;ALL;ever EL
Ashland - David Mindess;00140015;SCI;           5;21;           1;4;           4;17;          10;42;           9;38;          24;     483.2;;;37;2019;ALL;ever EL
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;           4;22;           0;0;           4;22;          12;67;           2;11;          18;     484.9;;          18;19;2019;ALL;ever EL
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;           3;17;           0;0;           3;17;          13;72;           2;11;          18;     487.4;;          18;32;2019;ALL;ever EL
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;          34;39;           6;7;          28;32;          37;42;          17;19;          88;     491.4;          45.2;          65;44;2019;ALL;ever EL
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;          27;31;           3;3;          24;28;          44;51;          16;18;          87;     489.7;          42.3;          64;40;2019;ALL;ever EL
Atlantis Charter (District) - Atlantis Charter School;04910550;SCI;           7;21;           0;0;           7;21;          15;45;          11;33;          33;     480.4;;;29;2019;ALL;ever EL
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;          11;52;           2;10;           9;43;           7;33;           3;14;          21;     498.9;;          12;66;2019;ALL;ever EL
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;          10;48;           2;10;           8;38;           9;43;           2;10;          21;     497.8;;          12;64;2019;ALL;ever EL
Attleboro - Cyril K. Brennan Middle School;00160315;ELA;          35;35;           5;5;          30;30;          48;48;          16;16;          99;     492.6;          50.8;          94;45;2019;ALL;ever EL
Attleboro - Cyril K. Brennan Middle School;00160315;MATH;          30;30;           3;3;          27;27;          52;53;          17;17;          99;     489.6;          42.9;          94;38;2019;ALL;ever EL
Attleboro - Cyril K. Brennan Middle School;00160315;SCI;           9;23;           0;0;           9;23;          18;46;          12;31;          39;     481.7;;;33;2019;ALL;ever EL
Attleboro - Hill-Roberts Elementary School;00160045;ELA;           9;50;           3;17;           6;33;           8;44;           1;6;          18;     503.3;;           8;79;2019;ALL;ever EL
Attleboro - Hill-Roberts Elementary School;00160045;MATH;           8;44;           1;6;           7;39;           8;44;           2;11;          18;     497.2;;           8;62;2019;ALL;ever EL
Attleboro - Hyman Fine Elementary School;00160040;ELA;          13;52;           1;4;          12;48;           9;36;           3;12;          25;     499.5;;           9;68;2019;ALL;ever EL
Attleboro - Hyman Fine Elementary School;00160040;MATH;           9;36;           1;4;           8;32;          11;44;           5;20;          25;     489.8;;           9;39;2019;ALL;ever EL
