School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Agawam - Robinson Park;00050025;ELA;           3;16;           0;0;           3;16;           8;42;           8;42;          19;100;     482.0;;;2021;ALL;students with disabilities
Agawam - Robinson Park;00050025;MATH;           1;5;           0;0;           1;5;           5;26;          13;68;          19;100;     463.0;;;2021;ALL;students with disabilities
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          12;13;           0;0;          12;13;          42;47;          36;40;          90;97;     474.9;          28.3;          53;2021;ALL;students with disabilities
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;           5;6;           0;0;           5;6;          35;39;          50;56;          90;97;     468.7;          18.8;          53;2021;ALL;students with disabilities
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;           0;0;           0;0;           0;0;           6;43;           8;57;          14;100;     466.7;;;2021;ALL;students with disabilities
Amesbury - Amesbury Elementary;00070005;ELA;           6;21;           0;0;           6;21;           8;29;          14;50;          28;97;     478.2;;;2021;ALL;students with disabilities
Amesbury - Amesbury Elementary;00070005;MATH;           3;11;           0;0;           3;11;           9;32;          16;57;          28;97;     476.1;;;2021;ALL;students with disabilities
Amesbury - Amesbury Middle;00070013;ELA;          12;9;           2;1;          10;7;          61;45;          64;47;         137;93;     472.9;          30.4;         126;2021;ALL;students with disabilities
Amesbury - Amesbury Middle;00070013;MATH;           6;5;           1;1;           5;4;          59;45;          67;51;         132;90;     471.4;          34.5;         119;2021;ALL;students with disabilities
Amesbury - Amesbury Middle;00070013;SCI;          10;15;           2;3;           8;12;          26;39;          30;45;          66;90;     477.4;;;2021;ALL;students with disabilities
Amesbury - Charles C Cashman Elementary;00070010;ELA;          12;27;           0;0;          12;27;          21;47;          12;27;          45;100;     488.3;;;2021;ALL;students with disabilities
Amesbury - Charles C Cashman Elementary;00070010;MATH;           4;9;           0;0;           4;9;          16;36;          24;55;          44;98;     471.9;;;2021;ALL;students with disabilities
Amherst - Crocker Farm Elementary;00080009;ELA;           2;17;           1;8;           1;8;           4;33;           6;50;          12;38;     478.7;;           8;2021;ALL;students with disabilities
Amherst - Crocker Farm Elementary;00080009;MATH;           1;8;           0;0;           1;8;           5;42;           6;50;          12;38;     473.6;;           8;2021;ALL;students with disabilities
Amherst - Fort River Elementary;00080020;ELA;           3;19;           1;6;           2;13;           7;44;           6;38;          16;33;     483.7;;           3;2021;ALL;students with disabilities
Amherst - Fort River Elementary;00080020;MATH;           2;13;           0;0;           2;13;           3;20;          10;67;          15;29;     467.4;;           3;2021;ALL;students with disabilities
Amherst - Wildwood Elementary;00080050;ELA;           8;42;           1;5;           7;37;           5;26;           6;32;          19;47;     494.7;;           7;2021;ALL;students with disabilities
Amherst - Wildwood Elementary;00080050;MATH;           5;28;           0;0;           5;28;           3;17;          10;56;          18;44;     479.9;;           6;2021;ALL;students with disabilities
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;           4;20;           0;0;           4;20;           4;20;          12;60;          20;21;     480.0;;          13;2021;ALL;students with disabilities
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;           1;4;           0;0;           1;4;           9;39;          13;57;          23;23;     474.5;;          16;2021;ALL;students with disabilities
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;           2;17;           1;8;           1;8;           5;42;           5;42;          12;24;     487.9;;;2021;ALL;students with disabilities
Andover - Andover West Middle;00090310;ELA;          21;18;           4;4;          17;15;          57;50;          36;32;         114;99;     481.7;          35.1;         103;2021;ALL;students with disabilities
Andover - Andover West Middle;00090310;MATH;          22;19;           3;3;          19;17;          56;49;          37;32;         115;100;     482.1;          39.6;         104;2021;ALL;students with disabilities
Andover - Andover West Middle;00090310;SCI;           8;25;           1;3;           7;22;          19;59;           5;16;          32;100;     491.1;;;2021;ALL;students with disabilities
Andover - Bancroft Elementary;00090003;ELA;          17;28;           1;2;          16;27;          35;58;           8;13;          60;98;     488.6;;          18;2021;ALL;students with disabilities
Andover - Bancroft Elementary;00090003;MATH;          14;23;           0;0;          14;23;          28;47;          18;30;          60;98;     479.7;;          19;2021;ALL;students with disabilities
Andover - Bancroft Elementary;00090003;SCI;           6;30;           2;10;           4;20;          10;50;           4;20;          20;100;     492.5;;;2021;ALL;students with disabilities
Andover - Doherty Middle;00090305;ELA;          17;18;           2;2;          15;16;          50;54;          25;27;          92;98;     484.6;          41.3;          86;2021;ALL;students with disabilities
Andover - Doherty Middle;00090305;MATH;          16;17;           1;1;          15;16;          49;53;          27;29;          92;98;     481.5;          34.8;          86;2021;ALL;students with disabilities
Andover - Doherty Middle;00090305;SCI;           3;9;           0;0;           3;9;          20;59;          11;32;          34;97;     480.6;;;2021;ALL;students with disabilities
Andover - Henry C Sanborn Elementary;00090010;ELA;           8;22;           1;3;           7;19;          25;68;           4;11;          37;100;     489.4;;          16;2021;ALL;students with disabilities
Andover - Henry C Sanborn Elementary;00090010;MATH;           9;24;           2;5;           7;19;          23;62;           5;14;          37;100;     487.8;;          16;2021;ALL;students with disabilities
Andover - Henry C Sanborn Elementary;00090010;SCI;           4;25;           0;0;           4;25;           7;44;           5;31;          16;100;     482.4;;;2021;ALL;students with disabilities
Andover - High Plain Elementary;00090004;ELA;          27;51;           3;6;          24;45;          20;38;           6;11;          53;98;     501.7;;          17;2021;ALL;students with disabilities
Andover - High Plain Elementary;00090004;MATH;          26;49;           2;4;          24;45;          16;30;          11;21;          53;98;     495.7;;          17;2021;ALL;students with disabilities
Andover - High Plain Elementary;00090004;SCI;          10;59;           5;29;           5;29;           6;35;           1;6;          17;100;     508.9;;;2021;ALL;students with disabilities
Andover - South Elementary;00090020;ELA;          31;56;           2;4;          29;53;          22;40;           2;4;          55;100;     500.3;;          18;2021;ALL;students with disabilities
Andover - South Elementary;00090020;MATH;          19;35;           4;7;          15;27;          30;55;           6;11;          55;100;     492.1;;          18;2021;ALL;students with disabilities
Andover - South Elementary;00090020;SCI;           8;44;           1;6;           7;39;           8;44;           2;11;          18;100;     493.7;;;2021;ALL;students with disabilities
Andover - West Elementary;00090025;ELA;          26;29;           2;2;          24;27;          53;60;          10;11;          89;99;     493.1;          34.2;          29;2021;ALL;students with disabilities
Andover - West Elementary;00090025;MATH;          16;18;           0;0;          16;18;          46;52;          27;30;          89;99;     483.3;          42.7;          29;2021;ALL;students with disabilities
Andover - West Elementary;00090025;SCI;          16;52;           1;3;          15;48;          11;35;           4;13;          31;100;     500.2;;;2021;ALL;students with disabilities
Andover - Wood Hill Middle School;00090350;ELA;          17;23;           2;3;          15;20;          38;51;          20;27;          75;100;     484.5;          31.1;          67;2021;ALL;students with disabilities
Andover - Wood Hill Middle School;00090350;MATH;          20;27;           2;3;          18;24;          35;47;          20;27;          75;100;     485.2;          35.4;          68;2021;ALL;students with disabilities
Andover - Wood Hill Middle School;00090350;SCI;           7;25;           1;4;           6;21;          13;46;           8;29;          28;100;     482.0;;;2021;ALL;students with disabilities
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;           1;2;           0;0;           1;2;          25;38;          40;61;          66;93;     464.1;          18.0;          62;2021;ALL;students with disabilities
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;           3;4;           0;0;           3;4;          23;34;          42;62;          68;96;     467.2;          17.3;          63;2021;ALL;students with disabilities
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;           0;0;           0;0;           0;0;           9;47;          10;53;          19;90;     466.7;;;2021;ALL;students with disabilities
Arlington - Brackett;00100010;ELA;          26;58;           4;9;          22;49;          14;31;           5;11;          45;98;     500.8;;           9;2021;ALL;students with disabilities
Arlington - Brackett;00100010;MATH;          13;29;           1;2;          12;27;          28;62;           4;9;          45;98;     489.1;;           9;2021;ALL;students with disabilities
Arlington - Cyrus E Dallin;00100025;ELA;          16;52;           1;3;          15;48;          11;35;           4;13;          31;91;     495.8;;          15;2021;ALL;students with disabilities
Arlington - Cyrus E Dallin;00100025;MATH;           7;23;           0;0;           7;23;          17;55;           7;23;          31;91;     483.5;;          15;2021;ALL;students with disabilities
Arlington - Cyrus E Dallin;00100025;SCI;          10;67;           1;7;           9;60;           2;13;           3;20;          15;94;     500.4;;;2021;ALL;students with disabilities
Arlington - Gibbs School;00100305;ELA;          30;37;           4;5;          26;32;          31;38;          21;26;          82;92;     491.3;          48.1;          77;2021;ALL;students with disabilities
Arlington - Gibbs School;00100305;MATH;          21;26;           3;4;          18;22;          42;52;          18;22;          81;91;     488.2;          33.9;          77;2021;ALL;students with disabilities
Arlington - Hardy;00100030;ELA;          15;38;           3;8;          12;31;          21;54;           3;8;          39;91;     492.9;;          14;2021;ALL;students with disabilities
Arlington - Hardy;00100030;MATH;           9;23;           2;5;           7;18;          23;59;           7;18;          39;89;     486.5;;          14;2021;ALL;students with disabilities
Arlington - Hardy;00100030;SCI;           5;36;           0;0;           5;36;           8;57;           1;7;          14;93;     491.1;;;2021;ALL;students with disabilities
Arlington - John A Bishop;00100005;ELA;           9;31;           1;3;           8;28;          18;62;           2;7;          29;97;     492.5;;          16;2021;ALL;students with disabilities
Arlington - John A Bishop;00100005;MATH;           7;24;           0;0;           7;24;          19;66;           3;10;          29;97;     487.6;;          15;2021;ALL;students with disabilities
Arlington - John A Bishop;00100005;SCI;           9;56;           1;6;           8;50;           4;25;           3;19;          16;94;     495.3;;;2021;ALL;students with disabilities
Arlington - M Norcross Stratton;00100055;ELA;          20;41;           1;2;          19;39;          21;43;           8;16;          49;100;     492.1;;          18;2021;ALL;students with disabilities
Arlington - M Norcross Stratton;00100055;MATH;           9;18;           6;12;           3;6;          20;41;          20;41;          49;100;     482.8;;          18;2021;ALL;students with disabilities
Arlington - M Norcross Stratton;00100055;SCI;           5;22;           2;9;           3;13;           7;30;          11;48;          23;100;     481.1;;;2021;ALL;students with disabilities
Arlington - Ottoson Middle;00100410;ELA;          39;30;           5;4;          34;26;          67;51;          25;19;         131;88;     489.9;          44.6;         128;2021;ALL;students with disabilities
Arlington - Ottoson Middle;00100410;MATH;          40;31;           6;5;          34;26;          64;49;          27;21;         131;88;     487.8;          43.7;         128;2021;ALL;students with disabilities
Arlington - Ottoson Middle;00100410;SCI;          13;28;           2;4;          11;24;          25;54;           8;17;          46;94;     490.1;;;2021;ALL;students with disabilities
