School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Boston - Burke High School;00350525;MATH;           7;10;           0;0;           7;10;          34;49;          28;41;          69;77;     476.5;          40.2;          43;2021;10;ALL
Boston - Charlestown High School;00350515;ELA;          20;19;           0;0;          20;19;          47;44;          40;37;         107;58;     481.2;          40.2;          75;2021;10;ALL
Boston - Charlestown High School;00350515;MATH;          11;11;           0;0;          11;11;          56;54;          36;35;         103;56;     479.2;          38.6;          81;2021;10;ALL
Boston - Community Academy of Science and Health;00350581;ELA;          10;18;           0;0;          10;18;          29;51;          18;32;          57;71;     483.8;          40.5;          40;2021;10;ALL
Boston - Community Academy of Science and Health;00350581;MATH;           4;7;           0;0;           4;7;          30;55;          21;38;          55;69;     477.4;          28.6;          39;2021;10;ALL
Boston - Dearborn 6-12 STEM Academy;00350074;ELA;          12;22;           3;6;           9;17;          27;50;          15;28;          54;71;     486.0;          51.9;          45;2021;10;ALL
Boston - Dearborn 6-12 STEM Academy;00350074;MATH;           6;10;           0;0;           6;10;          38;66;          14;24;          58;75;     479.9;          32.0;          50;2021;10;ALL
Boston - East Boston High School;00350530;ELA;          49;28;           2;1;          47;27;          63;36;          63;36;         175;76;     483.9;          47.6;         121;2021;10;ALL
Boston - East Boston High School;00350530;MATH;          30;17;           0;0;          30;17;          87;51;          55;32;         172;74;     482.0;          44.7;         119;2021;10;ALL
Boston - English High School;00350535;ELA;           9;18;           1;2;           8;16;          27;55;          13;27;          49;37;     482.6;          40.1;          35;2021;10;ALL
Boston - English High School;00350535;MATH;           7;15;           0;0;           7;15;          25;54;          14;30;          46;34;     478.7;          31.1;          32;2021;10;ALL
Boston - Excel High School;00350522;ELA;           3;7;           0;0;           3;7;          27;63;          13;30;          43;44;     479.3;          40.9;          34;2021;10;ALL
Boston - Excel High School;00350522;MATH;           3;7;           0;0;           3;7;          24;59;          14;34;          41;42;     474.8;          31.3;          33;2021;10;ALL
Boston - Fenway High School;00350540;ELA;          35;42;           0;0;          35;42;          31;37;          17;20;          83;87;     495.6;          49.1;          69;2021;10;ALL
Boston - Fenway High School;00350540;MATH;          19;23;           1;1;          18;22;          44;53;          20;24;          83;87;     487.2;          36.6;          69;2021;10;ALL
Boston - Henderson K-12 Inclusion School Upper;00350426;ELA;          18;28;           2;3;          16;25;          33;52;          13;20;          64;90;     492.7;          40.5;          57;2021;10;ALL
Boston - Henderson K-12 Inclusion School Upper;00350426;MATH;          12;19;           0;0;          12;19;          37;58;          15;23;          64;89;     484.0;          24.8;          55;2021;10;ALL
Boston - Lyon High School;00350655;ELA;           8;35;           0;0;           8;35;          13;57;           2;9;          23;69;     492.2;          51.5;          21;2021;10;ALL
Boston - Lyon High School;00350655;MATH;           3;13;           0;0;           3;13;          15;65;           5;22;          23;69;     482.3;          24.6;          21;2021;10;ALL
Boston - Madison Park Technical Vocational High School;00350537;ELA;          36;15;           1;0;          35;14;         112;46;          98;40;         246;82;     478.3;          40.6;         209;2021;10;ALL
Boston - Madison Park Technical Vocational High School;00350537;MATH;          12;5;           0;0;          12;5;         113;48;         112;47;         237;79;     471.8;          28.0;         202;2021;10;ALL
Boston - Margarita Muniz Academy;00350549;ELA;          16;23;           0;0;          16;23;          34;48;          21;30;          71;86;     481.9;          50.0;          50;2021;10;ALL
Boston - Margarita Muniz Academy;00350549;MATH;           3;5;           0;0;           3;5;          39;60;          23;35;          65;79;     473.9;          28.0;          46;2021;10;ALL
Boston - McKinley Schools;00350363;ELA;           1;5;           0;0;           1;5;          16;73;           5;23;          22;62;     478.1;;          15;2021;10;ALL
Boston - McKinley Schools;00350363;MATH;           0;0;           0;0;           0;0;          12;60;           8;40;          20;57;     471.3;;          16;2021;10;ALL
Boston - New Mission High School;00350542;ELA;          21;40;           1;2;          20;38;          26;50;           5;10;          52;53;     495.2;          50.8;          47;2021;10;ALL
Boston - New Mission High School;00350542;MATH;          19;36;           0;0;          19;36;          25;47;           9;17;          53;54;     489.8;          41.1;          48;2021;10;ALL
Boston - O'Bryant School of Math & Science;00350575;ELA;         292;88;          61;18;         231;70;          40;12;           0;0;         332;94;     515.8;          53.7;         321;2021;10;ALL
Boston - O'Bryant School of Math & Science;00350575;MATH;         280;84;          40;12;         240;72;          53;16;           0;0;         333;94;     513.9;          34.8;         322;2021;10;ALL
Boston - Quincy Upper School;00350565;ELA;           5;16;           1;3;           4;13;          23;72;           4;13;          32;89;     490.4;          59.6;          32;2021;10;ALL
Boston - Quincy Upper School;00350565;MATH;           5;16;           0;0;           5;16;          18;56;           9;28;          32;89;     481.1;          30.7;          32;2021;10;ALL
Boston - Snowden International High School;00350690;ELA;          32;30;           2;2;          30;28;          61;58;          13;12;         106;86;     492.0;          47.8;          98;2021;10;ALL
Boston - Snowden International High School;00350690;MATH;          10;9;           0;0;          10;9;          66;62;          31;29;         107;86;     478.0;          25.3;          98;2021;10;ALL
Boston - TechBoston Academy;00350657;ELA;          19;24;           1;1;          18;23;          37;47;          22;28;          78;55;     482.9;          46.5;          65;2021;10;ALL
Boston - TechBoston Academy;00350657;MATH;          12;16;           0;0;          12;16;          38;52;          23;32;          73;50;     476.3;          30.7;          61;2021;10;ALL
Boston Collegiate Charter (District) - Boston Collegiate Charter School;04490305;ELA;          45;56;           8;10;          37;46;          27;33;           9;11;          81;92;     503.9;          45.3;          66;2021;10;ALL
Boston Collegiate Charter (District) - Boston Collegiate Charter School;04490305;MATH;          40;50;           3;4;          37;46;          27;34;          13;16;          80;91;     500.0;          22.2;          66;2021;10;ALL
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School;04240505;ELA;           9;39;           1;4;           8;35;          13;57;           1;4;          23;56;     493.9;;           4;2021;10;ALL
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School;04240505;MATH;           5;22;           0;0;           5;22;          14;61;           4;17;          23;56;     482.1;;           3;2021;10;ALL
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School;04110305;ELA;          19;32;           1;2;          18;30;          23;38;          18;30;          60;80;     489.1;          50.3;          52;2021;10;ALL
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School;04110305;MATH;          10;17;           0;0;          10;17;          29;48;          21;35;          60;80;     479.6;          38.3;          52;2021;10;ALL
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School;04160305;ELA;          33;42;           3;4;          30;38;          33;42;          12;15;          78;93;     495.6;          39.5;          71;2021;10;ALL
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School;04160305;MATH;          26;33;           1;1;          25;32;          43;55;           9;12;          78;93;     491.2;          31.0;          71;2021;10;ALL
Bourne - Bourne High School;00360505;ELA;          61;73;          14;17;          47;57;          19;23;           3;4;          83;93;     512.0;          52.9;          79;2021;10;ALL
Bourne - Bourne High School;00360505;MATH;          37;44;           2;2;          35;42;          43;51;           4;5;          84;95;     497.3;          29.0;          80;2021;10;ALL
Braintree - Braintree High;00400505;ELA;         283;72;          67;17;         216;55;          98;25;          10;3;         391;97;     511.0;          45.7;         372;2021;10;ALL
Braintree - Braintree High;00400505;MATH;         249;64;          60;15;         189;48;         125;32;          17;4;         391;97;     508.4;          47.5;         373;2021;10;ALL
Bridgewater-Raynham - Bridgewater-Raynham Regional;06250505;ELA;         201;70;          57;20;         144;50;          71;25;          15;5;         287;93;     510.8;          51.3;         273;2021;10;ALL
Bridgewater-Raynham - Bridgewater-Raynham Regional;06250505;MATH;         173;61;          38;13;         135;48;          91;32;          20;7;         284;92;     505.3;          30.7;         270;2021;10;ALL
Bristol County Agricultural - Bristol County Agricultural High;09100705;ELA;          75;67;          24;21;          51;46;          37;33;           0;0;         112;97;     511.8;          52.3;         103;2021;10;ALL
Bristol County Agricultural - Bristol County Agricultural High;09100705;MATH;          68;61;           8;7;          60;54;          41;37;           3;3;         112;97;     503.8;          37.7;         103;2021;10;ALL
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical;08100605;ELA;         176;52;          23;7;         153;45;         147;43;          16;5;         339;97;     501.0;          51.9;         322;2021;10;ALL
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical;08100605;MATH;         128;38;           6;2;         122;36;         177;53;          30;9;         335;96;     493.6;          34.5;         318;2021;10;ALL
Brockton - Brockton Champion High School;00440515;ELA;           5;38;           0;0;           5;38;           5;38;           3;23;          13;81;     488.0;;           7;2021;10;ALL
Brockton - Brockton Champion High School;00440515;MATH;           1;8;           0;0;           1;8;           7;54;           5;38;          13;81;     473.9;;           7;2021;10;ALL
Brockton - Brockton High;00440505;ELA;         295;35;          39;5;         256;31;         347;42;         189;23;         831;76;     489.9;          45.1;         658;2021;10;ALL
Brockton - Brockton High;00440505;MATH;         193;23;          15;2;         178;21;         398;48;         241;29;         832;76;     483.6;          29.6;         652;2021;10;ALL
Brooke Charter School (District) - Brooke Charter School;04280305;ELA;          76;68;          14;13;          62;56;          31;28;           4;4;         111;98;     506.7;          39.8;         108;2021;10;ALL
Brooke Charter School (District) - Brooke Charter School;04280305;MATH;          66;62;           9;8;          57;53;          31;29;          10;9;         107;95;     503.8;          20.3;         104;2021;10;ALL
Brookline - Brookline High;00460505;ELA;         374;83;         153;34;         221;49;          71;16;           8;2;         453;95;     519.5;          44.7;         419;2021;10;ALL
Brookline - Brookline High;00460505;MATH;         353;79;         138;31;         215;48;          84;19;          11;2;         448;94;     518.5;          36.7;         415;2021;10;ALL
Burlington - Burlington High;00480505;ELA;         147;73;          42;21;         105;52;          45;22;          10;5;         202;95;     511.3;          57.7;         191;2021;10;ALL
Burlington - Burlington High;00480505;MATH;         121;60;          18;9;         103;51;          66;33;          16;8;         203;95;     504.2;          32.3;         191;2021;10;ALL
Cambridge - Cambridge Rindge and Latin;00490506;ELA;         265;69;          84;22;         181;47;          97;25;          22;6;         384;86;     511.1;          42.7;         318;2021;10;ALL
Cambridge - Cambridge Rindge and Latin;00490506;MATH;         235;61;          71;19;         164;43;         116;30;          32;8;         383;86;     507.2;          34.3;         315;2021;10;ALL
Canton - Canton High;00500505;ELA;         158;81;          38;19;         120;61;          33;17;           5;3;         196;97;     513.1;          48.0;         187;2021;10;ALL
Canton - Canton High;00500505;MATH;         133;68;          20;10;         113;57;          53;27;          11;6;         197;97;     506.7;          38.8;         189;2021;10;ALL
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical;08150605;ELA;          93;57;          12;7;          81;49;          62;38;           9;5;         164;98;     502.8;          63.1;         144;2021;10;ALL
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical;08150605;MATH;          43;26;           1;1;          42;26;          97;60;          23;14;         163;98;     489.5;          30.6;         145;2021;10;ALL
Carver - Carver Middle/High School;00520405;ELA;          58;68;          12;14;          46;54;          23;27;           4;5;          85;91;     507.5;          48.1;          85;2021;10;ALL
Carver - Carver Middle/High School;00520405;MATH;          48;57;           6;7;          42;50;          32;38;           4;5;          84;90;     502.7;          44.8;          83;2021;10;ALL
Central Berkshire - Wahconah Regional High;06350505;ELA;          68;61;          16;14;          52;46;          39;35;           5;4;         112;97;     506.5;          54.2;          96;2021;10;ALL
Central Berkshire - Wahconah Regional High;06350505;MATH;          53;47;           6;5;          47;42;          52;46;           7;6;         112;97;     499.7;          39.1;          96;2021;10;ALL
Chelmsford - Chelmsford High;00560505;ELA;         264;84;          99;31;         165;52;          43;14;           9;3;         316;97;     519.1;          53.4;         294;2021;10;ALL
Chelmsford - Chelmsford High;00560505;MATH;         224;71;          63;20;         161;51;          75;24;          16;5;         315;96;     512.8;          38.1;         295;2021;10;ALL
