School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Agawam - James Clark School;00050030;ELA;           0;0;           0;0;           0;0;           9;50;           9;50;          18;100;     466.9;;           8;15;2022;ALL;students with disabilities
Agawam - James Clark School;00050030;MATH;           0;0;           0;0;           0;0;          11;61;           7;39;          18;100;     466.6;;           8;18;2022;ALL;students with disabilities
Agawam - Roberta G. Doering School;00050303;ELA;           3;3;           0;0;           3;3;          48;46;          54;51;         105;100;     471.1;          40.5;          89;27;2022;ALL;students with disabilities
Agawam - Roberta G. Doering School;00050303;MATH;           5;5;           0;0;           5;5;          56;54;          43;41;         104;99;     473.5;          45.9;          89;40;2022;ALL;students with disabilities
Agawam - Roberta G. Doering School;00050303;SCI;           9;17;           0;0;           9;17;          27;52;          16;31;          52;98;     480.2;;;59;2022;ALL;students with disabilities
Agawam - Robinson Park;00050025;ELA;           1;7;           0;0;           1;7;           9;60;           5;33;          15;100;     475.1;;           6;43;2022;ALL;students with disabilities
Agawam - Robinson Park;00050025;MATH;           2;13;           0;0;           2;13;           5;33;           8;53;          15;100;     468.3;;           6;23;2022;ALL;students with disabilities
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;           7;6;           0;0;           7;6;          50;41;          66;54;         123;98;     469.7;          39.8;          96;24;2022;ALL;students with disabilities
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;           9;7;           0;0;           9;7;          52;42;          62;50;         123;99;     470.1;          36.2;          97;29;2022;ALL;students with disabilities
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;           0;0;           0;0;           0;0;          11;48;          12;52;          23;100;     470.0;;;28;2022;ALL;students with disabilities
Amesbury - Amesbury Elementary;00070005;ELA;           6;27;           0;0;           6;27;           8;36;           8;36;          22;100;     482.3;;           8;71;2022;ALL;students with disabilities
Amesbury - Amesbury Elementary;00070005;MATH;           8;36;           1;5;           7;32;           9;41;           5;23;          22;100;     486.9;;           8;83;2022;ALL;students with disabilities
Amesbury - Amesbury Middle;00070013;ELA;           6;5;           0;0;           6;5;          48;36;          79;59;         133;98;     468.3;          36.6;         112;19;2022;ALL;students with disabilities
Amesbury - Amesbury Middle;00070013;MATH;           3;2;           0;0;           3;2;          61;47;          65;50;         129;95;     470.8;          43.5;         102;31;2022;ALL;students with disabilities
Amesbury - Amesbury Middle;00070013;SCI;           5;8;           1;2;           4;7;          20;33;          35;58;          60;91;     472.5;;;35;2022;ALL;students with disabilities
Amesbury - Charles C Cashman Elementary;00070010;ELA;           4;9;           0;0;           4;9;          25;58;          14;33;          43;95;     478.6;          29.8;          24;56;2022;ALL;students with disabilities
Amesbury - Charles C Cashman Elementary;00070010;MATH;           5;12;           0;0;           5;12;          14;33;          24;56;          43;100;     472.0;          34.0;          23;35;2022;ALL;students with disabilities
Amherst - Crocker Farm Elementary;00080009;ELA;           7;21;           0;0;           7;21;          10;30;          16;48;          33;95;     479.0;;          10;58;2022;ALL;students with disabilities
Amherst - Crocker Farm Elementary;00080009;MATH;           6;21;           1;3;           5;17;          15;52;           8;28;          29;84;     483.3;;          11;73;2022;ALL;students with disabilities
Amherst - Fort River Elementary;00080020;ELA;           4;9;           0;0;           4;9;          21;49;          18;42;          43;79;     476.0;;          14;47;2022;ALL;students with disabilities
Amherst - Fort River Elementary;00080020;MATH;           3;7;           0;0;           3;7;          11;26;          28;67;          42;77;     465.1;;          13;13;2022;ALL;students with disabilities
Amherst - Fort River Elementary;00080020;SCI;           0;0;           0;0;           0;0;           7;39;          11;61;          18;78;     465.5;;;14;2022;ALL;students with disabilities
Amherst - Wildwood Elementary;00080050;ELA;           8;17;           0;0;           8;17;          20;43;          18;39;          46;87;     480.7;;          15;65;2022;ALL;students with disabilities
Amherst - Wildwood Elementary;00080050;MATH;           8;17;           0;0;           8;17;          15;31;          25;52;          48;91;     473.7;;          17;41;2022;ALL;students with disabilities
Amherst - Wildwood Elementary;00080050;SCI;           2;15;           0;0;           2;15;           7;54;           4;31;          13;87;     479.3;;;56;2022;ALL;students with disabilities
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;          11;19;           1;2;          10;17;          22;37;          26;44;          59;67;     478.3;;          19;56;2022;ALL;students with disabilities
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;           6;10;           1;2;           5;8;          24;38;          33;52;          63;72;     470.4;;          19;30;2022;ALL;students with disabilities
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;           5;14;           0;0;           5;14;          11;30;          21;57;          37;77;     470.3;;;28;2022;ALL;students with disabilities
Andover - Andover West Middle;00090310;ELA;          22;20;           2;2;          20;18;          61;54;          29;26;         112;99;     483.6;          50.0;         109;74;2022;ALL;students with disabilities
Andover - Andover West Middle;00090310;MATH;          25;23;           2;2;          23;21;          59;54;          26;24;         110;97;     485.2;          51.7;         108;79;2022;ALL;students with disabilities
Andover - Andover West Middle;00090310;SCI;           5;20;           1;4;           4;16;          15;60;           5;20;          25;96;     485.7;;;75;2022;ALL;students with disabilities
Andover - Bancroft Elementary;00090003;ELA;          20;27;           0;0;          20;27;          44;60;           9;12;          73;97;     488.1;          48.1;          41;86;2022;ALL;students with disabilities
Andover - Bancroft Elementary;00090003;MATH;          17;23;           0;0;          17;23;          33;45;          24;32;          74;99;     480.8;          59.2;          41;67;2022;ALL;students with disabilities
Andover - Bancroft Elementary;00090003;SCI;           7;33;           2;10;           5;24;          12;57;           2;10;          21;95;     496.5;;;94;2022;ALL;students with disabilities
Andover - Doherty Middle;00090305;ELA;          18;23;           2;3;          16;20;          39;49;          23;29;          80;100;     484.7;          48.2;          73;77;2022;ALL;students with disabilities
Andover - Doherty Middle;00090305;MATH;          17;21;           3;4;          14;18;          41;51;          22;28;          80;100;     488.0;          52.9;          73;85;2022;ALL;students with disabilities
Andover - Doherty Middle;00090305;SCI;           2;9;           0;0;           2;9;          12;55;           8;36;          22;100;     483.1;;;67;2022;ALL;students with disabilities
Andover - Henry C Sanborn Elementary;00090010;ELA;           8;35;           0;0;           8;35;           9;39;           6;26;          23;100;     486.9;;          17;83;2022;ALL;students with disabilities
Andover - Henry C Sanborn Elementary;00090010;MATH;           7;30;           0;0;           7;30;          12;52;           4;17;          23;100;     489.6;;          17;89;2022;ALL;students with disabilities
Andover - Henry C Sanborn Elementary;00090010;SCI;           5;36;           1;7;           4;29;           6;43;           3;21;          14;100;     490.4;;;87;2022;ALL;students with disabilities
Andover - High Plain Elementary;00090004;ELA;          15;26;           0;0;          15;26;          28;49;          14;25;          57;100;     487.8;          45.2;          29;85;2022;ALL;students with disabilities
Andover - High Plain Elementary;00090004;MATH;          16;28;           2;4;          14;25;          25;44;          16;28;          57;100;     489.4;          48.3;          29;88;2022;ALL;students with disabilities
Andover - High Plain Elementary;00090004;SCI;           5;33;           2;13;           3;20;           7;47;           3;20;          15;100;     501.2;;;98;2022;ALL;students with disabilities
Andover - South Elementary;00090020;ELA;          16;36;           2;4;          14;31;          25;56;           4;9;          45;100;     493.3;          39.9;          33;96;2022;ALL;students with disabilities
Andover - South Elementary;00090020;MATH;          14;31;           2;4;          12;27;          28;62;           3;7;          45;100;     493.1;          56.6;          33;94;2022;ALL;students with disabilities
Andover - South Elementary;00090020;SCI;           9;50;           3;17;           6;33;           9;50;           0;0;          18;100;     504.1;;;98;2022;ALL;students with disabilities
Andover - West Elementary;00090025;ELA;          21;25;           2;2;          19;22;          45;53;          19;22;          85;100;     490.9;          48.7;          50;93;2022;ALL;students with disabilities
Andover - West Elementary;00090025;MATH;          15;18;           2;2;          13;15;          45;54;          24;29;          84;99;     488.0;          56.9;          50;85;2022;ALL;students with disabilities
Andover - West Elementary;00090025;SCI;          12;35;           2;6;          10;29;          16;47;           6;18;          34;100;     497.3;;;95;2022;ALL;students with disabilities
Andover - Wood Hill Middle School;00090350;ELA;          16;24;           1;2;          15;23;          38;58;          12;18;          66;100;     485.5;          43.8;          62;80;2022;ALL;students with disabilities
Andover - Wood Hill Middle School;00090350;MATH;          22;34;           2;3;          20;31;          30;46;          13;20;          65;100;     488.8;          46.9;          61;87;2022;ALL;students with disabilities
Andover - Wood Hill Middle School;00090350;SCI;           6;30;           1;5;           5;25;          10;50;           4;20;          20;100;     490.1;;;86;2022;ALL;students with disabilities
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;           3;5;           0;0;           3;5;          25;39;          36;56;          64;100;     467.0;          37.7;          61;15;2022;ALL;students with disabilities
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;           3;5;           0;0;           3;5;          28;44;          32;51;          63;100;     470.5;          36.7;          60;30;2022;ALL;students with disabilities
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;           3;14;           0;0;           3;14;           9;43;           9;43;          21;100;     477.2;;;50;2022;ALL;students with disabilities
Arlington - Brackett;00100010;ELA;          22;39;           0;0;          22;39;          23;41;          11;20;          56;97;     490.3;          41.1;          33;92;2022;ALL;students with disabilities
Arlington - Brackett;00100010;MATH;          13;23;           0;0;          13;23;          32;57;          11;20;          56;97;     485.8;          42.8;          33;81;2022;ALL;students with disabilities
Arlington - Brackett;00100010;SCI;          10;53;           2;11;           8;42;           6;32;           3;16;          19;95;     498.6;;;96;2022;ALL;students with disabilities
Arlington - Cyrus E Dallin;00100025;ELA;           5;17;           0;0;           5;17;          20;69;           4;14;          29;97;     488.7;;          17;88;2022;ALL;students with disabilities
Arlington - Cyrus E Dallin;00100025;MATH;           7;23;           0;0;           7;23;          15;50;           8;27;          30;97;     483.9;;          17;75;2022;ALL;students with disabilities
Arlington - Cyrus E Dallin;00100025;SCI;           5;50;           0;0;           5;50;           4;40;           1;10;          10;91;     495.2;;;93;2022;ALL;students with disabilities
Arlington - Gibbs School;00100305;ELA;          36;37;           3;3;          33;34;          38;39;          24;24;          98;96;     489.2;          51.3;          92;90;2022;ALL;students with disabilities
Arlington - Gibbs School;00100305;MATH;          33;33;           2;2;          31;31;          54;55;          12;12;          99;98;     491.7;          56.8;          94;92;2022;ALL;students with disabilities
Arlington - Hardy;00100030;ELA;          11;28;           0;0;          11;28;          22;55;           7;18;          40;94;     489.2;          44.5;          28;90;2022;ALL;students with disabilities
Arlington - Hardy;00100030;MATH;          14;34;           2;5;          12;29;          20;49;           7;17;          41;96;     490.6;          47.5;          28;90;2022;ALL;students with disabilities
Arlington - Hardy;00100030;SCI;           8;47;           0;0;           8;47;           8;47;           1;6;          17;100;     497.1;;;95;2022;ALL;students with disabilities
Arlington - John A Bishop;00100005;ELA;          14;48;           3;10;          11;38;          11;38;           4;14;          29;100;     496.9;;          15;98;2022;ALL;students with disabilities
Arlington - John A Bishop;00100005;MATH;          13;45;           1;3;          12;41;          10;34;           6;21;          29;100;     493.3;;          15;94;2022;ALL;students with disabilities
Arlington - John A Bishop;00100005;SCI;           6;55;           1;9;           5;45;           3;27;           2;18;          11;100;     501.4;;;98;2022;ALL;students with disabilities
Arlington - M Norcross Stratton;00100055;ELA;          16;36;           1;2;          15;34;          20;45;           8;18;          44;98;     494.0;          45.7;          29;97;2022;ALL;students with disabilities
