School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Amherst - Crocker Farm Elementary;00080009;ELA;          30;71;           5;12;          25;60;           9;21;           3;7;          42;51;     507.8;;          17;2021;ALL;white
Amherst - Crocker Farm Elementary;00080009;MATH;          23;53;           1;2;          22;51;          17;40;           3;7;          43;52;     500.0;;          19;2021;ALL;white
Amherst - Crocker Farm Elementary;00080009;SCI;           7;54;           0;0;           7;54;           6;46;           0;0;          13;56;     504.2;;;2021;ALL;white
Amherst - Fort River Elementary;00080020;ELA;          32;70;          12;26;          20;43;          12;26;           2;4;          46;61;     515.2;          51.6;          20;2021;ALL;white
Amherst - Fort River Elementary;00080020;MATH;          26;57;           6;13;          20;43;          11;24;           9;20;          46;61;     500.4;          40.1;          21;2021;ALL;white
Amherst - Fort River Elementary;00080020;SCI;           5;50;           1;10;           4;40;           3;30;           2;20;          10;53;     500.2;;;2021;ALL;white
Amherst - Wildwood Elementary;00080050;ELA;          49;70;          15;21;          34;49;          16;23;           5;7;          70;67;     510.0;          37.4;          33;2021;ALL;white
Amherst - Wildwood Elementary;00080050;MATH;          31;45;           3;4;          28;41;          26;38;          12;17;          69;66;     496.5;          31.6;          32;2021;ALL;white
Amherst - Wildwood Elementary;00080050;SCI;          11;55;           1;5;          10;50;           7;35;           2;10;          20;67;     502.5;;;2021;ALL;white
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;          47;71;           8;12;          39;59;          12;18;           7;11;          66;31;     510.2;          46.3;          56;2021;ALL;white
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;          43;59;           9;12;          34;47;          23;32;           7;10;          73;34;     506.8;          32.6;          63;2021;ALL;white
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;          20;74;           6;22;          14;52;           5;19;           2;7;          27;28;     516.0;;;2021;ALL;white
Andover - Andover West Middle;00090310;ELA;         202;55;          51;14;         151;41;         127;35;          35;10;         364;99;     503.4;          35.9;         340;2021;ALL;white
Andover - Andover West Middle;00090310;MATH;         222;61;          49;13;         173;48;         110;30;          32;9;         364;99;     505.0;          42.2;         340;2021;ALL;white
Andover - Andover West Middle;00090310;SCI;          66;65;          14;14;          52;51;          32;31;           4;4;         102;99;     507.1;;;2021;ALL;white
Andover - Bancroft Elementary;00090003;ELA;         152;68;          26;12;         126;57;          65;29;           5;2;         222;99;     507.8;          46.4;          70;2021;ALL;white
Andover - Bancroft Elementary;00090003;MATH;         106;48;          10;5;          96;43;          97;44;          19;9;         222;99;     497.2;          43.6;          71;2021;ALL;white
Andover - Bancroft Elementary;00090003;SCI;          53;74;          12;17;          41;57;          17;24;           2;3;          72;99;     512.7;;;2021;ALL;white
Andover - Doherty Middle;00090305;ELA;         210;61;          38;11;         172;50;         107;31;          26;8;         343;97;     505.4;          42.7;         337;2021;ALL;white
Andover - Doherty Middle;00090305;MATH;         169;49;          22;6;         147;43;         151;44;          23;7;         343;97;     499.9;          39.1;         337;2021;ALL;white
Andover - Doherty Middle;00090305;SCI;          66;55;          18;15;          48;40;          43;36;          10;8;         119;98;     503.0;;;2021;ALL;white
Andover - Henry C Sanborn Elementary;00090010;ELA;          76;64;          18;15;          58;49;          39;33;           4;3;         119;98;     508.7;          23.7;          49;2021;ALL;white
Andover - Henry C Sanborn Elementary;00090010;MATH;          72;61;          12;10;          60;50;          42;35;           5;4;         119;98;     505.6;          32.2;          49;2021;ALL;white
Andover - Henry C Sanborn Elementary;00090010;SCI;          25;50;           4;8;          21;42;          22;44;           3;6;          50;98;     500.9;;;2021;ALL;white
Andover - High Plain Elementary;00090004;ELA;         108;82;          42;32;          66;50;          20;15;           4;3;         132;100;     519.1;          61.6;          43;2021;ALL;white
Andover - High Plain Elementary;00090004;MATH;          92;70;          16;12;          76;58;          32;24;           8;6;         132;100;     510.1;          60.9;          43;2021;ALL;white
Andover - High Plain Elementary;00090004;SCI;          37;80;          17;37;          20;43;           8;17;           1;2;          46;100;     520.2;;;2021;ALL;white
Andover - South Elementary;00090020;ELA;         142;77;          26;14;         116;63;          42;23;           1;1;         185;100;     511.2;          35.5;          65;2021;ALL;white
Andover - South Elementary;00090020;MATH;         107;58;           8;4;          99;54;          73;39;           5;3;         185;100;     501.5;          42.7;          65;2021;ALL;white
Andover - South Elementary;00090020;SCI;          40;62;           6;9;          34;52;          22;34;           3;5;          65;100;     502.9;;;2021;ALL;white
Andover - West Elementary;00090025;ELA;         127;64;          22;11;         105;53;          66;33;           5;3;         198;100;     506.4;          40.3;          71;2021;ALL;white
Andover - West Elementary;00090025;MATH;          95;48;          15;8;          80;40;          83;42;          20;10;         198;100;     497.6;          42.8;          71;2021;ALL;white
Andover - West Elementary;00090025;SCI;          51;71;           7;10;          44;61;          19;26;           2;3;          72;100;     507.5;;;2021;ALL;white
Andover - Wood Hill Middle School;00090350;ELA;         104;57;          17;9;          87;48;          68;38;           9;5;         181;99;     504.3;          28.1;         173;2021;ALL;white
Andover - Wood Hill Middle School;00090350;MATH;         103;57;          14;8;          89;49;          64;35;          15;8;         182;100;     502.4;          33.1;         175;2021;ALL;white
Andover - Wood Hill Middle School;00090350;SCI;          33;58;           6;11;          27;47;          21;37;           3;5;          57;100;     503.4;;;2021;ALL;white
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          31;20;           1;1;          30;19;          91;58;          34;22;         156;96;     484.5;          21.3;         141;2021;ALL;white
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          20;13;           1;1;          19;12;          91;58;          45;29;         156;96;     480.2;          15.2;         140;2021;ALL;white
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;           5;13;           0;0;           5;13;          27;69;           7;18;          39;95;     483.6;;;2021;ALL;white
Arlington - Brackett;00100010;ELA;         123;78;          15;10;         108;69;          30;19;           4;3;         157;98;     510.8;          39.1;          51;2021;ALL;white
Arlington - Brackett;00100010;MATH;          87;55;          10;6;          77;49;          67;43;           3;2;         157;98;     502.1;          35.7;          51;2021;ALL;white
Arlington - Brackett;00100010;SCI;          44;85;          13;25;          31;60;           8;15;           0;0;          52;98;     518.6;;;2021;ALL;white
Arlington - Cyrus E Dallin;00100025;ELA;         132;76;          26;15;         106;61;          36;21;           6;3;         174;98;     509.2;          45.9;          58;2021;ALL;white
Arlington - Cyrus E Dallin;00100025;MATH;          81;47;          11;6;          70;40;          78;45;          14;8;         173;97;     498.5;          34.7;          58;2021;ALL;white
Arlington - Cyrus E Dallin;00100025;SCI;          39;67;           6;10;          33;57;          17;29;           2;3;          58;98;     509.5;;;2021;ALL;white
