School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Arlington - Hardy;00100030;ELA;           5;38;           0;0;           5;38;           7;54;           1;8;          13;100;     492.4;;           5;68;2022;ALL;title 1
Arlington - Hardy;00100030;MATH;           5;38;           1;8;           4;31;           5;38;           3;23;          13;100;     490.8;;           5;70;2022;ALL;title 1
Arlington - M Norcross Stratton;00100055;ELA;           7;29;           1;4;           6;25;          16;67;           1;4;          24;100;     492.8;;          11;70;2022;ALL;title 1
Arlington - M Norcross Stratton;00100055;MATH;           3;13;           0;0;           3;13;          17;74;           3;13;          23;100;     486.5;;          11;52;2022;ALL;title 1
Arlington - Peirce;00100045;ELA;           7;35;           1;5;           6;30;          13;65;           0;0;          20;100;     495.9;;           5;84;2022;ALL;title 1
Arlington - Peirce;00100045;MATH;           3;15;           0;0;           3;15;          11;55;           6;30;          20;100;     481.3;;           5;31;2022;ALL;title 1
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;          12;27;           0;0;          12;27;          30;68;           2;5;          44;100;     492.2;;          19;67;2022;ALL;title 1
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;          13;30;           1;2;          12;27;          24;55;           7;16;          44;100;     489.2;;          19;63;2022;ALL;title 1
Ashburnham-Westminster - Briggs Elementary;06100025;SCI;           3;30;           0;0;           3;30;           5;50;           2;20;          10;91;     486.8;;;52;2022;ALL;title 1
Ashland - Ashland Middle;00140405;ELA;          11;31;           0;0;          11;31;          17;47;           8;22;          36;98;     484.4;          52.9;          36;33;2022;ALL;title 1
Ashland - Ashland Middle;00140405;MATH;           4;11;           0;0;           4;11;          31;84;           2;5;          37;100;     485.6;          72.2;          37;47;2022;ALL;title 1
Ashland - Ashland Middle;00140405;SCI;           3;20;           0;0;           3;20;           8;53;           4;27;          15;100;     480.9;;;28;2022;ALL;title 1
Ashland - David Mindess;00140015;ELA;           7;18;           0;0;           7;18;          25;63;           8;20;          40;100;     484.7;          37.6;          39;34;2022;ALL;title 1
Ashland - David Mindess;00140015;MATH;           2;5;           0;0;           2;5;          30;75;           8;20;          40;100;     479.1;          41.9;          39;22;2022;ALL;title 1
Ashland - David Mindess;00140015;SCI;           2;10;           0;0;           2;10;          13;65;           5;25;          20;95;     479.4;;;22;2022;ALL;title 1
Athol-Royalston - Athol Community Elementary School;06150020;ELA;          47;24;           2;1;          45;23;         106;53;          47;24;         200;99;     485.8;          35.3;          96;39;2022;ALL;title 1
Athol-Royalston - Athol Community Elementary School;06150020;MATH;          59;30;           6;3;          53;27;          90;45;          49;25;         198;98;     486.3;          46.3;          95;51;2022;ALL;title 1
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;          76;19;           5;1;          71;18;         201;50;         127;31;         404;97;     481.7;          40.1;         377;22;2022;ALL;title 1
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;          75;18;           1;0;          74;18;         246;60;          86;21;         407;97;     484.4;          47.7;         383;42;2022;ALL;title 1
Athol-Royalston - Athol-Royalston Middle School;06150305;SCI;          61;30;           7;3;          54;26;         108;52;          37;18;         206;93;     490.1;;;63;2022;ALL;title 1
Athol-Royalston - Royalston Community School;06150050;ELA;           4;18;           0;0;           4;18;          15;68;           3;14;          22;100;     486.9;;          16;45;2022;ALL;title 1
Athol-Royalston - Royalston Community School;06150050;MATH;           4;18;           0;0;           4;18;          15;68;           3;14;          22;100;     484.1;;          16;41;2022;ALL;title 1
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;         227;35;          24;4;         203;31;         318;49;         109;17;         654;100;     491.1;          48.5;         528;65;2022;ALL;title 1
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;         157;24;           4;1;         153;23;         381;58;         114;17;         652;100;     487.0;          43.1;         526;55;2022;ALL;title 1
Atlantis Charter (District) - Atlantis Charter School;04910550;SCI;          73;34;           5;2;          68;31;          97;45;          47;22;         217;100;     489.3;;;62;2022;ALL;title 1
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;          75;51;          10;7;          65;45;          61;42;          10;7;         146;100;     501.3;          62.1;          72;96;2022;ALL;title 1
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;          70;48;           5;3;          65;45;          59;41;          16;11;         145;99;     496.7;          51.6;          72;88;2022;ALL;title 1
Attleboro - Hill-Roberts Elementary School;00160045;ELA;          58;36;           6;4;          52;33;          78;49;          23;14;         159;100;     493.0;          35.0;          77;71;2022;ALL;title 1
Attleboro - Hill-Roberts Elementary School;00160045;MATH;          67;42;           2;1;          65;41;          71;45;          20;13;         158;100;     492.9;          50.6;          77;78;2022;ALL;title 1
Attleboro - Hyman Fine Elementary School;00160040;ELA;          73;41;          11;6;          62;34;          82;46;          25;14;         180;99;     495.0;          52.1;          92;81;2022;ALL;title 1
Attleboro - Hyman Fine Elementary School;00160040;MATH;          70;39;           8;4;          62;34;          85;47;          25;14;         180;99;     493.9;          59.2;          92;81;2022;ALL;title 1
Attleboro - Peter Thacher Elementary School;00160050;ELA;          66;41;           9;6;          57;35;          73;45;          22;14;         161;99;     497.5;          49.7;          77;89;2022;ALL;title 1
