School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Andover - Wood Hill Middle School;00090350;MATH;          12;71;           7;41;           5;29;           3;18;           2;12;          17;94;     513.8;;          14;86;2022;ALL;multi-race
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;           5;29;           0;0;           5;29;           7;41;           5;29;          17;100;     482.9;;          17;8;2022;ALL;multi-race
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;           5;29;           0;0;           5;29;           6;35;           6;35;          17;100;     482.8;;          17;14;2022;ALL;multi-race
Arlington - Brackett;00100010;ELA;          17;71;           0;0;          17;71;           4;17;           3;13;          24;100;     502.7;;          11;62;2022;ALL;multi-race
Arlington - Brackett;00100010;MATH;          16;67;           0;0;          16;67;           5;21;           3;13;          24;100;     505.4;;          11;70;2022;ALL;multi-race
Arlington - Cyrus E Dallin;00100025;ELA;           9;75;           0;0;           9;75;           3;25;           0;0;          12;93;     505.6;;           4;69;2022;ALL;multi-race
Arlington - Cyrus E Dallin;00100025;MATH;           8;62;           2;15;           6;46;           3;23;           2;15;          13;100;     506.3;;           4;72;2022;ALL;multi-race
Arlington - Gibbs School;00100305;ELA;          19;66;           6;21;          13;45;           7;24;           3;10;          29;100;     505.1;          51.3;          27;68;2022;ALL;multi-race
Arlington - Gibbs School;00100305;MATH;          22;76;           8;28;          14;48;           6;21;           1;3;          29;100;     512.7;          58.9;          27;85;2022;ALL;multi-race
Arlington - Hardy;00100030;ELA;           7;44;           2;13;           5;31;           7;44;           2;13;          16;100;     497.0;;           8;46;2022;ALL;multi-race
Arlington - Hardy;00100030;MATH;           8;50;           3;19;           5;31;           7;44;           1;6;          16;100;     503.2;;           7;65;2022;ALL;multi-race
Arlington - John A Bishop;00100005;ELA;          11;79;           2;14;           9;64;           3;21;           0;0;          14;100;     511.2;;           6;84;2022;ALL;multi-race
Arlington - John A Bishop;00100005;MATH;          11;79;           3;21;           8;57;           2;14;           1;7;          14;100;     511.9;;           6;83;2022;ALL;multi-race
Arlington - M Norcross Stratton;00100055;ELA;          12;75;           3;19;           9;56;           4;25;           0;0;          16;100;     512.9;;           9;87;2022;ALL;multi-race
Arlington - M Norcross Stratton;00100055;MATH;          11;73;           5;33;           6;40;           3;20;           1;7;          15;100;     516.8;;           9;91;2022;ALL;multi-race
Arlington - Ottoson Middle;00100410;ELA;          42;76;          11;20;          31;56;          12;22;           1;2;          55;100;     514.2;          69.8;          50;90;2022;ALL;multi-race
Arlington - Ottoson Middle;00100410;MATH;          40;73;          13;24;          27;49;          14;25;           1;2;          55;100;     515.0;          70.4;          50;87;2022;ALL;multi-race
Arlington - Ottoson Middle;00100410;SCI;          19;79;           6;25;          13;54;           5;21;           0;0;          24;96;     514.4;;;86;2022;ALL;multi-race
Arlington - Thompson;00100050;ELA;          12;100;           3;25;           9;75;           0;0;           0;0;          12;92;     518.5;;           3;96;2022;ALL;multi-race
Arlington - Thompson;00100050;MATH;          10;77;           2;15;           8;62;           3;23;           0;0;          13;100;     516.2;;           3;90;2022;ALL;multi-race
Ashburnham-Westminster - Overlook Middle School;06100305;ELA;          12;52;           2;9;          10;43;          11;48;           0;0;          23;100;     502.5;          59.4;          23;62;2022;ALL;multi-race
Ashburnham-Westminster - Overlook Middle School;06100305;MATH;          11;48;           0;0;          11;48;          11;48;           1;4;          23;100;     498.3;          54.7;          23;54;2022;ALL;multi-race
Ashburnham-Westminster - Overlook Middle School;06100305;SCI;           5;45;           0;0;           5;45;           4;36;           2;18;          11;100;     494.5;;;46;2022;ALL;multi-race
Ashland - Ashland Middle;00140405;ELA;           9;43;           1;5;           8;38;          10;48;           2;10;          21;100;     496.1;          61.6;          20;43;2022;ALL;multi-race
Ashland - Ashland Middle;00140405;MATH;           8;38;           3;14;           5;24;          11;52;           2;10;          21;100;     495.8;          60.4;          20;47;2022;ALL;multi-race
Ashland - David Mindess;00140015;ELA;          13;54;           1;4;          12;50;          11;46;           0;0;          24;97;     501.6;;          15;59;2022;ALL;multi-race
Ashland - David Mindess;00140015;MATH;          15;63;           1;4;          14;58;           8;33;           1;4;          24;97;     503.3;;          15;65;2022;ALL;multi-race
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;           2;15;           1;8;           1;8;           6;46;           5;38;          13;100;     480.0;;          12;5;2022;ALL;multi-race
