School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Arlington - Hardy;00100030;MATH;          52;54;          13;13;          39;40;          38;39;           7;7;          97;98;     501.9;          28.1;          34;2021;ALL;male
Arlington - Hardy;00100030;SCI;          23;66;           1;3;          22;63;          10;29;           2;6;          35;97;     503.8;;;2021;ALL;male
Arlington - John A Bishop;00100005;ELA;          63;69;          15;16;          48;53;          25;27;           3;3;          91;96;     508.6;          37.3;          25;2021;ALL;male
Arlington - John A Bishop;00100005;MATH;          61;67;          15;16;          46;51;          26;29;           4;4;          91;96;     507.2;          37.2;          25;2021;ALL;male
Arlington - John A Bishop;00100005;SCI;          23;85;           8;30;          15;56;           4;15;           0;0;          27;90;     520.1;;;2021;ALL;male
Arlington - M Norcross Stratton;00100055;ELA;          70;69;          14;14;          56;55;          26;25;           6;6;         102;100;     505.4;          39.2;          29;2021;ALL;male
Arlington - M Norcross Stratton;00100055;MATH;          53;52;          13;13;          40;39;          41;40;           8;8;         102;100;     502.6;          41.1;          29;2021;ALL;male
Arlington - M Norcross Stratton;00100055;SCI;          19;59;           8;25;          11;34;           8;25;           5;16;          32;100;     507.9;;;2021;ALL;male
Arlington - Ottoson Middle;00100410;ELA;         280;64;          61;14;         219;50;         137;31;          23;5;         440;95;     507.3;          48.7;         414;2021;ALL;male
Arlington - Ottoson Middle;00100410;MATH;         284;64;          51;12;         233;53;         137;31;          20;5;         441;95;     507.2;          44.8;         415;2021;ALL;male
Arlington - Ottoson Middle;00100410;SCI;         110;64;          28;16;          82;47;          56;32;           7;4;         173;98;     507.8;;;2021;ALL;male
Arlington - Peirce;00100045;ELA;          47;68;           4;6;          43;62;          22;32;           0;0;          69;97;     505.4;;          13;2021;ALL;male
Arlington - Peirce;00100045;MATH;          39;57;           3;4;          36;52;          28;41;           2;3;          69;97;     500.8;;          13;2021;ALL;male
Arlington - Peirce;00100045;SCI;          10;77;           4;31;           6;46;           3;23;           0;0;          13;93;     524.9;;;2021;ALL;male
Arlington - Thompson;00100050;ELA;          59;63;          14;15;          45;48;          29;31;           6;6;          94;91;     504.5;          31.3;          38;2021;ALL;male
Arlington - Thompson;00100050;MATH;          56;60;           8;9;          48;51;          29;31;           9;10;          94;91;     502.7;          31.4;          38;2021;ALL;male
Arlington - Thompson;00100050;SCI;          24;62;           3;8;          21;54;          11;28;           4;10;          39;95;     504.1;;;2021;ALL;male
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;          54;50;           6;6;          48;44;          51;47;           4;4;         109;98;     499.1;          32.0;          37;2021;ALL;male
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;          39;36;           0;0;          39;36;          61;56;           9;8;         109;98;     493.7;          31.4;          37;2021;ALL;male
Ashburnham-Westminster - Briggs Elementary;06100025;SCI;          22;59;           1;3;          21;57;          12;32;           3;8;          37;100;     500.8;;;2021;ALL;male
Ashburnham-Westminster - Overlook Middle School;06100305;ELA;         133;48;           8;3;         125;45;         116;42;          29;10;         278;98;     498.0;          48.1;         265;2021;ALL;male
Ashburnham-Westminster - Overlook Middle School;06100305;MATH;          95;34;           5;2;          90;32;         150;54;          33;12;         278;98;     492.8;          32.5;         265;2021;ALL;male
Ashburnham-Westminster - Overlook Middle School;06100305;SCI;          31;37;           5;6;          26;31;          49;59;           3;4;          83;98;     497.5;;;2021;ALL;male
