School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Amesbury - Amesbury Middle;00070013;ELA;         225;48;          16;3;         209;45;         213;46;          27;6;         465;99;     499.0;          41.6;         428;48;2022;ALL;non-disabled
Amesbury - Amesbury Middle;00070013;MATH;         228;50;          24;5;         204;45;         204;45;          26;6;         458;99;     499.6;          51.0;         425;54;2022;ALL;non-disabled
Amesbury - Amesbury Middle;00070013;SCI;         128;62;          18;9;         110;53;          78;38;           1;0;         207;94;     504.9;;;66;2022;ALL;non-disabled
Amesbury - Charles C Cashman Elementary;00070010;ELA;          42;49;           3;4;          39;46;          40;47;           3;4;          85;100;     500.2;          53.0;          43;53;2022;ALL;non-disabled
Amesbury - Charles C Cashman Elementary;00070010;MATH;          47;55;           3;4;          44;52;          32;38;           6;7;          85;100;     502.3;          51.5;          42;62;2022;ALL;non-disabled
Amherst - Crocker Farm Elementary;00080009;ELA;          83;58;          16;11;          67;47;          46;32;          13;9;         142;99;     504.2;          55.2;          58;67;2022;ALL;non-disabled
Amherst - Crocker Farm Elementary;00080009;MATH;          75;54;          12;9;          63;45;          52;37;          13;9;         140;98;     500.5;          52.5;          56;57;2022;ALL;non-disabled
Amherst - Crocker Farm Elementary;00080009;SCI;          22;59;           5;14;          17;46;          14;38;           1;3;          37;100;     506.9;;;72;2022;ALL;non-disabled
Amherst - Fort River Elementary;00080020;ELA;          67;59;           7;6;          60;53;          42;37;           5;4;         114;97;     503.9;          44.8;          60;66;2022;ALL;non-disabled
Amherst - Fort River Elementary;00080020;MATH;          64;58;          10;9;          54;49;          37;33;          10;9;         111;94;     502.1;          56.8;          57;61;2022;ALL;non-disabled
Amherst - Fort River Elementary;00080020;SCI;          19;58;           6;18;          13;39;          10;30;           4;12;          33;95;     503.7;;;62;2022;ALL;non-disabled
Amherst - Wildwood Elementary;00080050;ELA;          86;57;          16;11;          70;46;          47;31;          18;12;         151;96;     501.8;          57.2;          74;59;2022;ALL;non-disabled
Amherst - Wildwood Elementary;00080050;MATH;          68;45;          11;7;          57;38;          50;33;          32;21;         150;96;     494.5;          62.5;          72;39;2022;ALL;non-disabled
Amherst - Wildwood Elementary;00080050;SCI;          17;59;           4;14;          13;45;           7;24;           5;17;          29;97;     499.6;;;48;2022;ALL;non-disabled
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;         157;62;          31;12;         126;49;          77;30;          21;8;         255;82;     503.9;          55.1;         133;66;2022;ALL;non-disabled
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;         130;48;          37;14;          93;34;         116;43;          25;9;         271;87;     501.0;          52.6;         137;58;2022;ALL;non-disabled
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;          84;56;          12;8;          72;48;          48;32;          18;12;         150;92;     499.9;;;49;2022;ALL;non-disabled
Andover - Andover West Middle;00090310;ELA;         302;73;          59;14;         243;59;         105;25;           5;1;         412;100;     511.8;          57.4;         396;89;2022;ALL;non-disabled
Andover - Andover West Middle;00090310;MATH;         343;83;         116;28;         227;55;          67;16;           2;0;         412;100;     518.1;          65.1;         397;96;2022;ALL;non-disabled
Andover - Andover West Middle;00090310;SCI;         134;85;          35;22;          99;63;          24;15;           0;0;         158;99;     517.4;;;94;2022;ALL;non-disabled
Andover - Bancroft Elementary;00090003;ELA;         167;77;          42;19;         125;58;          48;22;           2;1;         217;100;     513.0;          67.2;         143;92;2022;ALL;non-disabled
Andover - Bancroft Elementary;00090003;MATH;         131;60;          27;12;         104;48;          81;37;           5;2;         217;100;     507.0;          62.2;         143;76;2022;ALL;non-disabled
Andover - Bancroft Elementary;00090003;SCI;          52;73;          16;23;          36;51;          18;25;           1;1;          71;100;     514.8;;;90;2022;ALL;non-disabled
Andover - Doherty Middle;00090305;ELA;         283;76;          75;20;         208;56;          84;23;           5;1;         372;100;     513.7;          63.3;         352;93;2022;ALL;non-disabled
Andover - Doherty Middle;00090305;MATH;         277;74;          71;19;         206;55;          94;25;           1;0;         372;100;     513.3;          64.3;         352;90;2022;ALL;non-disabled
Andover - Doherty Middle;00090305;SCI;         101;81;          19;15;          82;66;          21;17;           2;2;         124;100;     513.1;;;87;2022;ALL;non-disabled
Andover - Henry C Sanborn Elementary;00090010;ELA;         125;80;          28;18;          97;62;          31;20;           1;1;         157;100;     514.1;          66.0;          91;94;2022;ALL;non-disabled
Andover - Henry C Sanborn Elementary;00090010;MATH;         120;76;          32;20;          88;56;          36;23;           1;1;         157;100;     516.0;          57.0;          91;94;2022;ALL;non-disabled
Andover - Henry C Sanborn Elementary;00090010;SCI;          35;73;          13;27;          22;46;          13;27;           0;0;          48;100;     516.2;;;92;2022;ALL;non-disabled
Andover - High Plain Elementary;00090004;ELA;         174;80;          36;17;         138;63;          41;19;           3;1;         218;100;     513.2;          59.2;         125;92;2022;ALL;non-disabled
Andover - High Plain Elementary;00090004;MATH;         173;79;          50;23;         123;56;          40;18;           5;2;         218;100;     515.4;          70.7;         125;93;2022;ALL;non-disabled
Andover - High Plain Elementary;00090004;SCI;          62;89;          32;46;          30;43;           7;10;           1;1;          70;100;     524.7;;;99;2022;ALL;non-disabled
Andover - South Elementary;00090020;ELA;         148;80;          27;15;         121;65;          38;20;           0;0;         186;99;     512.7;          54.8;         112;91;2022;ALL;non-disabled
Andover - South Elementary;00090020;MATH;         143;77;          37;20;         106;57;          41;22;           2;1;         186;99;     515.1;          63.0;         112;92;2022;ALL;non-disabled
Andover - South Elementary;00090020;SCI;          42;76;          15;27;          27;49;          11;20;           2;4;          55;98;     517.9;;;95;2022;ALL;non-disabled
Andover - West Elementary;00090025;ELA;         133;71;          24;13;         109;58;          54;29;           1;1;         188;100;     509.9;          63.3;         117;85;2022;ALL;non-disabled
Andover - West Elementary;00090025;MATH;         131;70;          25;13;         106;56;          55;29;           2;1;         188;100;     510.2;          65.3;         117;85;2022;ALL;non-disabled
Andover - West Elementary;00090025;SCI;          38;64;           9;15;          29;49;          20;34;           1;2;          59;98;     508.1;;;75;2022;ALL;non-disabled
Andover - Wood Hill Middle School;00090350;ELA;         225;77;          54;18;         171;58;          63;21;           6;2;         294;100;     512.5;          50.6;         284;91;2022;ALL;non-disabled
Andover - Wood Hill Middle School;00090350;MATH;         221;75;          75;26;         146;50;          69;24;           3;1;         293;99;     514.9;          50.0;         284;92;2022;ALL;non-disabled
Andover - Wood Hill Middle School;00090350;SCI;          81;79;          17;17;          64;62;          21;20;           1;1;         103;100;     515.2;;;91;2022;ALL;non-disabled
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          42;20;           0;0;          42;20;         123;57;          50;23;         215;100;     483.5;          40.3;         206;8;2022;ALL;non-disabled
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          32;15;           0;0;          32;15;         137;64;          46;21;         215;100;     481.9;          37.6;         207;10;2022;ALL;non-disabled
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;          19;25;           0;0;          19;25;          42;55;          15;20;          76;100;     486.6;;;18;2022;ALL;non-disabled
Arlington - Brackett;00100010;ELA;         140;77;          11;6;         129;71;          41;23;           1;1;         182;99;     509.3;          57.6;         100;84;2022;ALL;non-disabled
Arlington - Brackett;00100010;MATH;         123;67;          15;8;         108;59;          56;31;           4;2;         183;100;     508.0;          55.0;         100;79;2022;ALL;non-disabled
Arlington - Brackett;00100010;SCI;          54;84;          11;17;          43;67;           9;14;           1;2;          64;100;     519.3;;;96;2022;ALL;non-disabled
Arlington - Cyrus E Dallin;00100025;ELA;         146;71;          18;9;         128;62;          59;29;           0;0;         205;99;     509.3;          59.4;         126;84;2022;ALL;non-disabled
Arlington - Cyrus E Dallin;00100025;MATH;         140;68;          24;12;         116;56;          60;29;           6;3;         206;99;     508.3;          56.8;         126;81;2022;ALL;non-disabled
Arlington - Cyrus E Dallin;00100025;SCI;          51;75;           9;13;          42;62;          16;24;           1;1;          68;97;     511.3;;;83;2022;ALL;non-disabled
Arlington - Gibbs School;00100305;ELA;         266;78;          66;19;         200;59;          68;20;           7;2;         341;100;     513.3;          61.6;         315;93;2022;ALL;non-disabled
Arlington - Gibbs School;00100305;MATH;         277;81;          32;9;         245;72;          62;18;           2;1;         341;100;     512.0;          61.4;         316;88;2022;ALL;non-disabled
Arlington - Hardy;00100030;ELA;         121;77;           8;5;         113;72;          32;20;           4;3;         157;98;     507.3;          52.7;          94;78;2022;ALL;non-disabled
Arlington - Hardy;00100030;MATH;         118;75;          25;16;          93;59;          36;23;           3;2;         157;98;     512.3;          58.3;          94;88;2022;ALL;non-disabled
Arlington - Hardy;00100030;SCI;          46;85;          17;31;          29;54;           7;13;           1;2;          54;96;     523.2;;;99;2022;ALL;non-disabled
Arlington - John A Bishop;00100005;ELA;         128;79;          27;17;         101;62;          34;21;           1;1;         163;100;     513.1;          63.0;          93;92;2022;ALL;non-disabled
Arlington - John A Bishop;00100005;MATH;         129;79;          30;18;          99;61;          34;21;           0;0;         163;100;     515.2;          57.9;          93;93;2022;ALL;non-disabled
Arlington - John A Bishop;00100005;SCI;          41;79;          13;25;          28;54;          10;19;           1;2;          52;100;     518.0;;;95;2022;ALL;non-disabled
Arlington - M Norcross Stratton;00100055;ELA;         128;78;          20;12;         108;65;          35;21;           2;1;         165;99;     511.6;          61.9;         105;89;2022;ALL;non-disabled
Arlington - M Norcross Stratton;00100055;MATH;         131;82;          39;24;          92;58;          27;17;           2;1;         160;96;     518.2;          67.6;         104;96;2022;ALL;non-disabled
Arlington - M Norcross Stratton;00100055;SCI;          37;79;          10;21;          27;57;          10;21;           0;0;          47;98;     517.2;;;94;2022;ALL;non-disabled
Arlington - Ottoson Middle;00100410;ELA;         598;84;         157;22;         441;62;         102;14;           8;1;         708;99;     516.8;          63.2;         660;97;2022;ALL;non-disabled
Arlington - Ottoson Middle;00100410;MATH;         582;82;         202;28;         380;54;         124;17;           3;0;         709;99;     518.6;          68.7;         660;97;2022;ALL;non-disabled
Arlington - Ottoson Middle;00100410;SCI;         293;86;          90;26;         203;59;          48;14;           1;0;         342;98;     518.2;;;95;2022;ALL;non-disabled
Arlington - Peirce;00100045;ELA;          85;69;           6;5;          79;64;          38;31;           1;1;         124;99;     506.2;          52.9;          72;74;2022;ALL;non-disabled
Arlington - Peirce;00100045;MATH;          75;60;          16;13;          59;48;          43;35;           6;5;         124;100;     506.5;          58.3;          73;75;2022;ALL;non-disabled
