School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Cambridge - Morse;00490045;MATH;           5;45;           2;18;           3;27;           4;36;           2;18;          11;100;     504.5;;           2;2021;ALL;multi-race
Cambridge - Putnam Avenue Upper School;00490310;ELA;          15;68;           7;32;           8;36;           5;23;           2;9;          22;73;     511.1;;          19;2021;ALL;multi-race
Cambridge - Putnam Avenue Upper School;00490310;MATH;          10;43;           3;13;           7;30;          10;43;           3;13;          23;77;     496.5;;          19;2021;ALL;multi-race
Cambridge - Rindge Avenue Upper School;00490315;ELA;           9;45;           1;5;           8;40;           6;30;           5;25;          20;88;     494.9;          33.3;          20;2021;ALL;multi-race
Cambridge - Rindge Avenue Upper School;00490315;MATH;           8;40;           1;5;           7;35;           5;25;           7;35;          20;88;     488.1;          26.4;          20;2021;ALL;multi-race
Cambridge - Vassal Lane Upper School;00490320;ELA;          10;67;           2;13;           8;53;           3;20;           2;13;          15;68;     505.2;;          15;2021;ALL;multi-race
Cambridge - Vassal Lane Upper School;00490320;MATH;           7;47;           0;0;           7;47;           4;27;           4;27;          15;68;     492.7;;          15;2021;ALL;multi-race
Canton - Dean S Luce;00500020;ELA;           6;46;           0;0;           6;46;           7;54;           0;0;          13;100;     499.2;;           7;2021;ALL;multi-race
Canton - Dean S Luce;00500020;MATH;           5;38;           1;8;           4;31;           7;54;           1;8;          13;100;     496.5;;           7;2021;ALL;multi-race
Canton - John F Kennedy;00500017;ELA;          13;81;           0;0;          13;81;           3;19;           0;0;          16;100;     509.4;;           4;2021;ALL;multi-race
Canton - John F Kennedy;00500017;MATH;          10;63;           2;13;           8;50;           4;25;           2;13;          16;100;     499.0;;           4;2021;ALL;multi-race
Canton - Lt Peter M Hansen;00500012;ELA;          12;71;           6;35;           6;35;           5;29;           0;0;          17;100;     516.4;;           4;2021;ALL;multi-race
Canton - Lt Peter M Hansen;00500012;MATH;           9;56;           2;13;           7;44;           6;38;           1;6;          16;94;     503.5;;           4;2021;ALL;multi-race
Canton - Wm H Galvin Middle;00500305;ELA;          23;52;           4;9;          19;43;          10;23;          11;25;          44;96;     496.8;          39.8;          40;2021;ALL;multi-race
Canton - Wm H Galvin Middle;00500305;MATH;          18;41;           3;7;          15;34;          16;36;          10;23;          44;96;     491.8;          28.5;          40;2021;ALL;multi-race
Carlisle - Carlisle School;00510025;ELA;          30;81;          11;30;          19;51;           5;14;           2;5;          37;97;     516.4;          48.4;          26;2021;ALL;multi-race
Carlisle - Carlisle School;00510025;MATH;          30;83;          10;28;          20;56;           5;14;           1;3;          36;95;     520.4;          52.7;          26;2021;ALL;multi-race
Carlisle - Carlisle School;00510025;SCI;           9;90;           3;30;           6;60;           0;0;           1;10;          10;100;     520.9;;;2021;ALL;multi-race
Central Berkshire - Nessacus Regional Middle School;06350305;ELA;           5;28;           0;0;           5;28;           9;50;           4;22;          18;100;     484.3;;          16;2021;ALL;multi-race
Central Berkshire - Nessacus Regional Middle School;06350305;MATH;           1;6;           0;0;           1;6;          10;56;           7;39;          18;100;     475.8;;          16;2021;ALL;multi-race
Chelmsford - Col Moses Parker School;00560305;ELA;          18;58;           3;10;          15;48;          10;32;           3;10;          31;100;     501.4;          38.3;          27;2021;ALL;multi-race
Chelmsford - Col Moses Parker School;00560305;MATH;          11;35;           2;6;           9;29;          16;52;           4;13;          31;100;     491.3;          28.8;          27;2021;ALL;multi-race
Chelmsford - Col Moses Parker School;00560305;SCI;           8;47;           0;0;           8;47;           6;35;           3;18;          17;100;     495.7;;;2021;ALL;multi-race
Chelmsford - McCarthy Middle School;00560310;ELA;          21;62;           4;12;          17;50;          13;38;           0;0;          34;97;     506.1;          35.2;          33;2021;ALL;multi-race
Chelmsford - McCarthy Middle School;00560310;MATH;          15;44;           5;15;          10;29;          15;44;           4;12;          34;97;     499.9;          36.1;          33;2021;ALL;multi-race
Chelmsford - McCarthy Middle School;00560310;SCI;           8;62;           4;31;           4;31;           5;38;           0;0;          13;100;     513.2;;;2021;ALL;multi-race
Chelsea - Eugene Wright Science and Technology Academy;00570045;ELA;           6;50;           2;17;           4;33;           3;25;           3;25;          12;100;     497.5;;          11;2021;ALL;multi-race
Chelsea - Eugene Wright Science and Technology Academy;00570045;MATH;           4;33;           2;17;           2;17;           4;33;           4;33;          12;100;     495.1;;          11;2021;ALL;multi-race
Chicopee - Bellamy Middle;00610305;ELA;          10;33;           0;0;          10;33;          11;37;           9;30;          30;100;     484.8;          12.9;          29;2021;ALL;multi-race
