School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;         111;23;           1;0;         110;22;         273;56;         105;21;         489;99;     484.9;          39.6;         401;46;2022;ALL;low-income
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;          21;19;           2;2;          19;17;          68;62;          20;18;         109;99;     485.3;;;45;2022;ALL;low-income
Amesbury - Amesbury Elementary;00070005;ELA;          15;35;           2;5;          13;30;          22;51;           6;14;          43;100;     493.2;          45.2;          20;77;2022;ALL;low-income
Amesbury - Amesbury Elementary;00070005;MATH;          20;47;           1;2;          19;44;          19;44;           4;9;          43;100;     494.7;          43.5;          20;86;2022;ALL;low-income
Amesbury - Amesbury Middle;00070013;ELA;          54;23;           3;1;          51;22;         111;48;          65;28;         230;99;     484.2;          36.4;         198;31;2022;ALL;low-income
Amesbury - Amesbury Middle;00070013;MATH;          52;24;           2;1;          50;23;         110;50;          58;26;         220;96;     484.0;          45.6;         190;41;2022;ALL;low-income
Amesbury - Amesbury Middle;00070013;SCI;          31;30;           3;3;          28;27;          48;46;          25;24;         104;91;     489.3;;;60;2022;ALL;low-income
Amesbury - Charles C Cashman Elementary;00070010;ELA;           9;18;           0;0;           9;18;          31;62;          10;20;          50;96;     483.8;          38.7;          31;29;2022;ALL;low-income
Amesbury - Charles C Cashman Elementary;00070010;MATH;          12;24;           0;0;          12;24;          19;38;          19;38;          50;100;     482.2;          40.8;          30;33;2022;ALL;low-income
Amherst - Crocker Farm Elementary;00080009;ELA;          13;21;           1;2;          12;19;          25;40;          25;40;          63;98;     481.8;          48.0;          21;21;2022;ALL;low-income
Amherst - Crocker Farm Elementary;00080009;MATH;          13;22;           0;0;          13;22;          29;48;          18;30;          60;94;     481.8;          49.7;          23;31;2022;ALL;low-income
Amherst - Crocker Farm Elementary;00080009;SCI;           5;28;           1;6;           4;22;           9;50;           4;22;          18;100;     485.3;;;44;2022;ALL;low-income
Amherst - Fort River Elementary;00080020;ELA;           4;7;           0;0;           4;7;          34;58;          21;36;          59;85;     478.3;          37.1;          29;11;2022;ALL;low-income
Amherst - Fort River Elementary;00080020;MATH;          10;17;           0;0;          10;17;          16;27;          34;57;          60;86;     471.5;          39.0;          28;6;2022;ALL;low-income
Amherst - Fort River Elementary;00080020;SCI;           2;8;           0;0;           2;8;           9;38;          13;54;          24;83;     471.4;;;5;2022;ALL;low-income
Amherst - Wildwood Elementary;00080050;ELA;          18;21;           1;1;          17;20;          35;40;          34;39;          87;94;     480.9;          43.7;          31;18;2022;ALL;low-income
Amherst - Wildwood Elementary;00080050;MATH;          11;13;           2;2;           9;10;          24;28;          51;59;          86;93;     470.9;          53.3;          31;6;2022;ALL;low-income
Amherst - Wildwood Elementary;00080050;SCI;           3;16;           0;0;           3;16;           8;42;           8;42;          19;95;     474.7;;;10;2022;ALL;low-income
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;          21;24;           0;0;          21;24;          39;44;          28;32;          88;67;     482.3;          48.0;          32;23;2022;ALL;low-income
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;          11;11;           3;3;           8;8;          55;54;          36;35;         102;79;     478.0;          46.4;          32;18;2022;ALL;low-income
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;          11;19;           0;0;          11;19;          24;41;          24;41;          59;82;     478.0;;;17;2022;ALL;low-income
Andover - Andover West Middle;00090310;ELA;          31;38;           6;7;          25;30;          39;48;          12;15;          82;100;     495.0;          57.3;          79;84;2022;ALL;low-income
Andover - Andover West Middle;00090310;MATH;          39;48;           8;10;          31;38;          34;41;           9;11;          82;100;     497.4;          62.2;          80;92;2022;ALL;low-income
Andover - Andover West Middle;00090310;SCI;          14;52;           2;7;          12;44;          12;44;           1;4;          27;100;     501.6;;;95;2022;ALL;low-income
Andover - Bancroft Elementary;00090003;ELA;           9;32;           0;0;           9;32;          13;46;           6;21;          28;100;     485.0;;          19;35;2022;ALL;low-income
Andover - Bancroft Elementary;00090003;MATH;           1;4;           0;0;           1;4;          18;64;           9;32;          28;100;     477.1;;          19;15;2022;ALL;low-income
Andover - Bancroft Elementary;00090003;SCI;           3;30;           0;0;           3;30;           7;70;           0;0;          10;100;     493.1;;;76;2022;ALL;low-income
Andover - Doherty Middle;00090305;ELA;          13;29;           3;7;          10;22;          21;47;          11;24;          45;100;     488.7;          49.0;          41;54;2022;ALL;low-income
Andover - Doherty Middle;00090305;MATH;          12;27;           2;4;          10;22;          21;47;          12;27;          45;100;     488.3;          57.0;          41;61;2022;ALL;low-income
Andover - Doherty Middle;00090305;SCI;           4;21;           1;5;           3;16;          10;53;           5;26;          19;100;     485.0;;;43;2022;ALL;low-income
Andover - Henry C Sanborn Elementary;00090010;ELA;          14;61;           0;0;          14;61;           6;26;           3;13;          23;100;     495.7;;          12;86;2022;ALL;low-income
Andover - Henry C Sanborn Elementary;00090010;MATH;           6;26;           1;4;           5;22;          14;61;           3;13;          23;100;     492.2;;          12;78;2022;ALL;low-income
Andover - High Plain Elementary;00090004;ELA;          19;43;           2;5;          17;39;          21;48;           4;9;          44;100;     496.8;          52.1;          27;89;2022;ALL;low-income
Andover - High Plain Elementary;00090004;MATH;          20;45;           3;7;          17;39;          14;32;          10;23;          44;100;     495.1;          65.6;          27;87;2022;ALL;low-income
Andover - High Plain Elementary;00090004;SCI;           7;47;           2;13;           5;33;           8;53;           0;0;          15;100;     507.5;;;99;2022;ALL;low-income
Andover - South Elementary;00090020;ELA;          10;59;           0;0;          10;59;           6;35;           1;6;          17;100;     498.8;;          10;94;2022;ALL;low-income
Andover - South Elementary;00090020;MATH;           8;47;           1;6;           7;41;           6;35;           3;18;          17;100;     495.6;;          10;88;2022;ALL;low-income
Andover - West Elementary;00090025;ELA;          16;39;           2;5;          14;34;          19;46;           6;15;          41;100;     494.6;          49.1;          24;83;2022;ALL;low-income
Andover - West Elementary;00090025;MATH;          12;29;           3;7;           9;22;          20;49;           9;22;          41;100;     490.7;          58.8;          24;72;2022;ALL;low-income
Andover - West Elementary;00090025;SCI;           6;35;           4;24;           2;12;           8;47;           3;18;          17;100;     498.2;;;90;2022;ALL;low-income
Andover - Wood Hill Middle School;00090350;ELA;          15;29;           3;6;          12;24;          27;53;           9;18;          51;100;     489.3;          44.0;          47;57;2022;ALL;low-income
Andover - Wood Hill Middle School;00090350;MATH;          14;27;           3;6;          11;22;          30;59;           7;14;          51;100;     490.8;          46.6;          47;72;2022;ALL;low-income
Andover - Wood Hill Middle School;00090350;SCI;           6;29;           0;0;           6;29;          13;62;           2;10;          21;100;     493.0;;;76;2022;ALL;low-income
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          36;15;           0;0;          36;15;         121;52;          76;33;         233;100;     478.9;          40.3;         222;13;2022;ALL;low-income
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          26;11;           0;0;          26;11;         137;59;          69;30;         232;100;     478.6;          37.1;         222;19;2022;ALL;low-income
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;          16;21;           0;0;          16;21;          39;50;          23;29;          78;100;     482.8;;;34;2022;ALL;low-income
Arlington - Brackett;00100010;ELA;           2;20;           0;0;           2;20;           5;50;           3;30;          10;100;     483.4;;           5;28;2022;ALL;low-income
Arlington - Brackett;00100010;MATH;           2;20;           0;0;           2;20;           4;40;           4;40;          10;100;     479.0;;           5;21;2022;ALL;low-income
Arlington - Cyrus E Dallin;00100025;ELA;           2;10;           0;0;           2;10;          17;85;           1;5;          20;96;     487.8;;          12;49;2022;ALL;low-income
Arlington - Cyrus E Dallin;00100025;MATH;           2;10;           0;0;           2;10;          14;67;           5;24;          21;96;     480.5;;          12;25;2022;ALL;low-income
Arlington - Gibbs School;00100305;ELA;          11;24;           2;4;           9;20;          18;40;          16;36;          45;94;     483.4;          44.8;          45;28;2022;ALL;low-income
Arlington - Gibbs School;00100305;MATH;          12;25;           0;0;          12;25;          29;60;           7;15;          48;100;     487.6;          53.0;          48;58;2022;ALL;low-income
Arlington - Hardy;00100030;ELA;           9;43;           0;0;           9;43;           5;24;           7;33;          21;100;     485.1;;          14;35;2022;ALL;low-income
Arlington - Hardy;00100030;MATH;           9;43;           1;5;           8;38;           7;33;           5;24;          21;100;     488.6;;          13;62;2022;ALL;low-income
Arlington - John A Bishop;00100005;ELA;           4;33;           0;0;           4;33;           6;50;           2;17;          12;100;     490.9;;           7;66;2022;ALL;low-income
Arlington - John A Bishop;00100005;MATH;           4;33;           1;8;           3;25;           6;50;           2;17;          12;100;     491.7;;           7;76;2022;ALL;low-income
Arlington - M Norcross Stratton;00100055;ELA;           4;31;           0;0;           4;31;           8;62;           1;8;          13;100;     489.8;;           7;60;2022;ALL;low-income
Arlington - M Norcross Stratton;00100055;MATH;           3;23;           2;15;           1;8;           8;62;           2;15;          13;100;     492.3;;           7;78;2022;ALL;low-income
Arlington - Ottoson Middle;00100410;ELA;          53;42;           5;4;          48;38;          47;37;          27;21;         127;99;     490.8;          52.4;         115;66;2022;ALL;low-income
Arlington - Ottoson Middle;00100410;MATH;          50;40;           5;4;          45;36;          52;41;          24;19;         126;99;     491.4;          54.6;         114;75;2022;ALL;low-income
Arlington - Ottoson Middle;00100410;SCI;          24;37;           5;8;          19;29;          28;43;          13;20;          65;99;     490.9;;;67;2022;ALL;low-income
Arlington - Peirce;00100045;ELA;           5;20;           0;0;           5;20;          14;56;           6;24;          25;100;     483.3;;          15;27;2022;ALL;low-income
Arlington - Peirce;00100045;MATH;           3;12;           0;0;           3;12;          10;40;          12;48;          25;100;     476.8;;          15;14;2022;ALL;low-income
Arlington - Thompson;00100050;ELA;          15;29;           1;2;          14;27;          29;57;           7;14;          51;98;     490.2;          43.0;          30;63;2022;ALL;low-income
Arlington - Thompson;00100050;MATH;          13;25;           0;0;          13;25;          29;57;           9;18;          51;100;     487.8;          49.6;          30;58;2022;ALL;low-income
Arlington - Thompson;00100050;SCI;           4;16;           0;0;           4;16;          16;64;           5;20;          25;100;     484.4;;;40;2022;ALL;low-income
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;          24;32;           0;0;          24;32;          42;56;           9;12;          75;99;     490.9;          41.1;          44;66;2022;ALL;low-income
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;          22;29;           2;3;          20;27;          39;52;          14;19;          75;99;     489.0;          39.9;          44;64;2022;ALL;low-income
Ashburnham-Westminster - Briggs Elementary;06100025;SCI;           8;33;           0;0;           8;33;          14;58;           2;8;          24;100;     490.9;;;67;2022;ALL;low-income
Ashburnham-Westminster - Overlook Middle School;06100305;ELA;          64;39;           8;5;          56;34;          80;49;          20;12;         164;100;     494.6;          54.5;         157;83;2022;ALL;low-income
Ashburnham-Westminster - Overlook Middle School;06100305;MATH;          57;35;           2;1;          55;34;          89;55;          17;10;         163;99;     493.0;          56.0;         157;81;2022;ALL;low-income
Ashburnham-Westminster - Overlook Middle School;06100305;SCI;          18;32;           1;2;          17;30;          28;50;          10;18;          56;100;     489.0;;;59;2022;ALL;low-income
Ashburnham-Westminster - Westminster Elementary;06100005;ELA;          23;30;           0;0;          23;30;          45;58;           9;12;          77;100;     488.8;          37.5;          49;55;2022;ALL;low-income
Ashburnham-Westminster - Westminster Elementary;06100005;MATH;          21;27;           0;0;          21;27;          44;57;          12;16;          77;100;     488.4;          43.3;          49;62;2022;ALL;low-income
Ashburnham-Westminster - Westminster Elementary;06100005;SCI;           8;33;           0;0;           8;33;          13;54;           3;13;          24;100;     487.4;;;53;2022;ALL;low-income
