school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Andover - Andover West Middle,00090310,ELA,         148,58,          23,9,         125,49,          88,35,          19,7,         255,99,     503.1,          54.9,         247,86,2022,ALL,male
Andover - Andover West Middle,00090310,MATH,         182,71,          64,25,         118,46,          59,23,          14,5,         255,99,     512.5,          62.5,         248,92,2022,ALL,male
Andover - Andover West Middle,00090310,SCI,          72,77,          19,20,          53,57,          18,19,           3,3,          93,98,     513.5,,,93,2022,ALL,male
Andover - Bancroft Elementary,00090003,ELA,          88,58,          12,8,          76,50,          57,38,           7,5,         152,100,     502.6,          60.4,         102,85,2022,ALL,male
Andover - Bancroft Elementary,00090003,MATH,          82,54,          18,12,          64,42,          59,39,          11,7,         152,100,     502.6,          63.2,         102,73,2022,ALL,male
Andover - Bancroft Elementary,00090003,SCI,          32,56,          10,18,          22,39,          22,39,           3,5,          57,100,     508.6,,,85,2022,ALL,male
Andover - Doherty Middle,00090305,ELA,         117,54,          27,12,          90,41,          78,36,          23,11,         218,100,     502.4,          54.8,         207,85,2022,ALL,male
Andover - Doherty Middle,00090305,MATH,         138,63,          37,17,         101,46,          63,29,          17,8,         218,100,     508.0,          59.7,         207,87,2022,ALL,male
Andover - Doherty Middle,00090305,SCI,          44,66,          12,18,          32,48,          14,21,           9,13,          67,100,     509.9,,,87,2022,ALL,male
Andover - Henry C Sanborn Elementary,00090010,ELA,          63,73,           8,9,          55,64,          19,22,           4,5,          86,100,     507.3,          61.3,          51,95,2022,ALL,male
Andover - Henry C Sanborn Elementary,00090010,MATH,          66,77,          18,21,          48,56,          17,20,           3,3,          86,100,     515.1,          55.5,          51,96,2022,ALL,male
Andover - Henry C Sanborn Elementary,00090010,SCI,          19,66,           8,28,          11,38,           7,24,           3,10,          29,100,     509.4,,,87,2022,ALL,male
Andover - High Plain Elementary,00090004,ELA,          94,64,          20,14,          74,51,          42,29,          10,7,         146,100,     506.1,          56.6,          84,92,2022,ALL,male
Andover - High Plain Elementary,00090004,MATH,         103,71,          34,23,          69,47,          35,24,           8,5,         146,100,     511.7,          67.4,          84,92,2022,ALL,male
Andover - High Plain Elementary,00090004,SCI,          29,76,          17,45,          12,32,           6,16,           3,8,          38,100,     521.0,,,99,2022,ALL,male
Andover - South Elementary,00090020,ELA,          86,72,          10,8,          76,64,          31,26,           2,2,         119,99,     508.4,          53.1,          77,96,2022,ALL,male
Andover - South Elementary,00090020,MATH,          91,76,          26,22,          65,55,          26,22,           2,2,         119,99,     515.4,          66.3,          77,96,2022,ALL,male
Andover - South Elementary,00090020,SCI,          29,71,          10,24,          19,46,          11,27,           1,2,          41,98,     515.4,,,95,2022,ALL,male
Andover - West Elementary,00090025,ELA,          72,51,          10,7,          62,44,          54,39,          14,10,         140,100,     503.1,          61.2,          87,86,2022,ALL,male
Andover - West Elementary,00090025,MATH,          74,53,          13,9,          61,44,          52,37,          13,9,         139,99,     505.1,          62.3,          87,80,2022,ALL,male
Andover - West Elementary,00090025,SCI,          28,58,           4,8,          24,50,          15,31,           5,10,          48,98,     505.6,,,78,2022,ALL,male
Andover - Wood Hill Middle School,00090350,ELA,         115,64,          19,11,          96,53,          55,31,          10,6,         180,100,     504.6,          46.5,         173,89,2022,ALL,male
Andover - Wood Hill Middle School,00090350,MATH,         134,75,          39,22,          95,53,          39,22,           6,3,         179,100,     512.3,          49.9,         173,92,2022,ALL,male
Andover - Wood Hill Middle School,00090350,SCI,          39,76,          12,24,          27,53,          11,22,           1,2,          51,100,     515.7,,,95,2022,ALL,male
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          19,13,           0,0,          19,13,          78,52,          53,35,         150,100,     477.7,          37.3,         144,9,2022,ALL,male
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          20,13,           0,0,          20,13,          85,57,          45,30,         150,100,     479.5,          37.5,         143,12,2022,ALL,male
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,          12,24,           0,0,          12,24,          27,55,          10,20,          49,100,     487.9,,,28,2022,ALL,male
Arlington - Brackett,00100010,ELA,          77,60,           4,3,          73,57,          41,32,          10,8,         128,99,     501.7,          51.5,          68,82,2022,ALL,male
Arlington - Brackett,00100010,MATH,          78,60,           9,7,          69,53,          40,31,          11,9,         129,100,     502.2,          54.8,          68,72,2022,ALL,male
Arlington - Brackett,00100010,SCI,          34,76,           6,13,          28,62,           8,18,           3,7,          45,100,     512.3,,,91,2022,ALL,male
Arlington - Cyrus E Dallin,00100025,ELA,          76,59,           6,5,          70,55,          51,40,           1,1,         128,98,     504.3,          55.3,          79,89,2022,ALL,male
Arlington - Cyrus E Dallin,00100025,MATH,          90,70,          13,10,          77,60,          34,26,           5,4,         129,98,     508.2,          58.9,          79,87,2022,ALL,male
Arlington - Cyrus E Dallin,00100025,SCI,          32,73,           6,14,          26,59,          10,23,           2,5,          44,94,     510.4,,,88,2022,ALL,male
Arlington - Gibbs School,00100305,ELA,         124,61,          19,9,         105,51,          61,30,          19,9,         204,99,     503.0,          57.0,         192,86,2022,ALL,male
Arlington - Gibbs School,00100305,MATH,         142,70,          15,7,         127,62,          54,26,           8,4,         204,99,     507.4,          59.2,         193,86,2022,ALL,male
Arlington - Hardy,00100030,ELA,          63,66,           2,2,          61,64,          29,30,           4,4,          96,99,     503.3,          51.8,          58,87,2022,ALL,male
Arlington - Hardy,00100030,MATH,          72,75,          15,16,          57,59,          21,22,           3,3,          96,99,     512.7,          60.7,          58,93,2022,ALL,male
Arlington - Hardy,00100030,SCI,          31,76,          12,29,          19,46,           9,22,           1,2,          41,100,     517.6,,,97,2022,ALL,male
Arlington - John A Bishop,00100005,ELA,          76,70,          13,12,          63,58,          30,28,           3,3,         109,100,     507.3,          59.7,          63,95,2022,ALL,male
Arlington - John A Bishop,00100005,MATH,          80,73,          17,16,          63,58,          24,22,           5,5,         109,100,     511.5,          58.4,          63,91,2022,ALL,male
Arlington - John A Bishop,00100005,SCI,          25,69,           8,22,          17,47,           8,22,           3,8,          36,100,     512.5,,,92,2022,ALL,male
