school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Andover - Bancroft Elementary,00090003,ELA,           7,37,           1,5,           6,32,           9,47,           3,16,          19,100,     489.6,,           9,2021,ALL,hispanic/latino
Andover - Bancroft Elementary,00090003,MATH,           3,16,           0,0,           3,16,           9,47,           7,37,          19,100,     478.4,,           9,2021,ALL,hispanic/latino
Andover - Doherty Middle,00090305,ELA,          13,37,           5,14,           8,23,          15,43,           7,20,          35,100,     497.6,          52.0,          33,2021,ALL,hispanic/latino
Andover - Doherty Middle,00090305,MATH,           9,26,           2,6,           7,20,          14,40,          12,34,          35,100,     485.3,          33.1,          33,2021,ALL,hispanic/latino
Andover - Doherty Middle,00090305,SCI,           3,27,           0,0,           3,27,           6,55,           2,18,          11,100,     489.3,,,2021,ALL,hispanic/latino
Andover - Henry C Sanborn Elementary,00090010,ELA,           6,55,           1,9,           5,45,           4,36,           1,9,          11,100,     505.7,,,2021,ALL,hispanic/latino
Andover - Henry C Sanborn Elementary,00090010,MATH,           4,36,           1,9,           3,27,           7,64,           0,0,          11,100,     492.4,,,2021,ALL,hispanic/latino
Andover - High Plain Elementary,00090004,ELA,          13,62,           2,10,          11,52,           6,29,           2,10,          21,96,     503.0,,           5,2021,ALL,hispanic/latino
Andover - High Plain Elementary,00090004,MATH,           8,38,           1,5,           7,33,          10,48,           3,14,          21,96,     493.4,,           5,2021,ALL,hispanic/latino
Andover - West Elementary,00090025,ELA,           9,45,           1,5,           8,40,           9,45,           2,10,          20,100,     498.5,,           6,2021,ALL,hispanic/latino
Andover - West Elementary,00090025,MATH,           4,20,           0,0,           4,20,          12,60,           4,20,          20,100,     485.1,,           6,2021,ALL,hispanic/latino
Andover - Wood Hill Middle School,00090350,ELA,          13,39,           2,6,          11,33,          14,42,           6,18,          33,94,     493.9,          30.4,          28,2021,ALL,hispanic/latino
Andover - Wood Hill Middle School,00090350,MATH,          13,39,           1,3,          12,36,          12,36,           8,24,          33,94,     489.3,          31.5,          28,2021,ALL,hispanic/latino
Andover - Wood Hill Middle School,00090350,SCI,           5,50,           0,0,           5,50,           3,30,           2,20,          10,100,     489.0,,,2021,ALL,hispanic/latino
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          15,16,           0,0,          15,16,          35,38,          41,45,          91,97,     474.3,          21.7,          84,2021,ALL,hispanic/latino
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          12,13,           0,0,          12,13,          47,51,          34,37,          93,99,     476.4,          19.3,          86,2021,ALL,hispanic/latino
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,           2,17,           0,0,           2,17,           3,25,           7,58,          12,100,     469.4,,,2021,ALL,hispanic/latino
Arlington - Brackett,00100010,ELA,          11,100,           2,18,           9,82,           0,0,           0,0,          11,100,     522.8,,           3,2021,ALL,hispanic/latino
Arlington - Brackett,00100010,MATH,           7,64,           1,9,           6,55,           3,27,           1,9,          11,100,     505.9,,           3,2021,ALL,hispanic/latino
Arlington - Gibbs School,00100305,ELA,          20,69,           6,21,          14,48,           6,21,           3,10,          29,97,     513.3,          59.2,          27,2021,ALL,hispanic/latino
Arlington - Gibbs School,00100305,MATH,          14,48,           1,3,          13,45,          13,45,           2,7,          29,97,     501.9,          39.4,          27,2021,ALL,hispanic/latino
Arlington - Hardy,00100030,ELA,           8,62,           2,15,           6,46,           4,31,           1,8,          13,100,     505.4,,           4,2021,ALL,hispanic/latino
Arlington - Hardy,00100030,MATH,           4,31,           0,0,           4,31,           6,46,           3,23,          13,100,     486.9,,           4,2021,ALL,hispanic/latino
Arlington - M Norcross Stratton,00100055,ELA,           4,36,           0,0,           4,36,           5,45,           2,18,          11,100,     490.1,,           4,2021,ALL,hispanic/latino
Arlington - M Norcross Stratton,00100055,MATH,           3,27,           1,9,           2,18,           6,55,           2,18,          11,100,     487.4,,           4,2021,ALL,hispanic/latino
Arlington - Ottoson Middle,00100410,ELA,          34,55,           6,10,          28,45,          21,34,           7,11,          62,92,     501.1,          43.8,          56,2021,ALL,hispanic/latino
Arlington - Ottoson Middle,00100410,MATH,          27,44,           4,6,          23,37,          29,47,           6,10,          62,92,     498.9,          45.8,          56,2021,ALL,hispanic/latino
Arlington - Ottoson Middle,00100410,SCI,          10,50,           0,0,          10,50,           8,40,           2,10,          20,91,     496.5,,,2021,ALL,hispanic/latino
