school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Barnstable - Hyannis West Elementary,00200025,MATH,           0,0,           0,0,           0,0,           8,67,           4,33,          12,     474.3,,,5,2019,ALL,afr.american/black
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,ELA,          12,24,           2,4,          10,20,          23,46,          15,30,          50,     484.1,          39.9,          47,14,2019,ALL,afr.american/black
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,MATH,          12,24,           3,6,           9,18,          29,58,           9,18,          50,     489.4,          53.9,          47,52,2019,ALL,afr.american/black
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,SCI,           4,22,           1,6,           3,17,           8,44,           6,33,          18,     482.7,,,42,2019,ALL,afr.american/black
Bedford - John Glenn Middle,00230305,ELA,           8,22,           0,0,           8,22,          16,44,          12,33,          36,     483.1,          34.3,          33,11,2019,ALL,afr.american/black
Bedford - John Glenn Middle,00230305,MATH,           6,17,           0,0,           6,17,          21,58,           9,25,          36,     483.6,          39.5,          33,24,2019,ALL,afr.american/black
Bedford - John Glenn Middle,00230305,SCI,           3,23,           0,0,           3,23,           8,62,           2,15,          13,     483.7,,,40,2019,ALL,afr.american/black
Bedford - Lt Job Lane School,00230012,ELA,          11,35,           0,0,          11,35,          17,55,           3,10,          31,     496.2,          51.0,          20,64,2019,ALL,afr.american/black
Bedford - Lt Job Lane School,00230012,MATH,           5,16,           0,0,           5,16,          19,61,           7,23,          31,     485.8,          42.1,          20,33,2019,ALL,afr.american/black
Belchertown - Chestnut Hill Community School,00240006,ELA,           7,58,           0,0,           7,58,           4,33,           1,8,          12,     499.1,,          12,77,2019,ALL,afr.american/black
Belchertown - Chestnut Hill Community School,00240006,MATH,           7,58,           1,8,           6,50,           4,33,           1,8,          12,     498.7,,          12,88,2019,ALL,afr.american/black
Bellingham - Bellingham Memorial School,00250315,ELA,           2,14,           1,7,           1,7,           8,57,           4,29,          14,     485.8,,          11,17,2019,ALL,afr.american/black
Bellingham - Bellingham Memorial School,00250315,MATH,           2,14,           0,0,           2,14,           7,50,           5,36,          14,     481.0,,          11,15,2019,ALL,afr.american/black
Belmont - Winthrop L Chenery Middle,00260305,ELA,          17,31,           1,2,          16,30,          27,50,          10,19,          54,     490.6,          49.2,          53,37,2019,ALL,afr.american/black
Belmont - Winthrop L Chenery Middle,00260305,MATH,          15,28,           2,4,          13,24,          38,70,           1,2,          54,     494.3,          59.9,          53,73,2019,ALL,afr.american/black
Belmont - Winthrop L Chenery Middle,00260305,SCI,          10,37,           0,0,          10,37,          15,56,           2,7,          27,     492.7,,,77,2019,ALL,afr.american/black
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,ELA,         114,73,          44,28,          70,45,          39,25,           4,3,         157,     514.5,          60.6,         113,99,2019,ALL,afr.american/black
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,MATH,         107,68,          19,12,          88,56,          47,30,           3,2,         157,     508.2,          55.7,         114,97,2019,ALL,afr.american/black
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,SCI,          25,68,           6,16,          19,51,          12,32,           0,0,          37,     509.2,,,99,2019,ALL,afr.american/black
Bentley Academy Charter School (District) - Bentley Academy Charter School,35110205,ELA,           8,47,           0,0,           8,47,           8,47,           1,6,          17,     496.6,,          12,69,2019,ALL,afr.american/black
Bentley Academy Charter School (District) - Bentley Academy Charter School,35110205,MATH,           6,35,           0,0,           6,35,          10,59,           1,6,          17,     490.4,,          12,59,2019,ALL,afr.american/black
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,ELA,          10,48,           2,10,           8,38,           7,33,           4,19,          21,     497.5,,          17,83,2019,ALL,afr.american/black
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,MATH,           8,38,           2,10,           6,29,           8,38,           5,24,          21,     494.0,,          17,86,2019,ALL,afr.american/black
Beverly - Beverly Middle School,00300305,ELA,          12,35,           0,0,          12,35,          15,44,           7,21,          34,     491.3,          46.3,          32,40,2019,ALL,afr.american/black
Beverly - Beverly Middle School,00300305,MATH,           6,18,           2,6,           4,12,          21,62,           7,21,          34,     489.4,          47.3,          32,50,2019,ALL,afr.american/black
