school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Avon - Avon Middle High School,00180510,MATH,          18,31,           3,5,          15,26,          36,62,           4,7,          58,98,     494.4,          49.0,          56,2021,7,ALL
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,ELA,          56,43,           8,6,          48,37,          61,47,          12,9,         129,95,     498.5,          40.3,         125,2021,7,ALL
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,MATH,          35,27,           4,3,          31,24,          78,60,          16,12,         129,95,     489.9,          28.0,         125,2021,7,ALL
Barnstable - Barnstable Intermediate School,00200315,ELA,          74,28,           8,3,          66,25,         117,44,          73,28,         264,78,     486.1,          34.0,         234,2021,7,ALL
Barnstable - Barnstable Intermediate School,00200315,MATH,          58,22,           6,2,          52,20,         145,55,          63,24,         266,78,     484.2,          31.8,         238,2021,7,ALL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,ELA,          18,25,           1,1,          17,24,          32,44,          22,31,          72,95,     484.7,          30.6,          70,2021,7,ALL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,MATH,           7,10,           0,0,           7,10,          36,51,          28,39,          71,93,     475.7,          15.3,          69,2021,7,ALL
Bedford - John Glenn Middle,00230305,ELA,         132,71,          35,19,          97,52,          46,25,           7,4,         185,94,     511.8,          45.1,         180,2021,7,ALL
Bedford - John Glenn Middle,00230305,MATH,         140,75,          43,23,          97,52,          42,23,           4,2,         186,95,     514.5,          53.4,         182,2021,7,ALL
Belchertown - Jabish Middle School,00240025,ELA,          43,30,           1,1,          42,30,          74,52,          24,17,         141,86,     490.4,          35.6,         137,2021,7,ALL
Belchertown - Jabish Middle School,00240025,MATH,          47,34,           4,3,          43,31,          75,54,          18,13,         140,85,     492.2,          48.9,         135,2021,7,ALL
Bellingham - Bellingham Memorial School,00250315,ELA,          61,35,           3,2,          58,33,          91,52,          24,14,         176,98,     492.3,          33.9,         170,2021,7,ALL
Bellingham - Bellingham Memorial School,00250315,MATH,          72,41,           9,5,          63,36,          84,48,          20,11,         176,98,     495.7,          49.7,         170,2021,7,ALL
Belmont - Winthrop L Chenery Middle,00260305,ELA,         268,77,          57,16,         211,61,          62,18,          16,5,         346,96,     512.5,          40.6,         316,2021,7,ALL
Belmont - Winthrop L Chenery Middle,00260305,MATH,         265,76,         120,35,         145,42,          69,20,          13,4,         347,96,     517.6,          48.3,         316,2021,7,ALL
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,ELA,          34,65,           4,8,          30,58,          14,27,           4,8,          52,100,     504.9,          38.6,          50,2021,7,ALL
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,MATH,          28,54,           9,17,          19,37,          22,42,           2,4,          52,100,     508.5,          41.4,          51,2021,7,ALL
Berkley - Berkley Middle School,00270305,ELA,          60,56,          10,9,          50,47,          33,31,          14,13,         107,98,     499.5,          45.3,         105,2021,7,ALL
Berkley - Berkley Middle School,00270305,MATH,          36,34,           5,5,          31,29,          60,56,          11,10,         107,98,     491.4,          27.7,         105,2021,7,ALL
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,ELA,          39,63,           5,8,          34,55,          15,24,           8,13,          62,93,     503.5,          51.0,          53,2021,7,ALL
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,MATH,          20,32,           2,3,          18,29,          31,49,          12,19,          63,94,     489.2,          33.3,          53,2021,7,ALL
Berkshire Hills - W.E.B. Du Bois Regional Middle School,06180310,ELA,          31,38,           4,5,          27,33,          36,44,          14,17,          81,92,     492.7,          31.5,          71,2021,7,ALL
Berkshire Hills - W.E.B. Du Bois Regional Middle School,06180310,MATH,          14,17,           1,1,          13,16,          48,59,          20,24,          82,93,     485.1,          24.4,          73,2021,7,ALL
Berlin-Boylston - Tahanto Regional High,06200505,ELA,          60,71,          14,17,          46,55,          21,25,           3,4,          84,96,     511.2,          55.1,          82,2021,7,ALL
Berlin-Boylston - Tahanto Regional High,06200505,MATH,          42,50,           3,4,          39,46,          40,48,           2,2,          84,96,     500.1,          36.2,          82,2021,7,ALL
Beverly - Beverly Middle School,00300305,ELA,         159,44,          14,4,         145,40,         146,40,          59,16,         364,98,     494.4,          30.1,         348,2021,7,ALL
Beverly - Beverly Middle School,00300305,MATH,          90,25,           4,1,          86,24,         209,58,          63,17,         362,98,     487.5,          24.9,         348,2021,7,ALL
Billerica - Locke Middle,00310310,ELA,          93,54,          10,6,          83,48,          66,38,          14,8,         173,97,     500.6,          37.3,         167,2021,7,ALL
Billerica - Locke Middle,00310310,MATH,          75,43,          13,8,          62,36,          82,47,          16,9,         173,97,     496.5,          36.6,         167,2021,7,ALL
Billerica - Marshall Middle School,00310305,ELA,          90,45,           6,3,          84,42,          80,40,          29,15,         199,99,     495.7,          38.4,         193,2021,7,ALL
Billerica - Marshall Middle School,00310305,MATH,          66,33,           8,4,          58,29,          97,49,          37,19,         200,99,     490.7,          32.7,         194,2021,7,ALL
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,ELA,          48,37,           8,6,          40,31,          66,51,          16,12,         130,100,     495.6,          39.8,         123,2021,7,ALL
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,MATH,          37,28,           4,3,          33,25,          66,51,          27,21,         130,100,     488.7,          32.3,         123,2021,7,ALL
Boston - Boston Latin Academy,00350545,ELA,         172,75,          26,11,         146,64,          54,24,           3,1,         229,90,     510.9,          40.6,         200,2021,7,ALL
Boston - Boston Latin Academy,00350545,MATH,         149,66,           9,4,         140,62,          77,34,           1,0,         227,89,     507.2,          32.3,         199,2021,7,ALL
Boston - Boston Latin School,00350560,ELA,         292,88,          43,13,         249,75,          40,12,           1,0,         333,81,     516.3,          37.1,         256,2021,7,ALL
Boston - Boston Latin School,00350560,MATH,         277,83,          70,21,         207,62,          55,17,           0,0,         332,81,     517.0,          29.5,         255,2021,7,ALL
Boston - Boston Teachers Union K-8 Pilot,00350012,ELA,           2,18,           0,0,           2,18,           6,55,           3,27,          11,35,     478.9,,          11,2021,7,ALL
Boston - Boston Teachers Union K-8 Pilot,00350012,MATH,           1,10,           0,0,           1,10,           6,60,           3,30,          10,32,     477.5,,          10,2021,7,ALL
Boston - Condon K-8 School,00350146,ELA,          10,15,           0,0,          10,15,          27,40,          31,46,          68,89,     473.8,          33.6,          60,2021,7,ALL
Boston - Condon K-8 School,00350146,MATH,           8,11,           0,0,           8,11,          40,56,          23,32,          71,92,     476.1,          34.3,          64,2021,7,ALL
Boston - Curley K-8 School,00350020,ELA,           8,11,           0,0,           8,11,          25,35,          38,54,          71,83,     470.6,          22.9,          57,2021,7,ALL
Boston - Curley K-8 School,00350020,MATH,           4,5,           0,0,           4,5,          27,36,          43,58,          74,87,     467.4,          27.0,          62,2021,7,ALL
Boston - Dearborn 6-12 STEM Academy,00350074,ELA,          11,15,           0,0,          11,15,          20,28,          41,57,          72,83,     472.5,          25.6,          61,2021,7,ALL
Boston - Dearborn 6-12 STEM Academy,00350074,MATH,           5,6,           0,0,           5,6,          42,53,          33,41,          80,92,     473.8,          30.3,          69,2021,7,ALL
Boston - Edison K-8 School,00350375,ELA,          11,31,           0,0,          11,31,          13,37,          11,31,          35,100,     484.5,          56.2,          30,2021,7,ALL
Boston - Edison K-8 School,00350375,MATH,           4,11,           0,0,           4,11,          18,51,          13,37,          35,100,     477.8,          52.8,          29,2021,7,ALL
Boston - Edwards Middle School,00350430,ELA,           1,1,           0,0,           1,1,          25,33,          49,65,          75,94,     463.6,          19.1,          65,2021,7,ALL
Boston - Edwards Middle School,00350430,MATH,           2,3,           0,0,           2,3,          32,43,          40,54,          74,93,     466.6,          24.8,          63,2021,7,ALL
Boston - Eliot K-8 Innovation School,00350096,ELA,          13,38,           0,0,          13,38,          11,32,          10,29,          34,73,     486.4,          40.1,          28,2021,7,ALL
Boston - Eliot K-8 Innovation School,00350096,MATH,           7,21,           0,0,           7,21,          16,47,          11,32,          34,75,     481.4,          33.6,          28,2021,7,ALL
Boston - Frederick Pilot Middle School,00350383,ELA,           2,2,           0,0,           2,2,          32,36,          56,62,          90,69,     469.1,          27.7,          54,2021,7,ALL
Boston - Frederick Pilot Middle School,00350383,MATH,           7,8,           0,0,           7,8,          38,41,          48,52,          93,69,     472.2,          27.6,          58,2021,7,ALL
Boston - Gardner Pilot Academy,00350326,ELA,          10,29,           1,3,           9,26,          18,51,           7,20,          35,100,     488.2,          44.7,          34,2021,7,ALL
Boston - Gardner Pilot Academy,00350326,MATH,           8,23,           0,0,           8,23,          17,49,          10,29,          35,97,     483.2,          41.9,          34,2021,7,ALL
Boston - Greenwood Sarah K-8 School,00350308,ELA,           3,10,           0,0,           3,10,           8,26,          20,65,          31,94,     469.5,          39.8,          26,2021,7,ALL
Boston - Greenwood Sarah K-8 School,00350308,MATH,           2,6,           0,0,           2,6,          13,41,          17,53,          32,97,     465.9,          38.9,          27,2021,7,ALL
Boston - Haley Pilot School,00350077,ELA,           5,22,           0,0,           5,22,          11,48,           7,30,          23,96,     483.5,          30.6,          22,2021,7,ALL
Boston - Haley Pilot School,00350077,MATH,           1,4,           0,0,           1,4,          10,43,          12,52,          23,96,     470.5,          30.9,          21,2021,7,ALL
Boston - Henderson K-12 Inclusion School Upper,00350426,ELA,           9,15,           1,2,           8,14,          34,58,          16,27,          59,98,     483.7,          27.0,          54,2021,7,ALL
Boston - Henderson K-12 Inclusion School Upper,00350426,MATH,           3,5,           0,0,           3,5,          43,72,          14,23,          60,100,     479.5,          30.9,          55,2021,7,ALL
Boston - Hennigan K-8 School,00350153,ELA,          10,13,           1,1,           9,11,          33,42,          36,46,          79,93,     476.9,          37.9,          72,2021,7,ALL
Boston - Hennigan K-8 School,00350153,MATH,           8,10,           0,0,           8,10,          45,58,          25,32,          78,92,     475.0,          44.4,          72,2021,7,ALL
Boston - Hernandez K-8 School,00350691,ELA,           2,14,           0,0,           2,14,           4,29,           8,57,          14,48,     469.3,,          10,2021,7,ALL
Boston - Hernandez K-8 School,00350691,MATH,           1,8,           0,0,           1,8,           6,46,           6,46,          13,45,     472.2,,           9,2021,7,ALL
Boston - Higginson-Lewis K-8 School,00350377,ELA,           3,7,           0,0,           3,7,          22,52,          17,40,          42,89,     476.6,          42.3,          32,2021,7,ALL
Boston - Higginson-Lewis K-8 School,00350377,MATH,           5,12,           0,0,           5,12,          22,51,          16,37,          43,91,     474.8,          49.6,          33,2021,7,ALL
Boston - Hurley K-8 School,00350182,ELA,           7,39,           0,0,           7,39,           7,39,           4,22,          18,95,     488.1,,          17,2021,7,ALL
Boston - Hurley K-8 School,00350182,MATH,           1,6,           0,0,           1,6,          14,78,           3,17,          18,95,     480.4,,          17,2021,7,ALL
Boston - Irving Middle School,00350445,ELA,           4,8,           0,0,           4,8,          19,36,          30,57,          53,95,     468.9,          26.3,          46,2021,7,ALL
Boston - Irving Middle School,00350445,MATH,           2,4,           0,0,           2,4,          27,51,          24,45,          53,95,     470.1,          26.6,          46,2021,7,ALL
Boston - Jackson-Mann K-8 School,00350013,ELA,           2,8,           0,0,           2,8,          10,42,          12,50,          24,89,     473.4,,          16,2021,7,ALL
Boston - Jackson-Mann K-8 School,00350013,MATH,           1,4,           0,0,           1,4,          16,62,           9,35,          26,96,     477.9,,          17,2021,7,ALL
Boston - Kilmer K-8 School,00350190,ELA,           9,26,           2,6,           7,20,          14,40,          12,34,          35,90,     490.6,          46.8,          25,2021,7,ALL
Boston - Kilmer K-8 School,00350190,MATH,           7,20,           1,3,           6,17,          16,46,          12,34,          35,90,     487.1,          42.6,          25,2021,7,ALL
Boston - King K-8 School,00350376,ELA,           5,13,           0,0,           5,13,          17,43,          18,45,          40,98,     474.3,          22.1,          38,2021,7,ALL
Boston - King K-8 School,00350376,MATH,           6,15,           0,0,           6,15,          13,33,          21,53,          40,98,     471.1,          25.4,          38,2021,7,ALL
Boston - Lee K-8 School,00350183,ELA,           8,14,           1,2,           7,12,          17,29,          34,58,          59,87,     477.5,          33.3,          39,2021,7,ALL
Boston - Lee K-8 School,00350183,MATH,           1,2,           0,0,           1,2,          19,32,          39,66,          59,89,     466.5,          26.2,          40,2021,7,ALL
Boston - Lyndon K-8 School,00350262,ELA,           9,22,           0,0,           9,22,          14,34,          18,44,          41,96,     476.5,          26.2,          32,2021,7,ALL
Boston - Lyndon K-8 School,00350262,MATH,           2,5,           0,0,           2,5,          25,61,          14,34,          41,96,     474.3,          30.8,          32,2021,7,ALL
Boston - Lyon K-8 School,00350004,ELA,           1,10,           0,0,           1,10,           5,50,           4,40,          10,83,     471.8,,           9,2021,7,ALL
Boston - Lyon K-8 School,00350004,MATH,           0,0,           0,0,           0,0,           6,55,           5,45,          11,92,     471.6,,           9,2021,7,ALL
Boston - Mario Umana Academy,00350656,ELA,          39,26,           2,1,          37,24,          54,36,          59,39,         152,94,     481.8,          40.5,         132,2021,7,ALL
Boston - Mario Umana Academy,00350656,MATH,          14,9,           0,0,          14,9,          85,54,          57,37,         156,96,     475.9,          37.2,         136,2021,7,ALL
Boston - McCormack Middle School,00350179,ELA,           5,9,           0,0,           5,9,          20,35,          32,56,          57,75,     469.4,          22.8,          45,2021,7,ALL
Boston - McCormack Middle School,00350179,MATH,           6,10,           0,0,           6,10,          20,34,          33,56,          59,79,     472.7,          25.0,          48,2021,7,ALL
Boston - McKay K-8 School,00350080,ELA,          12,12,           0,0,          12,12,          47,48,          39,40,          98,100,     476.6,          27.0,          96,2021,7,ALL
Boston - McKay K-8 School,00350080,MATH,           9,9,           0,0,           9,9,          57,58,          32,33,          98,100,     477.0,          31.3,          95,2021,7,ALL
Boston - McKinley Schools,00350363,ELA,           1,7,           0,0,           1,7,           8,53,           6,40,          15,81,     473.5,,          11,2021,7,ALL
Boston - McKinley Schools,00350363,MATH,           0,0,           0,0,           0,0,           8,50,           8,50,          16,86,     466.3,,          12,2021,7,ALL
Boston - Mildred Avenue K-8 School,00350378,ELA,           5,6,           0,0,           5,6,          36,42,          45,52,          86,100,     474.0,          30.7,          65,2021,7,ALL
Boston - Mildred Avenue K-8 School,00350378,MATH,           0,0,           0,0,           0,0,          45,53,          40,47,          85,99,     472.7,          32.7,          64,2021,7,ALL
Boston - Mission Hill K-8 School,00350382,ELA,           4,27,           0,0,           4,27,           2,13,           9,60,          15,95,     476.8,,          13,2021,7,ALL
Boston - Mission Hill K-8 School,00350382,MATH,           2,13,           0,0,           2,13,           6,40,           7,47,          15,95,     477.0,,          13,2021,7,ALL
Boston - Murphy K-8 School,00350240,ELA,          12,16,           0,0,          12,16,          44,59,          18,24,          74,79,     485.5,          35.1,          65,2021,7,ALL
Boston - Murphy K-8 School,00350240,MATH,          16,21,           0,0,          16,21,          40,53,          19,25,          75,80,     485.3,          40.3,          67,2021,7,ALL
