school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Holliston - Holliston High,1360505,BIO,          71,68,          17,16,          54,52,          25,24,           8,8,         104,,512.2,,,,2022,HS SCI,ALL
Holliston - Holliston High,1360505,PHY,           5,25,           0,0,           5,25,          12,60,           3,15,          20,,486.4,,,,2022,HS SCI,ALL
Holyoke - Holyoke High,1370505,BIO,          44,14,           4,1,          40,13,         157,51,         106,35,         307,,478.9,,,,2022,HS SCI,ALL
Hoosac Valley Regional - Hoosac Valley High School,6030505,BIO,          14,33,           3,7,          11,26,          21,50,           7,17,          42,,491.4,,,,2022,HS SCI,ALL
Hopedale - Hopedale Jr Sr High,1380505,BIO,          21,81,           6,23,          15,58,           5,19,           0,0,          26,,515.1,,,,2022,HS SCI,ALL
Hopkinton - Hopkinton High,1390505,BIO,         212,82,          72,28,         140,54,          42,16,           6,2,         260,,518.1,,,,2022,HS SCI,ALL
Hudson - Hudson High,1410505,BIO,          60,38,          12,8,          48,31,          75,48,          22,14,         157,,493.8,,,,2022,HS SCI,ALL
Hull - Hull High,1420505,PHY,          31,50,           5,8,          26,42,          24,39,           7,11,          62,,499.4,,,,2022,HS SCI,ALL
Innovation Academy Charter (District) - Innovation Academy Charter School,4350305,BIO,          48,56,          18,21,          30,35,          33,39,           4,5,          85,,506.4,,,,2022,HS SCI,ALL
Ipswich - Ipswich High,1440505,BIO,          83,65,          26,20,          57,45,          33,26,          11,9,         127,,509.4,,,,2022,HS SCI,ALL
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,4290010,PHY,          24,19,           0,0,          24,19,          84,65,          21,16,         129,,484.5,,,,2022,HS SCI,ALL
King Philip - King Philip Regional High,6900505,BIO,         183,66,          34,12,         149,54,          80,29,          14,5,         277,,506.2,,,,2022,HS SCI,ALL
Lawrence - Lawrence High School,1490515,BIO,          56,9,           3,0,          53,8,         268,42,         315,49,         639,,472.0,,,,2022,HS SCI,ALL
Lawrence - Lawrence High School,1490515,PHY,          45,74,           6,10,          39,64,          16,26,           0,0,          61,,509.3,,,,2022,HS SCI,ALL
Lee - Lee Middle/High School,1500505,BIO,          20,35,           3,5,          17,30,          27,47,          10,18,          57,,489.3,,,,2022,HS SCI,ALL
Leicester - Leicester High,1510505,BIO,          39,46,           6,7,          33,39,          39,46,           6,7,          84,,499.0,,,,2022,HS SCI,ALL
Lenox - Lenox Memorial High,1520505,BIO,          23,49,           3,6,          20,43,          21,45,           3,6,          47,,498.6,,,,2022,HS SCI,ALL
Lenox - Lenox Memorial High,1520505,PHY,          11,100,           5,45,           6,55,           0,0,           0,0,          11,,524.8,,,,2022,HS SCI,ALL
Leominster - Center For Technical Education Innovation,1530605,BIO,          72,33,          11,5,          61,28,         114,52,          32,15,         218,,492.6,,,,2022,HS SCI,ALL
Leominster - Leominster High School,1530505,BIO,          90,45,          11,5,          79,39,          77,38,          34,17,         201,,494.9,,,,2022,HS SCI,ALL
Lexington - Lexington High,1550505,BIO,         445,85,         231,44,         214,41,          65,12,          12,2,         522,,525.3,,,,2022,HS SCI,ALL
Libertas Academy Charter School (District) - Libertas Academy Charter School,35140305,BIO,          16,23,           1,1,          15,21,          38,54,          17,24,          71,,483.3,,,,2022,HS SCI,ALL
Lincoln-Sudbury - Lincoln-Sudbury Regional High,6950505,BIO,         263,74,          70,20,         193,54,          81,23,          13,4,         357,,512.5,,,,2022,HS SCI,ALL
Littleton - Littleton High School,1580505,BIO,          88,75,          40,34,          48,41,          24,21,           5,4,         117,,519.3,,,,2022,HS SCI,ALL
Longmeadow - Longmeadow High,1590505,BIO,         163,71,          57,25,         106,46,          57,25,          11,5,         231,,514.0,,,,2022,HS SCI,ALL
Lowell - Lowell High,1600505,BIO,         198,34,          46,8,         152,26,         235,40,         151,26,         584,,489.1,,,,2022,HS SCI,ALL
Ludlow - Ludlow Senior High,1610505,BIO,          76,38,          14,7,          62,31,         105,53,          18,9,         199,,494.8,,,,2022,HS SCI,ALL
Lunenburg - Lunenburg High,1620505,BIO,          61,68,           5,6,          56,62,          26,29,           3,3,          90,,506.5,,,,2022,HS SCI,ALL
Lynn - Classical High,1630505,BIO,          68,19,          10,3,          58,16,         197,56,          88,25,         353,,483.2,,,,2022,HS SCI,ALL
Lynn - Fecteau-Leary Junior/Senior High School,1630525,BIO,           1,8,           0,0,           1,8,           6,50,           5,42,          12,,476.3,,,,2022,HS SCI,ALL
Lynn - Lynn English High,1630510,BIO,          73,18,          12,3,          61,15,         191,46,         151,36,         415,,479.0,,,,2022,HS SCI,ALL
Lynn - Lynn Vocational Technical Institute,1630605,BIO,          92,33,          10,4,          82,30,         138,50,          45,16,         275,,490.1,,,,2022,HS SCI,ALL
Lynnfield - Lynnfield High,1640505,BIO,          91,66,          27,20,          64,46,          46,33,           1,1,         138,,510.3,,,,2022,HS SCI,ALL
Malden - Malden High,1650505,BIO,         150,41,          33,9,         117,32,         152,41,          65,18,         367,,494.2,,,,2022,HS SCI,ALL
Manchester Essex Regional - Manchester Essex Regional High School,6980510,BIO,          73,66,          24,22,          49,44,          32,29,           6,5,         111,,509.7,,,,2022,HS SCI,ALL
Mansfield - Mansfield High,1670505,BIO,         141,60,          45,19,          96,41,          77,33,          16,7,         234,,506.4,,,,2022,HS SCI,ALL
