school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,           9,24,           0,0,           9,24,          21,55,           8,21,          38,100,     486.5,          41.3,          37,63,2022,ALL,afr.american/black
Attleboro - Cyril K. Brennan Middle School,00160315,SCI,           2,14,           0,0,           2,14,           9,64,           3,21,          14,100,     480.1,,,40,2022,ALL,afr.american/black
Attleboro - Hill-Roberts Elementary School,00160045,ELA,           2,18,           0,0,           2,18,           7,64,           2,18,          11,100,     482.6,,           6,29,2022,ALL,afr.american/black
Attleboro - Hill-Roberts Elementary School,00160045,MATH,           2,18,           0,0,           2,18,           7,64,           2,18,          11,100,     482.3,,           6,46,2022,ALL,afr.american/black
Attleboro - Peter Thacher Elementary School,00160050,ELA,          10,42,           2,8,           8,33,          13,54,           1,4,          24,100,     498.7,,          11,92,2022,ALL,afr.american/black
Attleboro - Peter Thacher Elementary School,00160050,MATH,           6,25,           2,8,           4,17,          13,54,           5,21,          24,100,     490.5,,          11,80,2022,ALL,afr.american/black
Attleboro - Robert J. Coelho Middle School,00160305,ELA,          17,30,           0,0,          17,30,          30,54,           9,16,          56,100,     489.2,          50.8,          51,62,2022,ALL,afr.american/black
Attleboro - Robert J. Coelho Middle School,00160305,MATH,          19,34,           2,4,          17,30,          28,50,           9,16,          56,100,     490.3,          54.5,          51,80,2022,ALL,afr.american/black
Attleboro - Robert J. Coelho Middle School,00160305,SCI,          11,31,           0,0,          11,31,          18,51,           6,17,          35,100,     487.3,,,72,2022,ALL,afr.american/black
Attleboro - Wamsutta Middle School,00160320,ELA,          13,36,           1,3,          12,33,          19,53,           4,11,          36,100,     492.9,          47.1,          34,78,2022,ALL,afr.american/black
Attleboro - Wamsutta Middle School,00160320,MATH,          12,33,           2,6,          10,28,          23,64,           1,3,          36,100,     495.3,          61.5,          34,91,2022,ALL,afr.american/black
Attleboro - Wamsutta Middle School,00160320,SCI,           8,44,           0,0,           8,44,           8,44,           2,11,          18,100,     492.6,,,88,2022,ALL,afr.american/black
Auburn - Auburn Middle,00170305,ELA,          12,57,           3,14,           9,43,           9,43,           0,0,          21,100,     506.4,          53.2,          20,99,2022,ALL,afr.american/black
Auburn - Auburn Middle,00170305,MATH,          11,55,           3,15,           8,40,           9,45,           0,0,          20,95,     505.3,,          19,99,2022,ALL,afr.american/black
Auburn - Swanson Road Intermediate School,00170030,ELA,           7,70,           0,0,           7,70,           2,20,           1,10,          10,100,     506.8,,           6,,2022,ALL,afr.american/black
Auburn - Swanson Road Intermediate School,00170030,MATH,           5,50,           1,10,           4,40,           3,30,           2,20,          10,100,     504.8,,           6,,2022,ALL,afr.american/black
Avon - Avon Middle High School,00180510,ELA,           8,23,           0,0,           8,23,          17,49,          10,29,          35,100,     484.5,          54.0,          31,37,2022,ALL,afr.american/black
Avon - Avon Middle High School,00180510,MATH,           6,17,           0,0,           6,17,          17,49,          12,34,          35,100,     479.6,          40.9,          31,34,2022,ALL,afr.american/black
Avon - Avon Middle High School,00180510,SCI,           2,15,           0,0,           2,15,           9,69,           2,15,          13,100,     484.3,,,59,2022,ALL,afr.american/black
Avon - Ralph D Butler,00180010,ELA,          18,29,           1,2,          17,27,          35,56,          10,16,          63,100,     489.6,          41.6,          50,65,2022,ALL,afr.american/black
Avon - Ralph D Butler,00180010,MATH,          15,24,           0,0,          15,24,          30,48,          18,29,          63,100,     485.3,          49.4,          50,59,2022,ALL,afr.american/black
Avon - Ralph D Butler,00180010,SCI,           4,20,           0,0,           4,20,          12,60,           4,20,          20,100,     486.8,,,70,2022,ALL,afr.american/black
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,ELA,           9,45,           2,10,           7,35,           6,30,           5,25,          20,100,     493.4,,          17,80,2022,ALL,afr.american/black
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,MATH,           5,25,           2,10,           3,15,          12,60,           3,15,          20,100,     493.1,,          17,87,2022,ALL,afr.american/black
Ayer Shirley School District - Page Hilltop Elementary School,06160002,ELA,           6,60,           1,10,           5,50,           3,30,           1,10,          10,100,     503.1,,           7,97,2022,ALL,afr.american/black
Ayer Shirley School District - Page Hilltop Elementary School,06160002,MATH,           5,50,           1,10,           4,40,           4,40,           1,10,          10,100,     499.5,,           7,96,2022,ALL,afr.american/black
Barnstable - Barnstable High,00200505,ELA,           1,4,           0,0,           1,4,          17,65,           8,31,          26,100,     478.4,          50.3,          22,13,2022,ALL,afr.american/black
Barnstable - Barnstable High,00200505,MATH,           2,8,           0,0,           2,8,          15,58,           9,35,          26,100,     475.1,          47.4,          23,18,2022,ALL,afr.american/black
Barnstable - Barnstable High,00200505,SCI,           5,20,           0,0,           5,20,           8,32,          12,48,          25,96,     476.7,,,28,2022,ALL,afr.american/black
Barnstable - Barnstable Intermediate School,00200315,ELA,          10,17,           0,0,          10,17,          26,45,          22,38,          58,96,     477.2,          38.0,          53,11,2022,ALL,afr.american/black
Barnstable - Barnstable Intermediate School,00200315,MATH,           4,7,           0,0,           4,7,          31,53,          23,40,          58,94,     475.1,          39.0,          55,18,2022,ALL,afr.american/black
