school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Berkshire Hills - Muddy Brook Regional Elementary School,06180035,MATH,          28,47,           6,10,          22,37,          26,44,           5,8,          59,     500.4,          58.0,          58,51,2019,4,ALL
Berlin (non-op) - Berlin Memorial,00280005,ELA,          14,67,           1,5,          13,62,           6,29,           1,5,          21,     506.3,          56.9,          20,65,2019,4,ALL
Berlin (non-op) - Berlin Memorial,00280005,MATH,          18,86,           4,19,          14,67,           2,10,           1,5,          21,     510.8,          52.2,          20,86,2019,4,ALL
Beverly - Ayers/Ryal Side School,00300055,ELA,          43,47,           4,4,          39,43,          43,47,           5,5,          91,     498.9,          31.7,          91,36,2019,4,ALL
Beverly - Ayers/Ryal Side School,00300055,MATH,          46,51,           1,1,          45,49,          38,42,           7,8,          91,     499.1,          31.8,          91,46,2019,4,ALL
Beverly - Centerville Elementary,00300010,ELA,          41,63,          11,17,          30,46,          16,25,           8,12,          65,     506.6,          61.4,          64,67,2019,4,ALL
Beverly - Centerville Elementary,00300010,MATH,          38,58,           8,12,          30,45,          18,27,          10,15,          66,     500.6,          66.0,          65,52,2019,4,ALL
Beverly - Cove Elementary,00300015,ELA,          43,60,           6,8,          37,51,          25,35,           4,6,          72,     508.2,          54.5,          67,73,2019,4,ALL
Beverly - Cove Elementary,00300015,MATH,          54,75,          13,18,          41,57,          14,19,           4,6,          72,     512.5,          68.9,          67,90,2019,4,ALL
Beverly - Hannah Elementary,00300033,ELA,          44,56,           9,11,          35,44,          30,38,           5,6,          79,     503.5,          62.0,          76,54,2019,4,ALL
Beverly - Hannah Elementary,00300033,MATH,          50,63,           9,11,          41,52,          24,30,           5,6,          79,     504.9,          73.9,          77,69,2019,4,ALL
Beverly - North Beverly Elementary,00300040,ELA,          37,65,           3,5,          34,60,          17,30,           3,5,          57,     504.7,          45.9,          56,59,2019,4,ALL
Beverly - North Beverly Elementary,00300040,MATH,          46,81,          12,21,          34,60,           7,12,           4,7,          57,     511.1,          65.1,          56,87,2019,4,ALL
Billerica - Eugene C Vining,00310030,ELA,          23,72,           0,0,          23,72,           8,25,           1,3,          32,     505.7,          40.3,          32,63,2019,4,ALL
Billerica - Eugene C Vining,00310030,MATH,          17,53,           7,22,          10,31,          15,47,           0,0,          32,     507.3,          39.8,          32,77,2019,4,ALL
Billerica - Frederick J Dutile,00310007,ELA,          28,56,           2,4,          26,52,          20,40,           2,4,          50,     502.6,          42.5,          49,51,2019,4,ALL
Billerica - Frederick J Dutile,00310007,MATH,          27,54,           5,10,          22,44,          20,40,           3,6,          50,     505.3,          45.5,          49,70,2019,4,ALL
Billerica - Hajjar Elementary,00310026,ELA,          30,51,           3,5,          27,46,          23,39,           6,10,          59,     499.0,          44.7,          58,36,2019,4,ALL
Billerica - Hajjar Elementary,00310026,MATH,          23,39,           5,8,          18,31,          24,41,          12,20,          59,     496.1,          47.6,          58,35,2019,4,ALL
Billerica - John F Kennedy,00310012,ELA,          32,59,           6,11,          26,48,          21,39,           1,2,          54,     505.6,          57.3,          54,62,2019,4,ALL
Billerica - John F Kennedy,00310012,MATH,          32,59,           6,11,          26,48,          18,33,           4,7,          54,     504.3,          52.8,          54,67,2019,4,ALL
Billerica - Parker,00310015,ELA,          38,51,           6,8,          32,43,          32,43,           5,7,          75,     504.1,          61.3,          73,57,2019,4,ALL
Billerica - Parker,00310015,MATH,          46,62,          11,15,          35,47,          26,35,           2,3,          74,     507.0,          68.6,          72,76,2019,4,ALL
Billerica - Thomas Ditson,00310005,ELA,          50,54,           2,2,          48,52,          40,43,           3,3,          93,     502.5,          43.6,          93,50,2019,4,ALL
Billerica - Thomas Ditson,00310005,MATH,          47,51,           6,6,          41,44,          41,44,           5,5,          93,     501.0,          54.6,          93,54,2019,4,ALL
Blackstone-Millville - A F Maloney,06220015,ELA,          29,33,           0,0,          29,33,          45,52,          13,15,          87,     492.3,          33.1,          82,17,2019,4,ALL
Blackstone-Millville - A F Maloney,06220015,MATH,          27,31,           2,2,          25,29,          44,51,          16,18,          87,     490.0,          28.3,          82,18,2019,4,ALL
Blackstone-Millville - Millville Elementary,06220010,ELA,          16,41,           0,0,          16,41,          19,49,           4,10,          39,     496.0,          40.0,          38,27,2019,4,ALL
Blackstone-Millville - Millville Elementary,06220010,MATH,          14,36,           1,3,          13,33,          20,51,           5,13,          39,     493.0,          48.9,          38,25,2019,4,ALL
Boston - Adams Elementary School,00350302,ELA,          12,29,           1,2,          11,27,          22,54,           7,17,          41,     494.1,          52.4,          37,22,2019,4,ALL
Boston - Adams Elementary School,00350302,MATH,          12,29,           1,2,          11,27,          18,44,          11,27,          41,     489.6,          48.7,          37,18,2019,4,ALL
Boston - Alighieri Dante Montessori School,00350066,ELA,           5,42,           1,8,           4,33,           7,58,           0,0,          12,     499.1,,          12,37,2019,4,ALL
Boston - Alighieri Dante Montessori School,00350066,MATH,           5,42,           1,8,           4,33,           7,58,           0,0,          12,     501.6,,          12,57,2019,4,ALL
Boston - Bates Elementary School,00350278,ELA,           9,23,           2,5,           7,18,          24,60,           7,18,          40,     491.2,          49.4,          39,14,2019,4,ALL
Boston - Bates Elementary School,00350278,MATH,          13,33,           0,0,          13,33,          17,43,          10,25,          40,     487.6,          51.5,          39,13,2019,4,ALL
Boston - Blackstone Elementary School,00350390,ELA,           9,13,           0,0,           9,13,          36,54,          22,33,          67,     479.1,          26.7,          65,1,2019,4,ALL
Boston - Blackstone Elementary School,00350390,MATH,           5,7,           0,0,           5,7,          32,48,          30,45,          67,     474.8,          29.8,          65,2,2019,4,ALL
Boston - Boston Teachers Union K-8 Pilot,00350012,ELA,          13,52,           1,4,          12,48,           8,32,           4,16,          25,     502.6,          39.8,          22,51,2019,4,ALL
Boston - Boston Teachers Union K-8 Pilot,00350012,MATH,          17,68,           3,12,          14,56,           5,20,           3,12,          25,     511.6,          59.5,          22,87,2019,4,ALL
Boston - Bradley Elementary School,00350215,ELA,          29,64,           5,11,          24,53,          16,36,           0,0,          45,     509.8,          57.9,          44,78,2019,4,ALL
Boston - Bradley Elementary School,00350215,MATH,          30,67,           7,16,          23,51,          15,33,           0,0,          45,     509.2,          49.8,          44,81,2019,4,ALL
Boston - Channing Elementary School,00350360,ELA,           8,33,           0,0,           8,33,          13,54,           3,13,          24,     491.7,          40.8,          24,15,2019,4,ALL
Boston - Channing Elementary School,00350360,MATH,           4,17,           0,0,           4,17,          14,58,           6,25,          24,     484.4,          55.6,          23,9,2019,4,ALL
Boston - Chittick Elementary School,00350154,ELA,           6,19,           0,0,           6,19,          20,63,           6,19,          32,     483.8,          35.4,          32,3,2019,4,ALL
Boston - Chittick Elementary School,00350154,MATH,           6,19,           0,0,           6,19,          15,47,          11,34,          32,     480.6,          30.0,          32,6,2019,4,ALL
Boston - Clap Elementary School,00350298,ELA,           7,29,           3,13,           4,17,          14,58,           3,13,          24,     491.6,          40.3,          23,15,2019,4,ALL
Boston - Clap Elementary School,00350298,MATH,           6,25,           1,4,           5,21,          13,54,           5,21,          24,     488.7,          52.1,          24,15,2019,4,ALL
Boston - Condon K-8 School,00350146,ELA,          31,30,           4,4,          27,26,          53,51,          20,19,         104,     490.6,          48.4,          96,12,2019,4,ALL
Boston - Condon K-8 School,00350146,MATH,          30,29,           3,3,          27,26,          43,42,          30,29,         103,     486.3,          46.0,          95,12,2019,4,ALL
Boston - Conley Elementary School,00350122,ELA,           7,30,           0,0,           7,30,           8,35,           8,35,          23,     491.2,,          17,14,2019,4,ALL
Boston - Conley Elementary School,00350122,MATH,           5,22,           1,4,           4,17,          11,48,           7,30,          23,     496.1,,          16,35,2019,4,ALL
Boston - Curley K-8 School,00350020,ELA,          41,43,          14,15,          27,28,          35,37,          19,20,          95,     498.5,          55.6,          88,35,2019,4,ALL
Boston - Curley K-8 School,00350020,MATH,          47,49,          13,14,          34,36,          31,33,          17,18,          95,     500.4,          68.1,          87,51,2019,4,ALL
Boston - Dever Elementary School,00350268,ELA,          10,17,           1,2,           9,16,          41,71,           7,12,          58,     488.0,          37.9,          49,7,2019,4,ALL
Boston - Dever Elementary School,00350268,MATH,          14,24,           2,3,          12,21,          29,50,          15,26,          58,     485.6,          27.9,          50,11,2019,4,ALL
Boston - Edison K-8 School,00350375,ELA,          16,24,           0,0,          16,24,          33,49,          19,28,          68,     484.1,          45.4,          64,3,2019,4,ALL
Boston - Edison K-8 School,00350375,MATH,          13,19,           2,3,          11,16,          32,48,          22,33,          67,     480.0,          32.5,          64,5,2019,4,ALL
Boston - Eliot K-8 Innovation School,00350096,ELA,          77,82,          22,23,          55,59,          17,18,           0,0,          94,     517.5,          51.7,          93,94,2019,4,ALL
Boston - Eliot K-8 Innovation School,00350096,MATH,          87,94,          43,46,          44,47,           6,6,           0,0,          93,     527.5,          71.5,          92,99,2019,4,ALL
Boston - Ellis Elementary School,00350072,ELA,           3,6,           0,0,           3,6,          26,50,          23,44,          52,     474.4,          31.0,          51,1,2019,4,ALL
Boston - Ellis Elementary School,00350072,MATH,           6,12,           0,0,           6,12,          21,41,          24,47,          51,     472.2,          44.1,          50,1,2019,4,ALL
