school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Amherst - Wildwood Elementary,00080050,MATH,          15,33,           1,2,          14,31,          17,38,          13,29,          45,98,     488.0,          45.8,          26,34,2022,5,ALL
Amherst - Wildwood Elementary,00080050,SCI,          19,45,           4,10,          15,36,          14,33,           9,21,          42,93,     493.3,,,43,2022,5,ALL
Andover - Bancroft Elementary,00090003,ELA,          61,66,          19,21,          42,46,          30,33,           1,1,          92,99,     509.9,          63.6,          88,93,2022,5,ALL
Andover - Bancroft Elementary,00090003,MATH,          51,55,           9,10,          42,46,          38,41,           3,3,          92,99,     505.2,          61.5,          88,83,2022,5,ALL
Andover - Bancroft Elementary,00090003,SCI,          59,64,          18,20,          41,45,          30,33,           3,3,          92,99,     510.7,,,89,2022,5,ALL
Andover - Henry C Sanborn Elementary,00090010,ELA,          48,77,           9,15,          39,63,          11,18,           3,5,          62,100,     511.0,          66.3,          59,95,2022,5,ALL
Andover - Henry C Sanborn Elementary,00090010,MATH,          40,65,           6,10,          34,55,          20,32,           2,3,          62,100,     507.5,          56.7,          59,88,2022,5,ALL
Andover - Henry C Sanborn Elementary,00090010,SCI,          40,65,          14,23,          26,42,          19,31,           3,5,          62,100,     510.4,,,88,2022,5,ALL
Andover - High Plain Elementary,00090004,ELA,          62,73,          13,15,          49,58,          20,24,           3,4,          85,100,     511.7,          59.7,          80,96,2022,5,ALL
Andover - High Plain Elementary,00090004,MATH,          65,76,          22,26,          43,51,          15,18,           5,6,          85,100,     517.1,          72.1,          80,99,2022,5,ALL
Andover - High Plain Elementary,00090004,SCI,          67,79,          34,40,          33,39,          14,16,           4,5,          85,100,     521.1,,,99,2022,5,ALL
Andover - South Elementary,00090020,ELA,          47,64,           6,8,          41,56,          25,34,           1,1,          73,99,     505.0,          48.9,          72,83,2022,5,ALL
Andover - South Elementary,00090020,MATH,          49,67,           7,10,          42,58,          24,33,           0,0,          73,99,     508.3,          64.1,          72,90,2022,5,ALL
Andover - South Elementary,00090020,SCI,          51,70,          18,25,          33,45,          20,27,           2,3,          73,99,     514.5,,,95,2022,5,ALL
Andover - West Elementary,00090025,ELA,          53,56,           7,7,          46,49,          38,40,           3,3,          94,100,     502.4,          53.2,          89,78,2022,5,ALL
Andover - West Elementary,00090025,MATH,          51,54,           8,9,          43,46,          39,41,           4,4,          94,100,     504.9,          65.4,          89,82,2022,5,ALL
Andover - West Elementary,00090025,SCI,          50,54,          11,12,          39,42,          36,39,           7,8,          93,99,     504.4,,,76,2022,5,ALL
Arlington - Brackett,00100010,ELA,          53,64,           4,5,          49,59,          24,29,           6,7,          83,99,     503.1,          45.6,          75,80,2022,5,ALL
Arlington - Brackett,00100010,MATH,          51,61,           5,6,          46,55,          28,34,           4,5,          83,99,     503.8,          50.5,          76,80,2022,5,ALL
Arlington - Brackett,00100010,SCI,          64,77,          13,16,          51,61,          15,18,           4,5,          83,99,     514.6,,,95,2022,5,ALL
Arlington - Cyrus E Dallin,00100025,ELA,          47,59,           8,10,          39,49,          31,39,           1,1,          79,99,     506.3,          53.1,          76,85,2022,5,ALL
Arlington - Cyrus E Dallin,00100025,MATH,          47,59,           8,10,          39,49,          29,37,           3,4,          79,98,     505.2,          56.2,          76,83,2022,5,ALL
Arlington - Cyrus E Dallin,00100025,SCI,          56,72,           9,12,          47,60,          20,26,           2,3,          78,96,     509.2,,,86,2022,5,ALL
Arlington - Hardy,00100030,ELA,          45,63,           2,3,          43,61,          23,32,           3,4,          71,97,     502.1,          52.4,          66,77,2022,5,ALL
Arlington - Hardy,00100030,MATH,          44,63,           8,11,          36,51,          24,34,           2,3,          70,96,     507.2,          67.4,          66,87,2022,5,ALL
Arlington - Hardy,00100030,SCI,          54,76,          17,24,          37,52,          15,21,           2,3,          71,97,     516.9,,,97,2022,5,ALL
Arlington - John A Bishop,00100005,ELA,          44,70,          11,17,          33,52,          19,30,           0,0,          63,100,     509.9,          67.9,          61,93,2022,5,ALL
Arlington - John A Bishop,00100005,MATH,          43,68,           9,14,          34,54,          18,29,           2,3,          63,100,     510.2,          65.6,          61,93,2022,5,ALL
Arlington - John A Bishop,00100005,SCI,          47,75,          14,22,          33,52,          13,21,           3,5,          63,100,     515.1,,,96,2022,5,ALL
