school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Amherst - Fort River Elementary,80020,ELA,39,42,10,11,29,31,37,40,17,18,93,     495.3,          42.0,70,35,2019,ALL,male
Amherst - Fort River Elementary,80020,MATH,46,49,16,17,30,32,31,33,17,18,94,     498.6,          50.9,72,46,2019,ALL,male
Amherst - Fort River Elementary,80020,SCI,6,35,1,6,5,29,7,41,4,24,17,     491.2,,,24,2019,ALL,male
Amherst - Wildwood Elementary,80050,ELA,62,50,11,9,51,41,51,41,12,10,125,     502.4,          48.3,89,63,2019,ALL,male
Amherst - Wildwood Elementary,80050,MATH,66,53,16,13,50,40,43,34,16,13,125,     504.1,          53.2,87,65,2019,ALL,male
Amherst - Wildwood Elementary,80050,SCI,14,47,4,13,10,33,11,37,5,17,30,     499.6,,,47,2019,ALL,male
Amherst-Pelham - Amherst Regional Middle School,6050405,ELA,102,52,15,8,87,45,54,28,39,20,195,     496.5,          46.0,183,39,2019,ALL,male
Amherst-Pelham - Amherst Regional Middle School,6050405,MATH,99,51,31,16,68,35,64,33,32,16,195,     499.1,          39.1,183,48,2019,ALL,male
Amherst-Pelham - Amherst Regional Middle School,6050405,SCI,54,57,12,13,42,44,26,27,15,16,95,     501.3,,,54,2019,ALL,male
Andover - Andover West Middle,90310,ELA,168,64,39,15,129,49,77,29,17,6,262,     506.4,          59.5,253,77,2019,ALL,male
Andover - Andover West Middle,90310,MATH,181,69,49,19,132,51,64,25,16,6,261,     510.0,          49.7,252,84,2019,ALL,male
Andover - Andover West Middle,90310,SCI,56,69,11,14,45,56,21,26,4,5,81,     509.3,,,81,2019,ALL,male
Andover - Bancroft Elementary,90003,ELA,96,60,9,6,87,54,60,38,4,3,160,     503.4,          53.8,99,67,2019,ALL,male
Andover - Bancroft Elementary,90003,MATH,101,64,18,11,83,52,51,32,7,4,159,     505.3,          65.4,98,69,2019,ALL,male
Andover - Bancroft Elementary,90003,SCI,36,72,9,18,27,54,12,24,2,4,50,     508.5,,,79,2019,ALL,male
Andover - Doherty Middle,90305,ELA,161,61,30,11,131,49,91,34,14,5,266,     504.5,          51.7,258,71,2019,ALL,male
Andover - Doherty Middle,90305,MATH,144,55,37,14,107,41,102,39,18,7,264,     503.9,          47.0,257,65,2019,ALL,male
Andover - Doherty Middle,90305,SCI,69,73,18,19,51,54,24,26,1,1,94,     512.4,,,88,2019,ALL,male
Andover - Henry C Sanborn Elementary,90010,ELA,79,66,15,13,64,54,38,32,2,2,119,     509.8,          51.6,82,87,2019,ALL,male
Andover - Henry C Sanborn Elementary,90010,MATH,97,82,20,17,77,65,20,17,2,2,119,     514.3,          68.1,82,92,2019,ALL,male
Andover - Henry C Sanborn Elementary,90010,SCI,40,85,18,38,22,47,3,6,4,9,47,     515.0,,,93,2019,ALL,male
Andover - High Plain Elementary,90004,ELA,115,79,39,27,76,52,27,19,3,2,145,     517.9,          70.0,93,98,2019,ALL,male
Andover - High Plain Elementary,90004,MATH,116,80,31,21,85,59,29,20,0,0,145,     516.0,          72.7,93,94,2019,ALL,male
Andover - High Plain Elementary,90004,SCI,41,84,18,37,23,47,8,16,0,0,49,     524.2,,,99,2019,ALL,male
Andover - South Elementary,90020,ELA,89,78,23,20,66,58,24,21,1,1,114,     514.3,          50.3,73,95,2019,ALL,male
Andover - South Elementary,90020,MATH,88,77,20,18,68,60,24,21,2,2,114,     513.6,          62.6,74,91,2019,ALL,male
Andover - South Elementary,90020,SCI,32,89,9,25,23,64,4,11,0,0,36,     517.9,,,96,2019,ALL,male
Andover - West Elementary,90025,ELA,83,63,17,13,66,50,43,33,6,5,132,     508.6,          61.4,79,83,2019,ALL,male
Andover - West Elementary,90025,MATH,89,67,21,16,68,52,35,27,8,6,132,     509.8,          68.1,79,83,2019,ALL,male
Andover - West Elementary,90025,SCI,32,78,9,22,23,56,6,15,3,7,41,     517.3,,,95,2019,ALL,male
Andover - Wood Hill Middle School,90350,ELA,130,64,40,20,90,44,54,27,19,9,203,     506.6,          46.0,194,77,2019,ALL,male
Andover - Wood Hill Middle School,90350,MATH,143,70,61,30,82,40,49,24,11,5,203,     513.9,          52.3,194,91,2019,ALL,male
Andover - Wood Hill Middle School,90350,SCI,31,60,10,19,21,40,18,35,3,6,52,     507.4,,,75,2019,ALL,male
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,38,24,0,0,38,24,76,47,47,29,161,     483.1,          36.7,149,8,2019,ALL,male
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,63,40,5,3,58,36,74,47,22,14,159,     492.6,          48.6,147,24,2019,ALL,male
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,7,13,0,0,7,13,34,65,11,21,52,     483.4,,,11,2019,ALL,male
Arlington - Brackett,100010,ELA,87,69,15,12,72,57,35,28,4,3,126,     509.1,          48.4,89,85,2019,ALL,male
Arlington - Brackett,100010,MATH,87,70,16,13,71,57,34,27,4,3,125,     510.1,          51.3,89,84,2019,ALL,male
Arlington - Brackett,100010,SCI,30,73,12,29,18,44,10,24,1,2,41,     512.5,,,88,2019,ALL,male
Arlington - Cyrus E Dallin,100025,ELA,80,70,11,10,69,60,32,28,3,3,115,     507.1,          57.7,80,79,2019,ALL,male
Arlington - Cyrus E Dallin,100025,MATH,78,68,17,15,61,53,35,30,2,2,115,     509.4,          55.2,81,82,2019,ALL,male
Arlington - Cyrus E Dallin,100025,SCI,29,69,8,19,21,50,13,31,0,0,42,     509.0,,,80,2019,ALL,male
Arlington - Gibbs School,100305,ELA,151,63,29,12,122,51,71,30,18,8,240,     505.7,          42.9,231,75,2019,ALL,male
Arlington - Gibbs School,100305,MATH,171,71,36,15,135,56,62,26,8,3,241,     510.0,          56.4,233,84,2019,ALL,male
Arlington - Hardy,100030,ELA,67,61,8,7,59,54,40,36,3,3,110,     505.2,          45.2,66,73,2019,ALL,male
Arlington - Hardy,100030,MATH,74,67,17,15,57,52,34,31,2,2,110,     509.4,          51.6,66,82,2019,ALL,male
Arlington - Hardy,100030,SCI,22,76,12,41,10,34,7,24,0,0,29,     519.4,,,97,2019,ALL,male
Arlington - John A Bishop,100005,ELA,80,73,18,16,62,56,29,26,1,1,110,     512.5,          43.4,73,93,2019,ALL,male
Arlington - John A Bishop,100005,MATH,81,74,18,16,63,57,27,25,2,2,110,     514.2,          61.9,73,92,2019,ALL,male
Arlington - John A Bishop,100005,SCI,30,88,10,29,20,59,3,9,1,3,34,     519.7,,,97,2019,ALL,male
Arlington - M Norcross Stratton,100055,ELA,56,61,3,3,53,58,26,28,10,11,92,     501.6,          51.1,58,60,2019,ALL,male
Arlington - M Norcross Stratton,100055,MATH,57,62,18,20,39,42,25,27,10,11,92,     507.7,          66.9,57,77,2019,ALL,male
Arlington - M Norcross Stratton,100055,SCI,15,47,2,6,13,41,11,34,6,19,32,     499.1,,,45,2019,ALL,male
Arlington - Ottoson Middle,100410,ELA,253,67,63,17,190,51,102,27,21,6,376,     508.5,          55.5,360,83,2019,ALL,male
Arlington - Ottoson Middle,100410,MATH,287,76,88,23,199,53,78,21,12,3,377,     513.1,          60.3,359,90,2019,ALL,male
Arlington - Ottoson Middle,100410,SCI,129,73,60,34,69,39,40,23,8,5,177,     516.8,,,95,2019,ALL,male
Arlington - Peirce,100045,ELA,39,60,5,8,34,52,25,38,1,2,65,     503.5,          52.5,46,68,2019,ALL,male
Arlington - Peirce,100045,MATH,38,58,5,8,33,51,27,42,0,0,65,     505.2,          54.5,46,69,2019,ALL,male
Arlington - Peirce,100045,SCI,15,52,6,21,9,31,14,48,0,0,29,     506.9,,,74,2019,ALL,male
Arlington - Thompson,100050,ELA,81,66,21,17,60,49,37,30,4,3,122,     508.8,          61.8,75,84,2019,ALL,male
Arlington - Thompson,100050,MATH,83,68,12,10,71,58,33,27,6,5,122,     506.9,          54.2,75,74,2019,ALL,male
Arlington - Thompson,100050,SCI,24,63,6,16,18,47,9,24,5,13,38,     507.1,,,74,2019,ALL,male
Ashburnham-Westminster - Briggs Elementary,6100025,ELA,57,50,3,3,54,48,54,48,2,2,113,     501.7,          44.4,80,61,2019,ALL,male
Ashburnham-Westminster - Briggs Elementary,6100025,MATH,63,56,4,4,59,52,43,38,7,6,113,     500.2,          35.8,80,51,2019,ALL,male
Ashburnham-Westminster - Briggs Elementary,6100025,SCI,21,49,2,5,19,44,20,47,2,5,43,     498.9,,,44,2019,ALL,male
Ashburnham-Westminster - Overlook Middle School,6100305,ELA,127,45,14,5,113,40,130,46,26,9,283,     497.7,          50.8,274,44,2019,ALL,male
Ashburnham-Westminster - Overlook Middle School,6100305,MATH,153,54,22,8,131,46,112,40,18,6,283,     501.0,          51.0,274,54,2019,ALL,male
Ashburnham-Westminster - Overlook Middle School,6100305,SCI,50,52,8,8,42,44,41,43,5,5,96,     502.5,,,58,2019,ALL,male
Ashburnham-Westminster - Westminster Elementary,6100005,ELA,62,39,1,1,61,38,84,53,14,9,160,     495.8,          46.4,102,36,2019,ALL,male
Ashburnham-Westminster - Westminster Elementary,6100005,MATH,80,50,9,6,71,44,70,44,10,6,160,     499.5,          60.7,102,49,2019,ALL,male
Ashburnham-Westminster - Westminster Elementary,6100005,SCI,26,46,5,9,21,37,29,51,2,4,57,     500.7,,,51,2019,ALL,male
Ashland - Ashland Middle,140405,ELA,202,68,57,19,145,49,76,26,18,6,296,     510.6,          66.9,289,89,2019,ALL,male
Ashland - Ashland Middle,140405,MATH,232,79,86,29,146,49,45,15,18,6,295,     515.7,          66.9,288,94,2019,ALL,male
Ashland - Ashland Middle,140405,SCI,59,67,22,25,37,42,24,27,5,6,88,     511.7,,,87,2019,ALL,male
Ashland - David Mindess,140015,ELA,154,52,14,5,140,47,132,44,13,4,299,     501.1,          46.0,204,58,2019,ALL,male
Ashland - David Mindess,140015,MATH,161,54,37,12,124,41,115,38,23,8,299,     502.6,          57.0,203,59,2019,ALL,male
Ashland - David Mindess,140015,SCI,46,44,8,8,38,37,47,45,11,11,104,     498.7,,,43,2019,ALL,male
Athol-Royalston - Athol Community Elementary School,6150020,ELA,34,37,1,1,33,35,45,48,14,15,93,     491.7,          48.9,49,24,2019,ALL,male
Athol-Royalston - Athol Community Elementary School,6150020,MATH,32,34,6,6,26,28,41,44,21,22,94,     489.2,          38.5,49,17,2019,ALL,male
Athol-Royalston - Athol-Royalston Middle School,6150305,ELA,53,26,0,0,53,26,105,52,45,22,203,     485.7,          44.9,197,11,2019,ALL,male
Athol-Royalston - Athol-Royalston Middle School,6150305,MATH,73,36,7,3,66,32,98,48,33,16,204,     491.9,          53.5,199,23,2019,ALL,male
Athol-Royalston - Athol-Royalston Middle School,6150305,SCI,42,42,2,2,40,40,45,45,14,14,101,     493.5,,,30,2019,ALL,male
Athol-Royalston - Royalston Community School,6150050,ELA,22,54,4,10,18,44,19,46,0,0,41,     503.0,          57.3,29,66,2019,ALL,male
Athol-Royalston - Royalston Community School,6150050,MATH,23,56,2,5,21,51,14,34,4,10,41,     502.6,          65.4,29,59,2019,ALL,male
Athol-Royalston - Royalston Community School,6150050,SCI,8,73,0,0,8,73,3,27,0,0,11,     507.5,,,75,2019,ALL,male
Atlantis Charter (District) - Atlantis Charter School,4910550,ELA,102,33,12,4,90,29,162,52,45,15,309,     492.6,          41.9,253,27,2019,ALL,male
Atlantis Charter (District) - Atlantis Charter School,4910550,MATH,101,33,14,5,87,28,172,56,35,11,308,     492.5,          36.2,252,25,2019,ALL,male
