school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Amherst - Fort River Elementary,00080020,MATH,           5,24,           0,0,           5,24,           5,24,          11,52,          21,81,     474.5,,           7,2021,ALL,ever EL
Amherst - Wildwood Elementary,00080050,ELA,          11,44,           2,8,           9,36,          10,40,           4,16,          25,67,     496.3,,          13,2021,ALL,ever EL
Amherst - Wildwood Elementary,00080050,MATH,           8,32,           0,0,           8,32,           9,36,           8,32,          25,64,     487.3,,          13,2021,ALL,ever EL
Amherst - Wildwood Elementary,00080050,SCI,           2,18,           0,0,           2,18,           7,64,           2,18,          11,76,     491.5,,,2021,ALL,ever EL
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,           7,64,           0,0,           7,64,           2,18,           2,18,          11,17,     499.9,,          11,2021,ALL,ever EL
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,           6,46,           1,8,           5,38,           5,38,           2,15,          13,20,     499.2,,          12,2021,ALL,ever EL
Andover - Andover West Middle,00090310,ELA,          22,34,           5,8,          17,27,          34,53,           8,13,          64,100,     494.2,          34.7,          57,2021,ALL,ever EL
Andover - Andover West Middle,00090310,MATH,          33,52,           8,13,          25,39,          22,34,           9,14,          64,100,     500.2,          40.8,          57,2021,ALL,ever EL
Andover - Andover West Middle,00090310,SCI,          10,43,           3,13,           7,30,          13,57,           0,0,          23,100,     503.0,,,2021,ALL,ever EL
Andover - Bancroft Elementary,00090003,ELA,           9,56,           2,13,           7,44,           7,44,           0,0,          16,100,     502.9,,           4,2021,ALL,ever EL
Andover - Bancroft Elementary,00090003,MATH,           7,44,           3,19,           4,25,           8,50,           1,6,          16,100,     504.6,,           4,2021,ALL,ever EL
Andover - Doherty Middle,00090305,ELA,          22,58,           1,3,          21,55,          11,29,           5,13,          38,100,     498.1,          40.5,          32,2021,ALL,ever EL
