school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Andover - South Elementary,00090020,ELA,         157,84,          40,22,         117,63,          29,16,           0,0,         186,100,     516.0,          42.3,          71,2021,ALL,non-disabled
Andover - South Elementary,00090020,MATH,         127,68,          17,9,         110,59,          58,31,           1,1,         186,100,     507.6,          45.1,          71,2021,ALL,non-disabled
Andover - South Elementary,00090020,SCI,          46,65,           9,13,          37,52,          24,34,           1,1,          71,100,     507.6,,,2021,ALL,non-disabled
Andover - West Elementary,00090025,ELA,         155,82,          36,19,         119,63,          32,17,           3,2,         190,100,     514.1,          46.3,          67,2021,ALL,non-disabled
Andover - West Elementary,00090025,MATH,         123,65,          30,16,          93,49,          61,32,           6,3,         190,100,     507.7,          47.2,          67,2021,ALL,non-disabled
Andover - West Elementary,00090025,SCI,          56,79,          10,14,          46,65,          15,21,           0,0,          71,100,     512.1,,,2021,ALL,non-disabled
Andover - Wood Hill Middle School,00090350,ELA,         210,73,          57,20,         153,53,          75,26,           3,1,         288,99,     513.1,          34.3,         267,2021,ALL,non-disabled
Andover - Wood Hill Middle School,00090350,MATH,         214,74,          62,21,         152,53,          69,24,           6,2,         289,99,     514.7,          40.0,         268,2021,ALL,non-disabled
Andover - Wood Hill Middle School,00090350,SCI,          58,76,          13,17,          45,59,          17,22,           1,1,          76,100,     512.4,,,2021,ALL,non-disabled
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          56,23,           2,1,          54,22,         135,55,          55,22,         246,97,     485.1,          22.2,         223,2021,ALL,non-disabled
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          38,15,           1,0,          37,15,         152,62,          56,23,         246,97,     482.4,          18.1,         223,2021,ALL,non-disabled
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,           9,20,           1,2,           8,18,          27,60,           9,20,          45,98,     486.7,,,2021,ALL,non-disabled
Arlington - Brackett,00100010,ELA,         143,86,          24,14,         119,72,          23,14,           0,0,         166,98,     515.3,          40.7,          53,2021,ALL,non-disabled
Arlington - Brackett,00100010,MATH,         113,68,          19,11,          94,57,          50,30,           3,2,         166,98,     508.1,          41.6,          53,2021,ALL,non-disabled
Arlington - Brackett,00100010,SCI,          50,91,          17,31,          33,60,           5,9,           0,0,          55,100,     522.0,,,2021,ALL,non-disabled
