school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,SCI,           2,20,           0,0,           2,20,           6,60,           2,20,          10,100,     481.8,,,2021,ALL,afr.american/black
Bedford - John Glenn Middle,00230305,ELA,          11,37,           1,3,          10,33,          12,40,           7,23,          30,91,     490.3,          41.1,          28,2021,ALL,afr.american/black
Bedford - John Glenn Middle,00230305,MATH,           6,21,           0,0,           6,21,          19,66,           4,14,          29,89,     487.0,          45.7,          27,2021,ALL,afr.american/black
Bedford - Lt Job Lane School,00230012,ELA,          16,42,           3,8,          13,34,          16,42,           6,16,          38,100,     495.8,,          10,2021,ALL,afr.american/black
Bedford - Lt Job Lane School,00230012,MATH,           6,16,           0,0,           6,16,          21,55,          11,29,          38,100,     482.7,,          10,2021,ALL,afr.american/black
Bedford - Lt Job Lane School,00230012,SCI,           2,17,           0,0,           2,17,           8,67,           2,17,          12,100,     488.1,,,2021,ALL,afr.american/black
Bellingham - Bellingham Memorial School,00250315,ELA,           4,36,           1,9,           3,27,           3,27,           4,36,          11,92,     498.6,,           7,2021,ALL,afr.american/black
Bellingham - Bellingham Memorial School,00250315,MATH,           2,18,           0,0,           2,18,           6,55,           3,27,          11,92,     486.4,,           7,2021,ALL,afr.american/black
Belmont - Winthrop L Chenery Middle,00260305,ELA,          15,33,           2,4,          13,29,          21,47,           9,20,          45,98,     489.9,          32.9,          41,2021,ALL,afr.american/black
Belmont - Winthrop L Chenery Middle,00260305,MATH,           8,18,           0,0,           8,18,          25,57,          11,25,          44,98,     480.9,          27.4,          40,2021,ALL,afr.american/black
Belmont - Winthrop L Chenery Middle,00260305,SCI,           4,18,           0,0,           4,18,          13,59,           5,23,          22,100,     484.5,,,2021,ALL,afr.american/black
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,ELA,         102,69,          28,19,          74,50,          33,22,          12,8,         147,99,     507.8,          41.7,          65,2021,ALL,afr.american/black
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,MATH,          63,43,           7,5,          56,38,          68,46,          16,11,         147,99,     496.0,          24.5,          65,2021,ALL,afr.american/black
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,SCI,          22,67,           4,12,          18,55,           9,27,           2,6,          33,100,     504.8,,,2021,ALL,afr.american/black
