school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Amherst - Wildwood Elementary,00080050,ELA,          51,49,          11,10,          40,38,          36,34,          18,17,         105,95,     498.9,          59.7,          51,54,2022,ALL,female
Amherst - Wildwood Elementary,00080050,MATH,          36,35,           6,6,          30,29,          36,35,          32,31,         104,94,     486.9,          59.2,          50,30,2022,ALL,female
Amherst - Wildwood Elementary,00080050,SCI,          12,52,           2,9,          10,43,           7,30,           4,17,          23,96,     496.4,,,54,2022,ALL,female
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,          96,64,          24,16,          72,48,          36,24,          17,11,         149,79,     505.8,          60.9,          77,78,2022,ALL,female
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,          64,41,          18,12,          46,30,          70,45,          21,14,         155,82,     497.3,          54.0,          80,63,2022,ALL,female
Amherst-Pelham - Amherst Regional Middle School,06050405,SCI,          46,48,           8,8,          38,40,          33,34,          17,18,          96,87,     496.4,,,54,2022,ALL,female
Andover - Andover West Middle,00090310,ELA,         175,65,          38,14,         137,51,          78,29,          15,6,         268,100,     508.3,          56.6,         257,84,2022,ALL,female
Andover - Andover West Middle,00090310,MATH,         185,70,          54,20,         131,49,          67,25,          14,5,         266,99,     509.9,          62.1,         256,93,2022,ALL,female
Andover - Andover West Middle,00090310,SCI,          67,74,          17,19,          50,56,          21,23,           2,2,          90,100,     512.6,,,93,2022,ALL,female
Andover - Bancroft Elementary,00090003,ELA,          99,72,          30,22,          69,50,          35,25,           4,3,         138,99,     511.3,          66.0,          82,91,2022,ALL,female
Andover - Bancroft Elementary,00090003,MATH,          66,47,           9,6,          57,41,          55,40,          18,13,         139,99,     497.9,          59.4,          82,65,2022,ALL,female
Andover - Bancroft Elementary,00090003,SCI,          27,77,           8,23,          19,54,           8,23,           0,0,          35,97,     514.0,,,95,2022,ALL,female
Andover - Doherty Middle,00090305,ELA,         184,79,          50,21,         134,57,          45,19,           5,2,         234,100,     514.8,          66.2,         218,96,2022,ALL,female
Andover - Doherty Middle,00090305,MATH,         156,67,          37,16,         119,51,          72,31,           6,3,         234,100,     510.2,          64.9,         218,94,2022,ALL,female
Andover - Doherty Middle,00090305,SCI,          59,75,           7,9,          52,66,          19,24,           1,1,          79,100,     508.9,,,88,2022,ALL,female
Andover - Henry C Sanborn Elementary,00090010,ELA,          70,74,          20,21,          50,53,          21,22,           3,3,          94,100,     513.7,          66.9,          57,94,2022,ALL,female
Andover - Henry C Sanborn Elementary,00090010,MATH,          61,65,          14,15,          47,50,          31,33,           2,2,          94,100,     510.4,          56.5,          57,94,2022,ALL,female
Andover - Henry C Sanborn Elementary,00090010,SCI,          21,64,           6,18,          15,45,          12,36,           0,0,          33,100,     511.3,,,91,2022,ALL,female
Andover - High Plain Elementary,00090004,ELA,          95,74,          16,12,          79,61,          27,21,           7,5,         129,100,     510.8,          56.4,          70,90,2022,ALL,female
Andover - High Plain Elementary,00090004,MATH,          86,67,          18,14,          68,53,          30,23,          13,10,         129,100,     508.9,          65.4,          70,92,2022,ALL,female
Andover - High Plain Elementary,00090004,SCI,          38,81,          17,36,          21,45,           8,17,           1,2,          47,100,     521.1,,,99,2022,ALL,female
Andover - South Elementary,00090020,ELA,          78,70,          19,17,          59,53,          32,29,           2,2,         112,100,     509.5,          49.5,          68,87,2022,ALL,female
Andover - South Elementary,00090020,MATH,          66,59,          13,12,          53,47,          43,38,           3,3,         112,100,     505.9,          56.2,          68,87,2022,ALL,female
Andover - South Elementary,00090020,SCI,          22,69,           8,25,          14,44,           9,28,           1,3,          32,100,     513.3,,,94,2022,ALL,female
Andover - West Elementary,00090025,ELA,          82,62,          16,12,          66,50,          45,34,           6,5,         133,100,     505.9,          56.5,          80,78,2022,ALL,female
Andover - West Elementary,00090025,MATH,          72,54,          14,11,          58,44,          48,36,          13,10,         133,100,     502.7,          63.3,          80,80,2022,ALL,female
Andover - West Elementary,00090025,SCI,          22,49,           7,16,          15,33,          21,47,           2,4,          45,100,     503.1,,,75,2022,ALL,female
Andover - Wood Hill Middle School,00090350,ELA,         126,70,          36,20,          90,50,          46,26,           8,4,         180,99,     510.5,          52.3,         173,89,2022,ALL,female
Andover - Wood Hill Middle School,00090350,MATH,         109,61,          38,21,          71,40,          60,34,          10,6,         179,99,     508.1,          49.0,         172,91,2022,ALL,female
Andover - Wood Hill Middle School,00090350,SCI,          48,67,           6,8,          42,58,          20,28,           4,6,          72,100,     507.9,,,86,2022,ALL,female
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          26,20,           0,0,          26,20,          70,54,          33,26,         129,99,     482.1,          42.6,         123,9,2022,ALL,female
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          15,12,           0,0,          15,12,          80,63,          33,26,         128,100,     479.1,          37.4,         124,13,2022,ALL,female
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,          10,21,           0,0,          10,21,          24,50,          14,29,          48,100,     481.3,,,17,2022,ALL,female
Arlington - Brackett,00100010,ELA,          84,77,           7,6,          77,71,          23,21,           2,2,         109,98,     508.4,          55.1,          64,84,2022,ALL,female
Arlington - Brackett,00100010,MATH,          57,52,           6,6,          51,47,          48,44,           4,4,         109,98,     503.3,          48.5,          64,82,2022,ALL,female
Arlington - Brackett,00100010,SCI,          29,78,           7,19,          22,59,           7,19,           1,3,          37,97,     517.2,,,98,2022,ALL,female
Arlington - Cyrus E Dallin,00100025,ELA,          75,71,          12,11,          63,59,          28,26,           3,3,         106,98,     509.7,          57.9,          64,88,2022,ALL,female
Arlington - Cyrus E Dallin,00100025,MATH,          57,53,          11,10,          46,43,          41,38,           9,8,         107,99,     501.6,          51.8,          64,77,2022,ALL,female
Arlington - Cyrus E Dallin,00100025,SCI,          24,71,           3,9,          21,62,          10,29,           0,0,          34,100,     507.7,,,85,2022,ALL,female
Arlington - Gibbs School,00100305,ELA,         178,76,          50,21,         128,54,          45,19,          12,5,         235,100,     512.2,          61.4,         215,92,2022,ALL,female
Arlington - Gibbs School,00100305,MATH,         167,71,          19,8,         148,63,          62,26,           6,3,         235,100,     507.6,          61.5,         216,90,2022,ALL,female
Arlington - Hardy,00100030,ELA,          69,68,           6,6,          63,62,          25,25,           7,7,         101,95,     503.9,          49.9,          64,72,2022,ALL,female
Arlington - Hardy,00100030,MATH,          60,59,          12,12,          48,47,          35,34,           7,7,         102,96,     503.2,          51.3,          64,82,2022,ALL,female
Arlington - Hardy,00100030,SCI,          23,77,           5,17,          18,60,           6,20,           1,3,          30,94,     515.9,,,97,2022,ALL,female
Arlington - John A Bishop,00100005,ELA,          66,80,          17,20,          49,59,          15,18,           2,2,          83,100,     515.0,          67.0,          45,96,2022,ALL,female
Arlington - John A Bishop,00100005,MATH,          62,75,          14,17,          48,58,          20,24,           1,1,          83,100,     512.4,          55.7,          45,96,2022,ALL,female
Arlington - John A Bishop,00100005,SCI,          22,81,           6,22,          16,59,           5,19,           0,0,          27,100,     518.6,,,98,2022,ALL,female
Arlington - M Norcross Stratton,00100055,ELA,          76,75,          17,17,          59,58,          23,23,           2,2,         101,100,     511.6,          60.7,          69,91,2022,ALL,female
Arlington - M Norcross Stratton,00100055,MATH,          72,74,          14,14,          58,60,          24,25,           1,1,          97,97,     512.2,          65.6,          67,96,2022,ALL,female
Arlington - M Norcross Stratton,00100055,SCI,          19,63,           8,27,          11,37,           8,27,           3,10,          30,100,     510.6,,,91,2022,ALL,female
Arlington - Ottoson Middle,00100410,ELA,         342,83,         104,25,         238,58,          56,14,          12,3,         410,99,     517.1,          65.6,         379,98,2022,ALL,female
Arlington - Ottoson Middle,00100410,MATH,         290,71,          92,23,         198,49,         101,25,          17,4,         408,98,     512.7,          66.3,         377,97,2022,ALL,female
Arlington - Ottoson Middle,00100410,SCI,         157,80,          40,20,         117,59,          36,18,           4,2,         197,98,     514.1,,,95,2022,ALL,female
Arlington - Peirce,00100045,ELA,          50,68,           4,5,          46,63,          18,25,           5,7,          73,100,     505.4,          55.1,          40,77,2022,ALL,female
Arlington - Peirce,00100045,MATH,          38,53,           9,13,          29,40,          25,35,           9,13,          72,100,     500.0,          49.7,          40,72,2022,ALL,female
