school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year
Amherst - Crocker Farm Elementary,80009,ELA,          90,51,          16,9,          74,42,          56,32,          29,17,         175,98,499.4,54.6,          68,67.0,2022
Amherst - Crocker Farm Elementary,80009,MATH,          81,48,          13,8,          68,40,          67,40,          21,12,         169,95,497.6,52.9,          67,62.0,2022
Amherst - Crocker Farm Elementary,80009,SCI,          24,53,           6,13,          18,40,          17,38,           4,9,          45,100,502.4,,,72.0,2022
Amherst - Fort River Elementary,80020,ELA,          71,45,           7,4,          64,41,          63,40,          23,15,         157,91,496.5,41.3,          74,57.0,2022
Amherst - Fort River Elementary,80020,MATH,          67,44,          10,7,          57,37,          48,31,          38,25,         153,89,492.3,50.5,          70,46.0,2022
Amherst - Fort River Elementary,80020,SCI,          19,37,           6,12,          13,25,          17,33,          15,29,          51,89,490.2,,,35.0,2022
Amherst - Wildwood Elementary,80050,ELA,          94,48,          16,8,          78,40,          67,34,          36,18,         197,94,497.1,55.0,          89,59.0,2022
Amherst - Wildwood Elementary,80050,MATH,          76,38,          11,6,          65,33,          65,33,          57,29,         198,94,489.7,60.2,          89,38.0,2022
Amherst - Wildwood Elementary,80050,SCI,          19,45,           4,10,          15,36,          14,33,           9,21,          42,93,493.3,,,43.0,2022
Amherst-Pelham - Amherst Regional Middle School,6050405,ELA,         168,54,          32,10,         136,43,          99,32,          47,15,         314,79,499.3,54.9,         152,67.0,2022
Amherst-Pelham - Amherst Regional Middle School,6050405,MATH,         136,41,          38,11,          98,29,         140,42,          58,17,         334,84,495.5,51.2,         156,56.0,2022
Amherst-Pelham - Amherst Regional Middle School,6050405,SCI,          89,48,          12,6,          77,41,          59,32,          39,21,         187,88,494.3,,,46.0,2022
Andover - Andover West Middle,90310,ELA,         324,62,          61,12,         263,50,         166,32,          34,6,         524,100,505.8,55.8,         505,86.0,2022
Andover - Andover West Middle,90310,MATH,         368,70,         118,23,         250,48,         126,24,          28,5,         522,99,511.2,62.3,         505,93.0,2022
Andover - Andover West Middle,90310,SCI,         139,76,          36,20,         103,56,          39,21,           5,3,         183,99,513.1,,,94.0,2022
Andover - Bancroft Elementary,90003,ELA,         187,64,          42,14,         145,50,          92,32,          11,4,         290,99,506.7,62.9,         184,88.0,2022
