school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,         148,27,          17,3,         131,24,         283,52,         116,21,         547,97,     487.6,          46.9,         442,53,2022,ALL,high needs
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,         126,23,           2,0,         124,23,         306,56,         115,21,         547,99,     485.3,          39.8,         444,47,2022,ALL,high needs
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,          26,21,           2,2,          24,19,          76,61,          22,18,         124,99,     485.5,,,43,2022,ALL,high needs
Amesbury - Amesbury Elementary,00070005,ELA,          19,37,           2,4,          17,33,          25,48,           8,15,          52,100,     492.8,          48.7,          22,80,2022,ALL,high needs
Amesbury - Amesbury Elementary,00070005,MATH,          24,46,           2,4,          22,42,          23,44,           5,10,          52,100,     495.4,          44.3,          22,85,2022,ALL,high needs
Amesbury - Amesbury Middle,00070013,ELA,          60,20,           4,1,          56,19,         139,47,          96,33,         295,99,     482.3,          37.2,         253,24,2022,ALL,high needs
Amesbury - Amesbury Middle,00070013,MATH,          57,20,           3,1,          54,19,         144,51,          83,29,         284,96,     482.6,          45.8,         240,34,2022,ALL,high needs
Amesbury - Amesbury Middle,00070013,SCI,          36,28,           4,3,          32,25,          59,45,          35,27,         130,92,     487.6,,,52,2022,ALL,high needs
Amesbury - Charles C Cashman Elementary,00070010,ELA,          12,17,           0,0,          12,17,          41,59,          17,24,          70,97,     482.7,          35.4,          40,26,2022,ALL,high needs
Amesbury - Charles C Cashman Elementary,00070010,MATH,          14,20,           0,0,          14,20,          27,39,          29,41,          70,100,     480.3,          40.2,          38,24,2022,ALL,high needs
Amherst - Crocker Farm Elementary,00080009,ELA,          19,23,           1,1,          18,21,          36,43,          29,35,          84,97,     483.4,          50.4,          28,30,2022,ALL,high needs
Amherst - Crocker Farm Elementary,00080009,MATH,          21,26,           2,3,          19,24,          38,48,          21,26,          80,93,     483.9,          54.0,          30,40,2022,ALL,high needs
Amherst - Crocker Farm Elementary,00080009,SCI,           5,26,           1,5,           4,21,          10,53,           4,21,          19,100,     486.1,,,45,2022,ALL,high needs
Amherst - Fort River Elementary,00080020,ELA,           9,13,           0,0,           9,13,          41,57,          22,31,          72,83,     481.9,          38.1,          32,22,2022,ALL,high needs
Amherst - Fort River Elementary,00080020,MATH,          15,21,           1,1,          14,19,          21,29,          36,50,          72,83,     474.9,          40.2,          31,10,2022,ALL,high needs
Amherst - Fort River Elementary,00080020,SCI,           2,7,           0,0,           2,7,          12,43,          14,50,          28,81,     471.9,,,5,2022,ALL,high needs
Amherst - Wildwood Elementary,00080050,ELA,          31,27,           2,2,          29,25,          47,41,          36,32,         114,93,     485.0,          46.5,          44,37,2022,ALL,high needs
Amherst - Wildwood Elementary,00080050,MATH,          24,21,           3,3,          21,18,          35,30,          56,49,         115,94,     476.7,          52.9,          45,14,2022,ALL,high needs
Amherst - Wildwood Elementary,00080050,SCI,           5,19,           0,0,           5,19,          13,48,           9,33,          27,93,     478.9,,,18,2022,ALL,high needs
