school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Beverly - Beverly Middle School,00300305,SCI,           1,6,           0,0,           1,6,           5,31,          10,63,          16,100,     469.8,,,2021,ALL,EL
Billerica - Marshall Middle School,00310305,ELA,           0,0,           0,0,           0,0,           2,17,          10,83,          12,100,     460.2,,           4,2021,ALL,EL
Billerica - Marshall Middle School,00310305,MATH,           0,0,           0,0,           0,0,           5,42,           7,58,          12,100,     471.2,,           4,2021,ALL,EL
Boston - Adams Elementary School,00350302,ELA,           1,2,           0,0,           1,2,          27,57,          19,40,          47,100,     472.8,,          10,2021,ALL,EL
Boston - Adams Elementary School,00350302,MATH,           0,0,           0,0,           0,0,          13,28,          34,72,          47,100,     461.6,,          10,2021,ALL,EL
Boston - Bates Elementary School,00350278,ELA,           1,4,           0,0,           1,4,          16,70,           6,26,          23,69,     474.8,,           7,2021,ALL,EL
Boston - Bates Elementary School,00350278,MATH,           2,9,           0,0,           2,9,          11,50,           9,41,          22,66,     473.2,,           6,2021,ALL,EL
Boston - Blackstone Elementary School,00350390,ELA,           1,2,           0,0,           1,2,          15,36,          26,62,          42,45,     466.2,,           3,2021,ALL,EL
Boston - Blackstone Elementary School,00350390,MATH,           0,0,           0,0,           0,0,           3,8,          37,93,          40,44,     451.6,,           4,2021,ALL,EL
Boston - Bradley Elementary School,00350215,ELA,           9,29,           0,0,           9,29,          20,65,           2,6,          31,100,     490.6,,           4,2021,ALL,EL
Boston - Bradley Elementary School,00350215,MATH,           5,16,           0,0,           5,16,          20,65,           6,19,          31,100,     482.1,,           4,2021,ALL,EL
Boston - Channing Elementary School,00350360,ELA,           0,0,           0,0,           0,0,           9,82,           2,18,          11,100,     475.4,,           3,2021,ALL,EL
Boston - Channing Elementary School,00350360,MATH,           0,0,           0,0,           0,0,           3,27,           8,73,          11,100,     460.6,,           3,2021,ALL,EL
Boston - Chittick Elementary School,00350154,ELA,           1,8,           0,0,           1,8,           8,67,           3,25,          12,67,     474.4,,           4,2021,ALL,EL
Boston - Chittick Elementary School,00350154,MATH,           0,0,           0,0,           0,0,           6,46,           7,54,          13,76,     463.6,,           4,2021,ALL,EL
Boston - Clap Elementary School,00350298,ELA,           2,18,           0,0,           2,18,           8,73,           1,9,          11,61,     485.0,,           3,2021,ALL,EL
Boston - Clap Elementary School,00350298,MATH,           0,0,           0,0,           0,0,           3,27,           8,73,          11,61,     464.7,,           3,2021,ALL,EL
Boston - Condon K-8 School,00350146,ELA,           4,3,           0,0,           4,3,          58,40,          83,57,         145,93,     466.9,          32.8,          62,2021,ALL,EL
Boston - Condon K-8 School,00350146,MATH,           2,1,           0,0,           2,1,          47,31,         103,68,         152,98,     462.5,          29.1,          67,2021,ALL,EL
Boston - Condon K-8 School,00350146,SCI,           0,0,           0,0,           0,0,           8,24,          25,76,          33,88,     461.1,,,2021,ALL,EL
Boston - Conley Elementary School,00350122,ELA,           1,5,           0,0,           1,5,          11,52,           9,43,          21,92,     475.7,,           7,2021,ALL,EL
Boston - Conley Elementary School,00350122,MATH,           0,0,           0,0,           0,0,           2,10,          18,90,          20,88,     459.6,,           5,2021,ALL,EL
Boston - Curley K-8 School,00350020,ELA,           8,7,           0,0,           8,7,          43,36,          70,58,         121,87,     468.1,          31.4,          50,2021,ALL,EL
Boston - Curley K-8 School,00350020,MATH,           4,3,           0,0,           4,3,          33,26,          90,71,         127,91,     461.2,          20.2,          54,2021,ALL,EL
Boston - Curley K-8 School,00350020,SCI,           2,5,           0,0,           2,5,           8,22,          27,73,          37,93,     463.0,,,2021,ALL,EL
Boston - Dearborn 6-12 STEM Academy,00350074,ELA,           2,3,           0,0,           2,3,          13,20,          51,77,          66,93,     460.3,          26.4,          48,2021,ALL,EL
Boston - Dearborn 6-12 STEM Academy,00350074,MATH,           2,3,           0,0,           2,3,          14,21,          50,76,          66,93,     461.5,          24.7,          47,2021,ALL,EL
Boston - Dearborn 6-12 STEM Academy,00350074,SCI,           0,0,           0,0,           0,0,           3,21,          11,79,          14,80,     460.9,,,2021,ALL,EL
Boston - Dever Elementary School,00350268,ELA,           5,7,           0,0,           5,7,          33,49,          29,43,          67,95,     472.6,,           6,2021,ALL,EL
Boston - Dever Elementary School,00350268,MATH,           7,10,           2,3,           5,7,          25,36,          37,54,          69,98,     468.9,,           6,2021,ALL,EL
